frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_42,ID_43
0,(1646!294),(168!458),(383!484),(1610!785),(867!1189),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(1646!294),(169!458),(383!484),,(873!1193),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,(1645!294),(168!458),(384!482),,(874!1194),(941!339),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,(1646!294),(169!458),(384!482),,(875!1194),(1099!416),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,(1646!294),(166!457),(384!482),,(875!1195),(1099!417),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,(1646!294),(168!458),,,(876!1196),(1099!415),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,(1645!294),(168!458),(383!483),,(877!1197),(1099!415),(378!825),(257!1157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,(1646!294),(168!458),(384!482),(1609!784),(878!1197),(1098!414),,(257!1157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,(168!459),(384!482),(1609!784),(879!1197),,(378!825),(257!1157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,(1645!295),(168!459),,(1609!785),(880!1198),,(378!826),(257!1158),,(942!329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,(1646!295),(168!459),(383!484),,(881!1199),(1098!415),,(257!1158),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,(1646!295),(168!459),,(1609!785),(882!1200),(1096!412),(378!824),(258!1158),,(943!325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,(1646!295),(171!462),(383!484),(1610!785),(884!1200),(1097!414),,(258!1158),,(943!325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,(1646!295),(169!461),(383!484),(1609!785),(884!1200),(1096!412),,(258!1158),,(942!323),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,(167!458),,(1609!784),(886!1201),(1096!411),(378!823),(258!1157),,(943!320),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,(1646!295),(167!458),(383!483),(1610!784),(887!1202),(1096!411),(378!824),(258!1157),,(939!323),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,(167!458),(382!483),(1610!784),(887!1202),(1095!412),(378!825),(258!1158),,(939!319),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,(1646!294),(167!458),,,(888!1202),(1096!414),(378!826),(257!1157),,(942!318),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,(167!458),(383!481),(1610!784),(888!1203),(1097!414),(378!825),(258!1157),,(943!313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,(1646!295),(169!461),,(1610!784),(889!1204),(1095!413),(378!825),(258!1157),,(942!313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,(167!458),(382!483),(1610!784),(889!1204),(1096!413),(378!825),,,(943!311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,(1645!295),(166!458),(382!483),,,(1096!411),(378!826),,,(941!311),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,(1645!295),(167!458),(381!483),(1609!785),(890!1206),(1097!411),(378!826),,,(942!309),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,(1645!295),(167!461),(381!483),(1609!785),(891!1207),(1096!411),(378!826),,,(942!309),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,(1645!296),(167!459),,(1609!785),(893!1209),(1097!412),(378!826),,,(941!306),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,(1645!296),(167!458),(382!483),,(894!1210),(1097!410),(378!826),(259!1159),,(941!304),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,(1646!296),(169!459),(379!488),(1609!785),(896!1212),(1097!411),(378!825),,,(941!303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,(1646!296),(167!458),(382!483),(1609!785),,(1097!410),(378!825),,(1700!396),(942!303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,(1646!295),(168!459),(383!482),,(898!1213),(1097!410),(378!825),,,(942!300),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,(1646!295),(167!458),(382!482),,(899!1215),(1096!410),,,,(942!296),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,(1646!295),(168!458),(383!480),,(901!1216),(1099!411),(378!825),,,(942!292),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,(1647!295),(167!457),(383!480),(1610!785),(903!1218),(1097!410),(378!825),,,(942!291),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,(1646!295),(167!457),(383!480),(1610!784),(904!1220),(1096!411),(378!826),,,(943!290),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,(1646!295),(167!458),(383!480),(1610!785),(905!1223),(1096!412),(378!826),,,(943!288),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,(1646!295),(167!458),(383!480),(1610!785),(906!1224),(1096!412),(377!826),,,(943!286),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,(1646!295),(167!458),(381!483),(1609!785),(908!1227),(1096!412),,,,(944!284),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,(1646!295),(167!458),(383!482),(1609!785),(910!1229),(1097!412),(378!825),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,(1646!296),,(383!481),(1609!785),(912!1230),(1097!412),(378!826),,,(945!281),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,(1646!296),(167!458),(383!481),(1609!785),(913!1231),(1098!411),(378!825),,,(946!280),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,(1646!296),(167!458),(383!481),(1609!785),(915!1233),(1098!411),(378!824),,,,,(1049!188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,(1646!295),(169!460),(383!481),,,(1098!412),(378!826),(258!1158),,(948!273),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,(1646!295),(168!460),(383!482),(1610!785),(918!1234),(1098!411),,(258!1158),,(948!271),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,(1647!295),(167!457),(381!483),(1610!785),,(1098!411),,(258!1157),,(948!267),,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,(168!459),(383!481),(1610!785),(920!1236),(1098!412),(378!825),(258!1158),,(948!266),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,(1646!295),(168!460),(383!481),(1610!785),,(1098!412),(378!825),(258!1157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,(1646!295),(167!457),(383!480),(1609!788),(921!1236),(1098!411),(378!825),,,,,(1049!187),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,(1646!295),(168!458),(383!480),,(921!1236),(1098!411),(378!825),,,(949!257),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,(1646!295),(167!457),(383!480),(1609!785),(921!1237),(1097!412),(378!826),(257!1157),,(949!253),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,(1646!296),(167!458),(383!482),,(920!1237),(1099!414),(378!826),,,(950!249),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,(1646!295),(167!458),(383!481),,(920!1237),(1097!412),(378!826),,,(950!254),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,(1646!296),(166!458),(383!482),(1609!785),(920!1237),(1099!413),(378!826),,,(951!246),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
