frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_14,ID_15,ID_17
0,(1906!808),(344!1015),(714!1377),(1433!2128),(1696!2614),(340!2778),(234!2800),(1090!2807),(1355!2807),(817!2809),(741!2811),(78!2895),,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
5,(1906!807),(363!1014),(717!1375),(1437!2126),(1692!2607),(342!2776),(229!2799),(1093!2805),,(751!2810),,(81!2905),,,,
6,(1906!807),(368!1010),(718!1376),(1438!2128),(1693!2604),(342!2776),(227!2799),(1093!2805),(1357!2807),(750!2809),(817!2807),(82!2905),,,,
7,(1907!805),(362!1005),(718!1374),(1437!2129),(1690!2603),(342!2776),(227!2799),(1093!2805),(1358!2806),(751!2810),(819!2807),(82!2908),,,,
8,(1906!807),(357!1000),(717!1377),(1436!2129),(1689!2599),(342!2776),(236!2798),,(1356!2807),(753!2809),(818!2810),(82!2910),,,,
9,(1906!805),(352!1000),(717!1377),(1437!2128),(1687!2600),(341!2777),(228!2799),(1093!2805),(1358!2807),(747!2808),(821!2809),(84!2910),,,,
10,(1906!807),(346!995),(718!1377),(1436!2129),(1687!2605),(341!2777),(228!2799),(1091!2808),(1357!2807),(754!2811),(823!2810),(82!2912),,,,
11,(1904!810),(348!994),(716!1377),(1436!2128),(1689!2607),(340!2777),(226!2799),(1091!2808),(1356!2807),(758!2811),(822!2812),(84!2910),,,,
12,(1905!808),(346!994),(718!1377),(1436!2129),(1688!2607),(340!2777),(228!2799),(1091!2806),(1357!2806),(755!2810),(819!2809),(82!2912),,,,
13,(1905!809),(348!997),(715!1376),(1435!2130),(1687!2608),(340!2777),(227!2799),(1089!2808),(1355!2807),(765!2812),(825!2808),(80!2912),,,,
14,(1905!809),(347!997),(717!1378),(1436!2128),(1680!2614),(341!2776),(227!2800),(1091!2806),(1356!2807),(767!2810),(828!2806),,,,,
15,(1905!807),(345!996),(717!1375),(1436!2128),(1670!2619),(342!2776),(227!2799),(1091!2806),(1356!2807),(769!2813),(835!2806),(85!2914),,,,
