frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30
0,(253!28),(744!67),(357!382),(744!529),(377!573),(142!623),(300!735),(1142!814),(432!1292),(776!1300),(1106!1424),(405!1508),,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(253!28),(746!68),(356!383),,(374!574),,(294!734),(1147!807),(432!1291),(776!1300),(1106!1423),,,,,,,,,,,,,,,,,,,,
6,(254!28),(745!68),(356!383),,(373!575),(143!624),(292!733),(1148!806),(432!1291),(775!1298),(1106!1424),(405!1509),,,,,,,,,,,,,,,,,,,
7,(253!28),(747!68),(356!383),,(371!575),(143!623),(291!733),(1148!805),(432!1291),(775!1299),(1106!1424),(404!1508),(57!1384),,,,,,,,,,,,,,,,,,
8,(253!28),(746!68),(356!382),,(371!575),(142!624),(289!733),(1148!805),(432!1291),(775!1299),(1107!1424),(404!1508),(54!1384),,,,,,,,,,,,,,,,,,
9,(253!28),(747!68),(356!382),,(369!575),(142!624),(288!731),(1150!804),(432!1292),(777!1299),(1106!1423),(404!1509),(58!1384),,,,,,,,,,,,,,,,,,
10,(254!29),(747!69),(356!383),,(369!576),(142!624),(286!731),(1150!803),(432!1291),(776!1299),(1106!1423),(405!1509),,,,,,,,,,,,,,,,,,,
11,(255!28),(744!68),(356!383),,(368!577),(142!624),(285!731),(1151!802),(432!1291),(775!1299),(1106!1423),(405!1508),(58!1384),,,,,,,,,,,,,,,,,,
12,(254!28),(745!68),(356!383),,(368!577),(143!624),(284!731),(1151!801),(433!1291),(775!1299),(1107!1423),(406!1509),(58!1384),,,,,,,,,,,,,,,,,,
13,(254!29),(743!68),(356!383),,(368!577),(143!624),(282!731),(1152!800),(433!1291),(777!1298),(1107!1423),(406!1509),(59!1384),,,,,,,,,,,,,,,,,,
14,(255!28),(743!68),(356!382),,(368!577),(143!624),(280!731),(1153!799),(432!1291),(776!1299),(1106!1422),(406!1509),(58!1383),,,,,,,,,,,,,,,,,,
15,(255!27),(743!68),(356!382),,(367!579),(143!623),(279!731),(1153!797),(433!1291),(772!1299),(1107!1422),(406!1510),(58!1383),,,,,,,,,,,,,,,,,,
16,(254!27),(744!68),(356!382),,(367!577),(143!623),(278!731),(1154!797),(433!1291),(775!1299),(1106!1423),(406!1510),,,,,,,,,,,,,,,,,,,
17,(255!27),(743!68),(356!382),,(367!579),(143!623),(276!731),(1154!796),(432!1291),(776!1299),(1107!1422),(406!1510),(55!1383),,,,,,,,,,,,,,,,,,
18,(255!28),(744!68),(356!382),,(367!579),(143!622),(274!730),(1155!794),(431!1291),(775!1299),(1107!1422),(405!1510),(55!1384),,,,,,,,,,,,,,,,,,
19,(254!28),(745!68),(356!382),,(367!579),(143!623),(271!731),(1155!794),(431!1292),(776!1299),(1108!1422),(405!1510),(54!1384),,,,,,,,,,,,,,,,,,
20,(255!28),(746!68),(355!382),,(367!579),(142!623),(270!730),(1156!793),(431!1292),(775!1300),(1108!1423),(405!1510),(54!1384),,,,,,,,,,,,,,,,,,
21,(254!28),(745!68),(356!382),,(368!579),(142!623),(268!730),(1156!792),(431!1292),(776!1299),(1106!1422),(405!1511),(54!1383),,,,,,,,,,,,,,,,,,
22,(253!28),(746!68),(355!382),,(367!579),(142!623),(266!731),(1156!792),(431!1291),(774!1299),(1106!1422),(405!1511),(54!1384),,,,,,,,,,,,,,,,,,
23,(254!28),(745!69),(355!382),,(368!579),(142!623),(265!731),(1158!792),(431!1292),(775!1299),(1107!1423),(404!1511),(54!1384),,,,,,,,,,,,,,,,,,
24,(254!28),(745!68),,,(366!579),(142!623),(264!731),(1158!792),(431!1292),(776!1299),(1106!1423),(405!1511),(54!1384),,,,,,,,,,,,,,,,,,
25,(254!28),(747!69),(356!382),,(366!578),(143!624),(264!731),(1159!791),(431!1292),(776!1300),(1106!1424),(405!1511),,,,,,,,,,,,,,,,,,,
26,(254!28),(747!69),(356!383),,(365!578),(142!623),(262!731),(1160!790),(431!1292),(775!1300),(1107!1423),(405!1511),,,,,,,,,,,,,,,,,,,
27,(255!28),(744!68),(355!383),,(366!578),(143!623),(261!731),(1161!789),(431!1292),(776!1300),(1107!1424),(406!1511),,,,,,,,,,,,,,,,,,,
28,(254!28),(745!69),(356!383),,(367!577),,(260!732),(1162!788),(432!1292),(776!1299),(1107!1424),(406!1510),(59!1384),,,,,,,,,,,,,,,,,,
29,(256!29),(748!68),(356!383),,(366!577),(143!623),(258!732),(1164!786),(432!1292),(777!1300),(1107!1423),(406!1510),(55!1384),,,,,,,,,,,,,,,,,,
30,(256!28),(747!69),(354!384),,(366!577),(143!623),(256!732),(1165!784),(432!1292),(776!1300),(1107!1423),(406!1510),(59!1384),,,,,,,,,,,,,,,,,,
31,(256!28),(744!68),(355!383),,(366!577),(143!624),(255!732),(1166!783),(430!1292),(776!1299),(1106!1423),(406!1510),(60!1384),(1018!903),,,,,,,,,,,,,,,,,
32,(256!28),(744!68),(355!382),,(365!578),(143!623),(253!731),(1167!783),(430!1292),(776!1299),(1106!1423),(405!1510),,(1018!903),,,,,,,,,,,,,,,,,
33,(255!28),(748!68),,,(366!578),(143!623),(249!731),(1168!781),(431!1292),(769!1299),(1106!1423),(405!1510),(57!1384),,,,,,,,,,,,,,,,,,
34,(254!27),(746!68),(355!382),,(366!578),(143!623),(247!732),(1170!779),(430!1292),(773!1299),(1106!1423),(404!1510),(57!1384),,,,,,,,,,,,,,,,,,
