frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,(545!656),(36!477),(269!42),,,,
6,,(34!476),(264!42),(241!694),,,
7,,(33!474),(260!43),(236!694),(550!458),,
8,,,(256!43),(232!693),(548!462),,
9,(545!654),,(251!45),(226!693),(548!458),,
10,(544!656),,(246!46),(222!693),(548!458),,
11,,,(243!46),(215!692),(545!656),,
12,(548!458),,(238!47),(208!692),(544!655),,
13,(550!458),,(233!47),(204!692),(545!657),,
14,(548!458),,(227!48),(204!692),(544!656),,
15,,,(221!46),(204!692),(545!655),,
16,,,(221!44),(204!692),(550!458),,
17,,,(221!41),(202!692),(548!458),,
18,(545!656),(27!446),(220!38),(200!692),(548!459),,
19,,(26!443),(218!35),(200!692),(544!654),,
20,(548!458),,(217!35),(201!692),(545!655),,
21,(550!458),(26!436),(214!37),(201!692),(545!657),,
22,(550!458),(26!432),(211!38),(200!692),(544!656),,
23,,(26!428),(206!38),(200!692),(548!458),,
24,(544!654),(26!426),(203!39),(200!692),(548!458),,
25,,(25!421),(199!40),(200!692),(548!458),,
26,(544!655),(24!415),(196!41),(199!692),(545!474),,
27,(544!654),(24!409),(191!42),(200!692),(550!459),,
28,(545!643),(25!403),(186!44),(199!692),(549!459),,
29,(544!656),(25!402),(180!44),(198!693),(548!462),,
30,,(24!400),(176!45),(196!693),(544!656),,
31,,(24!399),(171!47),(196!692),(550!458),,
32,(545!656),,(166!48),(196!692),(548!457),,
33,,,(161!50),(196!692),(544!654),,
34,,,(157!51),(196!692),(544!654),,
35,,,(153!52),(196!693),,,
36,,,(148!52),(196!693),,,
37,,,(144!50),(195!693),(545!654),,
38,,,(138!49),(193!693),(544!654),,
39,,,(134!48),(191!693),(548!458),,
40,,(30!382),(129!48),(188!693),(545!656),,
41,(545!643),(31!383),(125!47),(187!693),(545!657),,
42,,(31!385),(121!48),(187!693),(544!653),,
43,,(31!384),(117!50),(186!693),,,
44,,(31!383),(116!54),(186!693),(545!654),,
45,,(32!383),(114!58),(186!693),(545!654),,
46,,(32!384),(111!63),(186!693),(544!655),,
47,,(32!383),(108!68),(185!694),(548!458),,
48,,(32!382),(105!72),(185!693),(549!458),,
49,(544!655),(32!380),(101!75),(181!694),(548!458),,
50,(545!654),(32!380),(97!77),(180!693),(548!459),,
51,,(33!382),(95!78),(179!693),(544!654),,
52,,(35!382),(86!75),(179!693),(544!654),,
53,,(37!381),(81!74),(179!693),(545!474),,
54,,(36!380),(76!74),(179!693),(550!458),,
55,,(38!378),(72!75),(179!693),(545!474),,
56,,(38!376),(67!75),(178!693),(544!656),,
57,,(38!375),(65!77),(176!694),(550!460),,
58,,(38!374),(64!81),(174!695),(545!474),,
59,,(38!373),(63!85),(172!695),(544!654),,
60,,(40!372),(60!90),(171!694),(544!656),(545!474),
61,,(40!370),(57!94),(168!694),,,
62,,(41!367),(55!98),(165!694),(544!655),,
63,,(42!366),(52!101),(161!694),(548!457),,
64,,(42!366),(49!103),(159!694),(548!457),,
65,,(43!366),(47!106),(154!695),,,
66,,(44!367),(44!111),(151!695),(548!458),,
67,,(45!368),(43!116),(148!695),,,
68,(544!657),(48!368),(42!120),(147!695),,,
69,(548!458),(50!369),(41!126),(146!695),,,
70,(544!654),(52!370),(42!133),(147!695),,,
71,(544!654),(54!370),(42!138),(142!695),(548!458),(545!474),
72,(545!654),(56!371),(43!145),(139!696),,(548!458),
73,(545!654),(56!372),(46!150),(135!696),,,
74,,(57!372),(49!155),(131!696),,,
