frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_49,ID_51
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(1025,123)",,,"(1165,459)",,,"(786,608)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(1031,123)",,"(713,318)","(1164,462)",,,"(789,603)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,"(705,313)","(1167,444)",,,"(795,601)","(923,734)","(1085,649)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,"(702,313)","(1168,440)",,,"(798,598)","(923,734)","(1092,642)",,,,"(1051,665)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,"(696,311)","(1166,435)",,,"(801,594)","(924,734)","(1098,637)",,,,"(1052,663)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,"(680,314)","(1167,431)",,,"(806,591)","(924,734)","(1103,630)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,"(676,325)","(1166,428)",,,"(809,588)","(927,731)","(1108,625)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,"(676,325)","(1164,424)",,,"(813,586)","(930,729)","(1112,617)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,"(676,324)","(1163,420)",,,"(819,583)","(931,729)","(1118,610)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
