frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(911,143)","(900,146)",,"(727,649)","(843,800)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(911,143)","(899,147)","(736,657)","(725,647)","(841,803)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"(910,143)","(898,147)","(736,656)","(724,648)","(843,799)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"(910,143)","(892,148)","(736,658)","(725,648)","(843,799)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"(908,144)","(895,148)","(734,655)","(724,647)","(844,797)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"(907,144)","(893,149)","(732,653)","(722,646)","(845,798)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"(906,144)","(892,149)","(732,653)","(721,645)","(846,797)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"(904,144)","(891,149)","(730,652)","(720,644)","(846,797)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"(904,145)","(889,150)","(729,651)","(719,642)","(848,795)","(842,803)","(833,515)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"(885,151)",,"(728,649)","(718,641)","(849,795)","(842,803)","(835,514)","(847,508)",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"(884,151)",,"(728,649)","(717,640)","(850,794)","(843,802)","(843,510)","(896,484)",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"(883,151)",,"(728,650)","(716,638)","(849,794)","(843,803)","(848,507)","(895,484)","(911,473)",,,,,,,,,,,,,,,,,,,,,,,,,,
20,"(881,151)",,"(728,652)","(714,637)","(850,794)","(843,801)","(850,507)","(894,484)","(911,473)",,,,,,,,,,,,,,,,,,,,,,,,,,
21,"(879,150)",,,"(713,637)","(847,796)",,"(850,506)","(895,484)","(910,474)",,,,,,,,,,,,,,,,,,,,,,,,,,
