frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_34
0,"(163,1027)","(97,1026)","(195,998)","(52,722)","(255,703)","(54,432)","(1023,403)","(80,100)",,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"(161,1026)","(96,1026)","(194,997)","(49,721)","(256,701)","(51,431)","(1022,402)","(79,99)",,,,,,,,,,,,,,,,,,,,,,
5,"(161,1027)","(96,1026)","(193,997)","(49,722)","(257,701)","(52,431)","(1022,403)","(77,97)",,,,,,,,,,,,,,,,,,,,,,
6,"(160,1026)","(96,1024)","(193,997)","(49,720)","(258,699)","(51,430)","(1021,402)","(79,99)","(312,43)",,,,,,,,,,,,,,,,,,,,,
7,"(161,1026)","(96,1026)","(193,997)","(49,721)","(260,700)","(51,431)","(1022,402)","(77,97)",,,,,,,,,,,,,,,,,,,,,,
8,"(160,1026)","(95,1025)","(193,996)","(49,720)","(260,699)","(51,431)","(1021,402)","(78,99)",,,,,,,,,,,,,,,,,,,,,,
9,"(161,1026)","(95,1026)","(193,998)","(49,720)","(261,699)","(51,431)","(1022,402)","(77,97)","(237,52)",,,,,,,,,,,,,,,,,,,,,
10,"(161,1026)","(96,1026)","(193,997)","(49,721)","(263,699)","(51,431)","(1022,402)","(77,97)","(246,53)",,,,,,,,,,,,,,,,,,,,,
11,"(161,1026)","(97,1026)","(194,997)","(50,721)","(265,699)","(52,437)","(1022,403)","(78,97)","(238,53)",,,,,,,,,,,,,,,,,,,,,
12,"(162,1026)","(97,1026)","(194,997)","(50,721)","(267,699)","(52,431)","(1022,403)","(78,97)","(236,53)",,,,,,,,,,,,,,,,,,,,,
13,"(162,1027)","(97,1026)","(195,998)","(51,720)","(268,700)","(53,432)","(1023,403)","(78,97)","(246,53)",,,,,,,,,,,,,,,,,,,,,
14,"(163,1027)","(98,1026)","(195,998)","(51,722)","(270,699)","(53,432)","(1023,403)","(78,97)",,,,,,,,,,,,,,,,,,,,,,
15,"(164,1027)","(99,1026)","(196,997)","(52,721)","(271,699)","(53,437)","(1024,403)","(79,97)",,"(1161,1028)",,,,,,,,,,,,,,,,,,,,
16,"(163,1027)","(98,1026)","(196,998)","(52,721)","(273,699)","(54,438)","(1025,403)","(79,98)",,,,,,,,,,,,,,,,,,,,,,
17,"(163,1027)","(98,1026)","(195,998)","(52,722)","(273,699)","(54,432)","(1024,403)","(79,97)",,,,,,,,,,,,,,,,,,,,,,
18,"(163,1027)","(98,1026)","(195,998)","(52,721)","(273,699)","(54,432)","(1024,403)","(79,97)",,,,,,,,,,,,,,,,,,,,,,
19,"(163,1027)","(98,1026)","(195,997)","(52,722)","(274,699)","(54,432)","(1024,403)","(79,97)",,"(1162,1028)",,,,,,,,,,,,,,,,,,,,
20,"(163,1027)","(97,1026)","(195,997)","(51,721)","(274,699)","(53,437)","(1024,402)","(81,100)","(239,53)",,,,,,,,,,,,,,,,,,,,,
21,"(163,1026)","(97,1026)","(194,997)","(51,721)","(276,698)","(53,436)","(1023,402)","(80,100)","(239,52)",,,,,,,,,,,,,,,,,,,,,
22,"(162,1026)","(96,1026)","(194,997)","(50,722)","(277,697)","(52,437)","(1022,402)","(77,97)","(238,52)",,,,,,,,,,,,,,,,,,,,,
23,"(162,1027)","(96,1026)","(194,997)","(49,722)","(277,697)","(52,431)","(1023,402)","(80,100)","(238,53)",,,,,,,,,,,,,,,,,,,,,
24,"(161,1026)","(96,1025)","(193,997)","(49,719)","(279,697)","(51,436)","(1022,402)","(77,97)","(236,52)",,,,,,,,,,,,,,,,,,,,,
25,"(161,1026)","(96,1025)","(193,997)","(49,720)","(280,696)","(51,436)","(1022,402)","(77,97)","(236,52)",,,,,,,,,,,,,,,,,,,,,
26,"(161,1026)","(96,1024)","(193,997)","(49,719)","(282,695)","(51,437)","(1022,402)","(77,97)","(236,52)",,,,,,,,,,,,,,,,,,,,,
27,"(161,1026)","(95,1024)","(193,997)","(49,721)","(283,695)","(51,436)","(1022,402)","(77,97)","(237,52)",,,,,,,,,,,,,,,,,,,,,
28,"(161,1026)","(96,1025)","(193,997)","(49,721)","(286,695)","(50,437)","(1022,402)","(77,97)",,,,,,,,,,,,,,,,,,,,,,
29,"(161,1026)","(96,1024)","(193,996)","(50,721)","(288,695)","(51,431)","(1022,402)","(77,97)","(237,52)",,,,,,,,,,,,,,,,,,,,,
30,"(162,1027)","(97,1026)","(194,997)","(51,722)","(290,696)","(51,436)","(1022,402)","(78,97)","(238,53)",,,,,,,,,,,,,,,,,,,,,
31,"(162,1027)","(97,1026)","(195,997)","(51,720)","(293,697)","(52,437)","(1023,403)","(80,100)","(239,53)",,,,,,,,,,,,,,,,,,,,,
32,"(163,1027)","(98,1026)","(195,998)","(51,720)","(293,697)","(52,437)","(1024,403)","(80,100)","(240,53)",,,,,,,,,,,,,,,,,,,,,
33,"(163,1027)","(98,1026)","(195,998)","(51,721)","(293,696)","(52,437)","(1023,403)","(78,97)","(248,53)",,,,,,,,,,,,,,,,,,,,,
34,"(163,1027)","(99,1026)","(195,999)","(52,722)","(298,697)","(53,431)","(1024,403)","(79,97)",,,,,,,,,,,,,,,,,,,,,,
35,"(164,1027)","(98,1026)","(196,997)","(52,720)","(297,696)","(53,431)","(1024,403)","(79,98)","(248,53)",,,,,,,,,,,,,,,,,,,,,
36,"(164,1027)","(99,1026)","(195,998)","(52,722)","(298,696)","(53,431)","(1024,403)","(80,98)","(238,53)",,,,,,,,,,,,,,,,,,,,,
37,"(164,1027)","(98,1026)","(195,997)","(52,722)","(302,694)","(53,431)","(1024,403)","(79,98)","(238,53)",,,,,,,,,,,,,,,,,,,,,
38,"(163,1027)","(98,1026)","(195,998)","(52,721)","(305,695)","(52,432)","(1024,403)","(79,98)",,,,,,,,,,,,,,,,,,,,,,
39,"(163,1027)","(98,1026)","(195,998)","(52,721)","(304,695)","(52,438)","(1024,403)","(81,100)","(240,53)",,,,,,,,,,,,,,,,,,,,,
40,"(163,1027)","(98,1026)","(195,997)","(52,720)","(308,694)","(52,431)","(1024,402)","(79,97)",,,,,,,,,,,,,,,,,,,,,,
41,"(163,1026)","(97,1024)","(194,997)","(51,719)","(310,694)","(51,431)","(1023,402)","(80,99)","(238,52)",,,,,,,,,,,,,,,,,,,,,
42,"(163,1027)","(97,1026)","(194,997)","(49,720)","(309,693)","(51,431)","(1023,403)","(80,100)","(246,53)",,,,,,,,,,,,,,,,,,,,,
43,"(162,1027)","(97,1026)","(193,997)","(49,720)","(309,692)","(51,431)","(1022,402)","(77,97)","(245,53)",,,,,,,,,,,,,,,,,,,,,
44,"(162,1027)","(97,1026)","(193,997)","(50,720)","(309,692)","(51,437)","(1022,402)","(77,97)","(237,52)",,,,,,,,,,,,,,,,,,,,,
45,"(162,1027)","(96,1025)","(193,997)","(49,720)","(310,691)","(50,431)","(1022,402)","(76,96)",,,,,,,,,,,,,,,,,,,,,,
46,"(162,1026)","(96,1025)","(193,997)","(49,719)","(312,691)","(50,431)","(1022,402)","(79,100)","(244,52)",,,,,,,,,,,,,,,,,,,,,
47,"(162,1027)","(96,1025)","(192,997)","(49,720)","(314,691)","(50,431)","(1023,402)","(77,96)","(244,52)",,,,,,,,,,,,,,,,,,,,,
48,"(162,1027)","(96,1025)","(192,998)","(49,720)","(316,690)","(50,430)","(1022,402)","(77,96)","(237,52)",,,,,,,,,,,,,,,,,,,,,
49,"(161,1027)","(96,1025)","(192,997)","(49,720)","(317,690)","(51,437)","(1023,402)","(77,97)","(238,53)",,,,,,,,,,,,,,,,,,,,,
50,"(162,1027)","(97,1026)","(193,997)","(51,720)","(321,690)","(52,437)","(1023,402)","(78,97)","(238,53)",,,,,,,,,,,,,,,,,,,,,
51,"(162,1027)","(97,1026)","(191,998)","(51,721)","(323,688)","(52,431)","(1024,403)","(80,100)","(239,53)",,,,,,,,,,,,,,,,,,,,,
52,"(163,1027)","(97,1026)","(192,997)","(52,721)","(327,688)","(51,431)","(1024,403)","(81,100)","(240,53)","(1162,1028)",,,,,,,,,,,,,,,,,,,,
53,"(163,1026)","(98,1026)","(191,997)","(52,720)","(330,688)","(52,431)","(1024,403)","(79,97)","(240,53)",,,,,,,,,,,,,,,,,,,,,
54,"(164,1027)","(98,1026)","(194,997)","(52,720)","(332,686)","(51,438)","(1024,403)","(79,97)","(241,53)",,,,,,,,,,,,,,,,,,,,,
55,"(164,1027)","(98,1026)","(194,997)","(52,720)","(334,686)","(51,433)","(1024,402)","(79,97)","(241,53)",,,,,,,,,,,,,,,,,,,,,
56,"(164,1027)","(98,1026)","(192,996)","(52,720)","(335,685)","(52,431)","(1024,402)","(79,97)","(241,53)",,,,,,,,,,,,,,,,,,,,,
57,"(164,1027)","(98,1026)","(192,996)","(52,720)","(338,684)","(52,431)","(1024,402)","(80,97)","(241,52)",,,,,,,,,,,,,,,,,,,,,
58,"(163,1027)","(97,1026)","(192,996)","(52,720)","(340,684)","(53,431)","(1024,402)","(79,97)","(240,52)",,,,,,,,,,,,,,,,,,,,,
59,"(164,1027)","(98,1026)","(192,996)","(52,720)","(342,682)","(53,430)","(1024,402)","(79,97)","(246,52)",,,,,,,,,,,,,,,,,,,,,
60,"(163,1026)","(97,1026)","(194,996)","(52,721)","(343,681)","(52,430)","(1023,402)","(81,99)",,,,,,,,,,,,,,,,,,,,,,
61,"(163,1026)","(97,1025)","(194,995)","(51,721)","(345,681)","(52,430)","(1023,402)","(78,96)","(245,52)",,,,,,,,,,,,,,,,,,,,,
62,"(163,1026)","(98,1024)","(191,995)","(51,719)","(346,680)","(52,430)","(1023,402)","(78,96)","(245,52)",,,,,,,,,,,,,,,,,,,,,
63,"(162,1026)","(97,1024)","(193,996)","(50,719)","(348,679)","(51,430)","(1023,402)","(80,99)","(244,52)",,,,,,,,,,,,,,,,,,,,,
