frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_16,ID_18,ID_19,ID_20,ID_21,ID_22
0,"(1366,1013)","(830,1015)","(1353,993)","(1123,278)","(833,199)","(1354,130)","(394,125)","(1198,94)","(1356,67)","(669,62)","(1033,57)",,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,
4,"(1353,992)","(831,1014)",,"(1121,277)","(833,199)","(1353,130)","(392,126)","(1198,94)","(1357,66)",,"(1033,57)",,,,,,,,,,
5,"(1353,992)","(831,1015)",,"(1121,278)","(836,203)","(1354,131)","(391,127)","(1198,94)","(1357,67)","(668,62)","(1033,57)",,,,,,,,,,
6,"(1353,992)","(831,1015)","(1368,1011)","(1122,278)","(837,203)","(1354,131)","(391,127)","(1199,95)","(1357,68)","(669,63)","(1034,57)",,,,,,,,,,
7,"(1354,992)","(831,1015)",,"(1122,278)","(833,201)","(1355,131)","(394,124)","(1199,94)","(1357,67)","(669,62)","(1034,57)",,,,,,,,,,
8,"(1353,992)","(831,1016)",,"(1122,278)","(837,203)","(1356,132)","(391,127)","(1199,95)","(1357,67)","(669,63)","(1034,57)",,,,,,,,,,
9,"(1353,992)","(832,1016)",,"(1124,279)","(838,203)","(1355,132)","(392,127)","(1199,95)","(1358,68)","(669,64)",,,,,,,,,,,
10,"(1353,992)","(832,1016)",,"(1122,278)","(833,201)","(1355,132)","(392,128)","(1199,95)","(1358,68)","(669,63)","(1034,58)",,,,,,,,,,
11,"(1353,993)","(832,1017)",,"(1121,278)","(833,200)","(1355,132)","(394,125)","(1198,95)","(1357,68)","(669,63)","(1033,57)",,,,,,,,,,
12,"(1353,993)","(832,1017)",,"(1121,279)","(833,201)","(1355,133)","(393,128)","(1199,95)","(1357,68)","(669,63)","(1034,58)",,,,,,,,,,
13,"(1353,993)","(832,1017)",,"(1121,279)","(838,203)","(1355,132)","(393,128)","(1198,95)","(1357,68)","(669,63)","(1034,58)",,,,,,,,,,
14,"(1353,993)","(831,1016)",,"(1122,279)","(837,203)","(1355,132)","(396,126)","(1199,95)","(1357,68)","(669,63)","(1034,57)",,,,,,,,,,
15,"(1353,993)","(831,1016)",,"(1122,279)","(837,203)","(1355,132)","(393,128)","(1199,95)","(1357,68)","(669,63)","(1033,57)",,,,,,,,,,
16,"(1352,993)","(832,1016)",,"(1122,278)","(837,203)","(1355,132)","(394,129)","(1198,94)","(1358,68)","(669,62)","(1033,57)",,,,,,,,,,
17,"(1353,993)","(831,1016)","(1367,1011)","(1122,278)","(833,200)","(1355,132)","(396,126)","(1198,94)","(1357,68)","(669,62)","(1033,57)",,,,,,,,,,
18,"(1352,993)","(832,1015)",,"(1122,278)","(833,200)","(1354,131)","(394,128)","(1198,94)","(1362,62)","(669,62)","(1034,57)",,,,,,,,,,
19,"(1352,994)","(832,1016)",,"(1122,278)","(837,202)","(1354,131)","(394,128)","(1198,93)","(1362,61)","(668,61)","(1033,57)",,,,,,,,,,
20,"(1352,995)","(831,1016)",,"(1121,279)","(836,202)","(1354,131)","(396,127)","(1198,94)","(1357,68)","(668,62)","(1033,57)",,,,,,,,,,
21,"(1352,995)","(831,1016)",,"(1122,278)","(836,202)","(1354,132)","(394,128)","(1198,94)","(1357,68)","(668,62)","(1033,57)",,,,,,,,,,
22,"(1352,994)","(832,1016)",,"(1122,278)","(836,202)","(1354,131)","(394,128)","(1197,93)","(1357,68)","(668,62)","(1033,57)",,,,,,,,,,
23,"(1353,994)","(831,1017)",,"(1122,279)","(833,201)","(1354,132)","(394,128)","(1198,95)","(1362,62)","(668,63)","(1033,58)",,,,,,,,,,
24,"(1353,995)","(832,1016)",,"(1122,279)","(837,203)","(1354,132)","(394,128)","(1197,94)","(1362,62)","(668,62)","(1034,57)",,,,,,,,,,
25,"(1353,995)","(831,1016)",,"(1125,280)","(832,201)","(1355,132)","(394,128)","(1197,94)","(1357,69)","(668,63)","(1034,57)",,,,,,,,,,
26,"(1353,995)","(831,1016)",,"(1126,280)","(832,201)","(1355,132)","(394,128)","(1197,94)","(1357,68)","(668,63)","(1033,58)",,,,,,,,,,
27,"(1353,996)","(832,1016)",,"(1126,281)","(837,203)","(1355,132)","(395,127)","(1198,95)","(1357,69)","(669,63)","(1034,58)",,,,,,,,,,
28,,"(832,1016)",,"(1123,280)","(837,203)","(1356,132)","(396,127)","(1198,95)","(1357,69)","(669,63)",,,,,,,,,,,
29,,"(832,1017)",,"(1127,281)","(838,203)","(1356,132)","(396,127)","(1198,94)","(1358,69)","(669,63)","(1034,58)",,,,,,,,,,
30,,"(832,1016)",,"(1123,280)","(833,201)","(1356,132)","(398,126)","(1198,94)","(1357,69)","(669,63)",,,,,,,,,,,
31,"(1354,997)","(832,1016)",,"(1123,280)","(837,203)","(1356,133)","(399,124)","(1198,94)","(1357,69)","(669,63)",,,,,,,,,,,
32,"(1354,998)","(832,1016)",,"(1123,280)","(833,201)","(1355,132)","(399,123)","(1198,94)","(1362,63)","(669,63)","(1034,57)",,,,,,,,,,
33,"(1353,998)","(833,1016)",,"(1126,281)","(833,201)","(1355,132)","(400,122)","(1198,94)","(1358,68)","(669,63)","(1034,58)",,,,,,,,,,
34,"(1353,998)","(832,1016)",,"(1126,280)","(837,203)","(1355,132)","(400,122)","(1198,94)","(1362,62)","(669,63)","(1034,58)",,,,,,,,,,
35,"(1353,999)","(832,1017)",,"(1126,280)","(837,203)","(1355,132)","(400,122)","(1198,93)","(1358,69)","(669,63)",,,,,,,,,,,
36,"(1353,999)","(832,1016)",,"(1126,280)","(833,201)","(1355,132)","(400,122)","(1197,93)","(1357,69)","(669,63)",,,,,,,,,,,
37,"(1353,999)","(832,1016)",,"(1125,279)","(833,200)","(1355,132)","(400,122)","(1198,94)","(1358,68)","(669,63)","(1034,58)",,,,,,,,,,
38,"(1353,1000)","(832,1016)",,"(1125,280)","(837,203)","(1356,131)","(401,122)","(1198,93)","(1358,68)","(669,62)","(1034,58)",,,,,,,,,,
39,"(1352,1001)","(832,1017)","(1366,1013)","(1126,280)","(833,201)","(1355,132)","(401,122)","(1197,93)","(1358,68)","(669,63)","(1034,58)",,,,,,,,,,
40,"(1353,1001)","(832,1017)",,"(1123,279)","(837,203)","(1355,132)","(401,122)","(1197,93)","(1358,68)","(669,63)","(1034,58)",,,,,,,,,,
41,"(1352,1001)","(832,1017)",,"(1126,280)","(832,201)","(1355,133)","(401,122)","(1197,93)","(1358,68)","(668,64)","(1033,58)",,,,,,,,,,
42,"(1353,1001)","(832,1017)",,"(1123,279)","(837,204)","(1355,132)","(401,122)","(1197,94)","(1357,68)","(668,63)",,,,,,,,,,,
43,"(1352,1001)","(832,1017)",,"(1127,280)","(837,204)","(1355,132)","(402,122)","(1197,94)","(1357,69)","(668,63)",,,,,,,,,,,
44,"(1353,1002)","(833,1017)",,"(1123,279)","(833,201)","(1355,132)","(403,122)","(1197,93)","(1358,69)","(669,64)","(1034,59)",,,,,,,,,,
45,"(1353,1002)","(833,1017)",,"(1127,281)","(832,202)","(1355,133)","(403,122)","(1197,93)","(1358,69)","(669,64)","(1034,58)",,,,,,,,,,
46,"(1352,1003)","(832,1017)",,"(1128,282)","(833,202)","(1355,133)","(404,122)","(1197,93)","(1357,69)","(669,64)","(1034,59)",,,,,,,,,,
47,"(1353,1001)","(833,1017)",,"(1125,281)","(833,202)","(1355,133)","(405,121)","(1197,93)","(1357,69)","(669,64)","(1034,58)",,,,,,,,,,
48,"(1353,1002)","(833,1017)",,"(1128,281)","(833,202)","(1355,132)","(406,121)","(1198,93)","(1357,69)","(669,64)","(1034,59)",,,,,,,,,,
49,"(1353,1002)","(832,1018)",,"(1125,281)","(833,202)","(1355,133)","(407,121)","(1198,93)","(1358,68)","(669,63)","(1034,59)",,,,,,,,,,
50,"(1353,1002)","(833,1017)",,"(1126,281)","(833,202)","(1355,132)","(406,121)","(1197,93)","(1358,69)","(669,64)","(1034,59)",,,,,,,,,,
51,"(1353,1003)","(832,1018)",,"(1126,281)","(837,204)","(1355,133)","(406,121)","(1198,93)","(1358,68)","(669,64)","(1034,59)",,,,,,,,,,
52,"(1353,1002)","(833,1017)",,"(1126,281)","(837,204)","(1355,133)","(406,121)","(1197,93)","(1357,68)","(669,64)","(1034,58)",,,,,,,,,,
53,"(1353,1002)","(832,1018)",,"(1130,281)","(832,202)","(1355,133)","(406,120)","(1197,93)","(1357,69)","(669,63)","(1034,58)",,,,,,,,,,
54,"(1353,1002)","(832,1017)",,"(1128,281)","(837,204)","(1355,133)","(406,120)","(1198,92)","(1357,69)","(669,64)",,,,,,,,,,,
55,"(1352,1002)","(832,1017)",,"(1131,281)","(836,204)","(1355,132)","(406,119)","(1197,92)","(1357,69)","(668,63)",,,,,,,,,,,
56,"(1353,1002)","(832,1016)",,"(1131,281)","(836,204)","(1354,132)","(406,119)","(1197,92)","(1357,68)","(668,63)","(1033,58)",,,,,,,,,,
57,"(1352,1003)","(832,1017)",,"(1131,282)","(836,204)","(1354,132)","(406,119)","(1197,93)","(1357,68)","(668,63)",,,,,,,,,,,
58,"(1352,1003)","(832,1017)",,"(1133,282)","(836,204)","(1355,132)","(406,119)","(1197,92)","(1357,68)","(668,63)",,,,,,,,,,,
59,"(1352,1003)","(832,1017)",,"(1133,282)","(836,204)","(1354,132)","(406,120)","(1197,94)","(1362,63)","(668,63)",,"(964,1077)",,,,,,,,,
60,"(1352,1003)","(832,1018)",,"(1133,282)","(832,202)","(1354,133)","(406,120)","(1197,93)","(1357,69)","(668,63)","(1033,59)",,,"(603,1076)",,,,,,,
61,"(1352,1003)","(831,1018)",,"(1133,283)","(836,204)","(1354,133)","(407,120)","(1197,93)","(1357,69)","(668,64)","(1033,59)",,,,,,,,,,
62,"(1352,1004)","(832,1018)",,"(1134,283)","(836,204)","(1354,133)","(408,121)","(1198,93)","(1357,69)","(669,64)",,,,,,,,,,,
63,"(1352,1004)","(832,1018)",,"(1131,282)","(836,204)","(1354,133)","(408,121)","(1197,93)","(1356,69)","(668,64)",,,,,,,,,,,
64,"(1352,1005)","(832,1019)",,"(1134,283)","(836,204)","(1354,133)","(408,121)","(1197,93)","(1356,69)","(668,64)","(1033,59)",,,"(603,1076)",,,,,,,
65,"(1352,1005)","(832,1018)",,"(1131,282)","(836,204)","(1355,133)","(408,121)","(1197,93)","(1357,69)","(668,64)","(1033,59)",,,"(603,1077)",,,,,,,
66,"(1352,1004)","(832,1018)",,"(1135,283)","(836,204)","(1354,133)","(408,122)","(1197,94)","(1356,69)","(669,64)","(1033,59)",,,"(603,1077)",,,,,,,
