frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14
0,"(750,855)","(283,854)","(530,807)","(422,457)","(1111,403)","(1059,268)","(931,197)","(675,104)","(950,61)",,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,"(750,855)","(281,854)","(531,808)","(424,459)","(1112,403)","(1059,268)","(933,199)","(676,107)","(946,62)",,,,,,
5,"(751,855)","(281,854)","(532,808)","(425,459)","(1112,403)","(1060,268)","(935,200)","(676,108)","(946,62)",,,,,,
6,"(751,855)","(281,854)","(532,808)","(425,459)","(1112,403)","(1060,268)","(935,201)","(676,108)","(945,62)",,,,,,
7,"(751,856)","(281,855)","(533,808)","(425,460)","(1112,403)","(1060,268)","(935,201)","(677,109)","(943,62)",,,,,,
8,"(751,855)","(281,854)","(533,808)","(425,459)","(1112,402)","(1060,268)","(935,201)","(678,109)","(945,62)",,,,,,
9,"(751,856)","(281,855)","(532,808)","(425,460)","(1112,403)","(1059,268)","(935,201)","(678,109)","(941,62)",,,,,,
10,"(750,856)","(281,855)","(532,809)","(425,460)","(1111,403)","(1060,268)","(935,201)","(679,110)","(939,62)",,,,,,
11,"(750,856)","(280,855)","(531,809)","(425,459)","(1111,402)","(1059,269)","(934,202)","(679,110)","(938,62)",,,,,,
12,"(750,856)","(280,855)","(531,808)","(425,459)","(1111,402)","(1058,268)","(934,202)","(680,110)","(936,63)",,,,,,
13,"(750,856)","(280,855)","(531,808)","(426,460)","(1111,401)","(1059,268)","(935,203)","(684,113)","(936,63)",,,,,,
14,"(750,856)","(280,855)","(531,808)","(427,459)","(1112,400)","(1059,268)","(934,203)","(684,114)","(935,63)",,,,,,
15,"(750,856)","(280,855)","(530,808)","(428,460)","(1112,399)","(1059,268)","(934,203)","(684,112)","(938,63)",,,,,,
16,"(750,855)","(280,854)","(530,808)","(427,460)","(1111,397)","(1058,268)","(934,202)","(680,110)","(930,62)",,,,,,
17,"(750,856)","(280,855)","(529,808)","(427,461)","(1111,397)","(1058,268)","(935,203)","(681,111)","(930,62)",,,,,,
18,"(750,855)","(280,854)","(530,808)","(427,460)","(1111,396)","(1059,268)","(935,204)","(682,111)","(929,62)",,,,,,
19,"(750,856)","(280,854)","(530,808)","(428,460)","(1111,396)","(1059,268)","(935,205)","(682,111)","(928,62)",,,,,,
20,"(750,856)","(280,854)","(530,809)","(427,460)","(1111,396)","(1058,268)","(935,204)","(686,111)","(927,61)",,,,,,
21,"(750,856)","(281,854)","(531,809)","(429,460)","(1111,397)","(1059,268)","(935,204)","(683,112)","(925,62)",,,,,,
22,"(751,856)","(281,855)","(531,809)","(430,459)","(1112,398)","(1059,268)","(936,206)","(688,114)","(925,61)",,,,,,
23,"(751,856)","(281,855)","(531,809)","(430,459)","(1112,397)","(1059,268)","(936,204)","(685,114)","(923,62)",,,,,,
24,"(750,855)","(281,854)","(530,809)","(430,460)","(1112,397)","(1060,268)","(936,204)","(685,114)","(922,62)",,,,,,
25,"(750,855)","(281,854)","(531,809)","(430,459)","(1112,397)","(1060,268)","(936,204)","(686,114)","(921,62)",,,,,,
26,"(751,856)","(281,855)","(530,809)","(430,459)","(1112,397)","(1060,268)","(936,204)","(686,114)","(918,62)",,,,,,
27,"(751,856)","(281,854)","(530,809)","(430,459)","(1112,397)","(1060,268)","(936,204)","(686,114)","(917,62)",,,,,,
28,"(751,856)","(281,855)","(530,810)","(431,458)","(1112,397)","(1060,268)","(936,206)","(686,114)","(916,62)",,,,,,
29,"(751,856)","(281,855)","(529,810)","(431,458)","(1111,397)","(1060,268)","(936,206)","(686,113)","(915,62)",,,,,,
30,"(751,855)","(281,855)","(529,810)","(430,458)","(1111,398)","(1060,268)","(936,206)","(686,115)","(915,62)",,,,,,
31,"(751,856)","(281,855)","(529,810)","(430,459)","(1111,398)","(1059,268)","(936,206)","(686,115)","(913,62)",,,,,,
32,"(750,856)","(280,854)","(528,810)","(430,458)","(1111,398)","(1059,268)","(936,204)","(686,115)","(910,62)",,,,,,
33,"(750,856)","(280,854)","(527,810)","(429,458)","(1111,397)","(1059,268)","(936,204)","(686,115)","(909,61)",,,,,,
34,"(750,856)","(280,855)","(527,811)","(429,458)","(1110,397)","(1059,268)","(936,204)","(686,115)","(908,61)",,,,,,
35,"(750,855)","(280,854)","(527,810)","(429,458)","(1111,397)","(1058,268)","(936,204)","(686,115)","(906,61)",,,,,,
36,"(750,856)","(280,855)","(527,811)","(429,458)","(1110,396)","(1058,268)","(936,204)","(686,115)","(905,60)",,,,,,
37,"(750,856)","(280,854)","(527,810)","(429,458)","(1111,395)","(1058,268)","(935,204)","(687,115)","(902,58)",,,,,,
38,"(751,856)","(281,855)","(527,810)","(431,458)","(1112,395)","(1059,268)","(935,205)","(687,115)","(903,61)",,,,,,
39,"(751,856)","(281,855)","(527,810)","(431,457)","(1113,394)","(1059,268)","(935,205)","(688,115)","(902,60)",,,,,,
40,"(751,856)","(280,855)","(526,811)","(431,458)","(1112,394)","(1060,268)","(935,205)","(687,114)",,,,,,,
41,"(751,856)","(281,854)","(526,811)","(431,458)","(1113,393)","(1060,268)","(936,206)","(690,117)","(899,61)",,,,,,
42,"(751,855)","(281,855)","(527,811)","(432,458)","(1113,393)","(1061,268)","(936,206)","(687,115)","(899,61)",,,,,,
43,"(751,855)","(281,855)","(527,812)","(432,458)","(1113,394)","(1060,268)","(936,206)","(687,114)","(896,61)",,,,,,
44,"(751,856)","(281,855)","(527,812)","(432,458)","(1113,393)","(1060,268)","(935,206)","(687,115)","(895,62)",,,,,,
45,"(751,856)","(281,855)","(527,812)","(432,458)","(1113,392)","(1060,268)","(936,205)","(687,114)","(895,62)",,"(1363,100)",,,,
46,"(751,856)","(281,855)","(527,813)","(432,459)","(1114,392)","(1060,269)","(935,206)","(687,115)","(886,62)",,"(1363,99)",,,,
47,"(751,856)","(282,855)","(527,813)","(432,459)","(1113,392)","(1060,269)","(935,206)","(686,114)","(892,62)",,"(1363,99)",,,,
48,"(751,856)","(281,855)","(527,813)","(432,459)","(1113,392)","(1060,269)","(935,206)","(689,115)","(891,62)",,"(1363,99)",,,,
49,"(751,856)","(281,855)","(527,812)","(432,458)","(1112,391)","(1060,268)","(936,206)","(684,112)","(884,61)",,,,,,
50,"(751,856)","(281,855)","(526,813)","(431,459)","(1112,391)","(1060,269)","(936,206)","(684,113)","(882,61)",,"(1362,98)",,,,
51,"(750,856)","(280,855)","(525,812)","(431,459)","(1112,391)","(1059,268)","(935,206)","(687,113)","(883,61)",,"(1362,96)",,,,
52,"(751,857)","(280,855)","(526,813)","(430,459)","(1112,394)","(1059,268)","(935,207)","(683,112)","(882,62)",,"(1361,95)",,,,
53,"(750,856)","(280,854)","(525,812)","(430,458)","(1111,389)","(1058,268)","(935,206)","(683,111)","(879,61)",,"(1361,93)",,,,
54,"(750,857)","(280,855)","(525,813)","(431,458)","(1112,394)","(1059,269)","(935,207)","(684,112)","(888,62)",,"(1362,93)",,,,
55,"(750,856)","(280,854)","(525,812)","(431,458)","(1112,389)","(1058,268)","(935,207)","(683,111)","(877,62)",,"(1361,91)",,,,
56,"(750,856)","(280,855)","(524,813)","(431,458)","(1113,388)","(1059,268)","(935,207)","(683,111)","(880,60)",,"(1362,90)",,,,
57,"(750,856)","(280,854)","(524,813)","(431,458)","(1113,388)","(1059,268)","(936,208)","(683,112)","(878,61)",,"(1361,89)",,,,
58,"(750,856)","(280,854)","(524,813)","(431,458)","(1114,388)","(1059,268)","(936,209)","(684,112)","(879,62)",,"(1361,88)",,,,
59,"(751,856)","(280,855)","(524,813)","(432,458)","(1115,388)","(1060,268)","(937,208)","(684,112)","(879,62)",,"(1362,86)",,,,
60,"(750,856)","(280,854)","(524,812)","(432,458)","(1114,391)","(1060,268)","(939,210)","(684,112)","(878,61)",,"(1363,84)",,,,
61,"(750,856)","(281,854)","(524,812)","(432,458)","(1114,387)","(1060,268)","(940,211)","(684,112)","(872,61)",,"(1362,85)",,,,
62,"(750,856)","(280,855)","(524,812)","(432,458)","(1114,387)","(1059,268)","(938,210)","(684,112)","(876,62)",,"(1363,84)",,,,
63,"(751,856)","(281,855)","(525,813)","(432,458)","(1115,387)","(1060,268)","(939,209)","(685,112)","(875,62)",,"(1363,82)",,,,
64,"(751,856)","(281,855)","(525,813)","(433,458)","(1115,386)","(1060,268)","(938,209)","(684,111)",,,"(1363,74)",,,,
65,"(751,856)","(282,855)","(526,813)","(433,459)","(1115,386)","(1059,268)","(938,210)","(684,111)",,,"(1363,73)",,,,
66,"(751,856)","(281,855)","(525,812)","(433,459)","(1115,390)","(1060,268)","(939,211)","(684,111)",,,"(1363,75)",,,,
67,"(751,856)","(282,855)","(527,812)","(433,459)","(1115,390)","(1060,268)","(939,211)","(684,111)",,,"(1362,80)",,,,
68,"(751,856)","(281,855)","(527,813)","(432,459)","(1114,389)","(1060,268)","(938,212)","(683,111)",,,"(1363,69)",,,,
69,"(751,856)","(281,855)","(527,812)","(432,459)","(1115,384)","(1059,268)","(939,211)","(682,111)",,,"(1363,67)",,,,
70,"(750,856)","(281,854)","(527,812)","(432,458)","(1115,383)","(1059,268)","(939,211)","(687,110)","(865,61)",,"(1362,68)",,,,
71,"(750,856)","(284,855)","(527,812)","(432,459)","(1115,384)","(1059,268)","(938,213)","(683,110)","(865,60)",,"(1362,69)",,,,
72,"(750,857)","(283,855)","(527,811)","(431,459)","(1115,384)","(1059,268)","(938,213)","(686,110)","(865,61)",,"(1363,68)",,,,
73,"(750,856)","(283,854)","(527,811)","(432,458)","(1115,383)","(1059,268)","(939,213)","(686,109)","(861,60)",,"(1362,67)",,,,
74,"(750,856)","(283,855)","(528,811)","(431,458)","(1115,382)","(1059,268)","(939,214)","(682,110)","(864,62)",,"(1362,67)",,,,
75,"(750,856)","(283,854)","(527,811)","(431,459)","(1114,382)","(1059,268)","(939,215)","(686,109)","(863,62)",,"(1363,65)",,,,
76,"(750,856)","(283,854)","(527,811)","(431,459)","(1115,382)","(1059,268)","(939,215)","(687,109)","(863,63)",,"(1361,73)",,,,
77,"(750,856)","(282,854)","(527,812)","(431,458)","(1114,381)","(1059,268)","(939,215)","(683,108)","(856,61)",,"(1361,63)",,,,
78,"(750,856)","(282,854)","(528,812)","(432,458)","(1114,381)","(1060,268)","(940,215)","(694,111)","(853,62)",,"(1362,73)",,,,
79,"(751,856)","(282,854)","(528,812)","(432,459)","(1114,380)","(1059,268)","(940,215)","(695,111)","(852,62)",,"(1360,63)",,,,
80,"(751,856)","(283,854)","(528,812)","(432,458)","(1114,379)","(1059,268)","(940,215)","(692,110)","(851,62)",,"(1361,73)",,,,
81,"(751,856)","(284,855)","(529,813)","(433,459)","(1115,379)","(1060,268)","(941,215)","(692,109)",,,"(1362,73)",,,,
82,"(751,856)","(281,855)","(529,813)","(432,459)","(1114,379)","(1059,268)","(940,215)","(693,107)","(850,62)",,"(1361,73)",,,,
