frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_13
0,"(162,1029)","(122,999)","(1164,798)","(347,666)","(1367,478)","(117,71)","(1298,71)","(724,50)","(868,50)",,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,"(161,1028)","(122,998)","(1165,795)","(347,666)","(1367,474)","(117,71)","(1298,71)","(724,50)","(868,49)",,,
5,"(161,1028)","(122,998)","(1162,798)","(347,665)","(1367,476)","(116,70)","(1296,72)","(724,49)","(869,49)",,,
6,"(161,1028)","(122,998)","(1164,796)","(347,665)","(1367,476)","(116,70)","(1298,69)","(724,49)","(869,49)",,,
7,"(165,1031)","(122,999)","(1161,800)","(348,666)","(1367,474)","(118,73)","(1297,74)","(724,50)","(869,49)",,,
8,"(161,1028)","(122,998)","(1162,800)","(348,666)","(1367,475)","(117,71)","(1297,73)","(725,49)","(869,49)",,,
9,"(161,1028)","(123,998)","(1162,800)","(348,665)","(1367,475)","(119,72)","(1297,73)","(725,49)","(869,49)",,,
10,"(173,1028)","(123,998)","(1161,800)","(348,666)","(1367,474)","(117,71)","(1297,73)","(725,49)","(869,49)",,,
11,"(174,1029)","(124,999)","(1164,798)","(349,666)","(1367,477)","(117,72)","(1299,71)","(726,50)","(870,50)",,,
12,"(165,1031)","(123,999)","(1163,799)","(349,667)","(1367,476)","(120,73)","(1297,74)","(726,50)","(870,50)",,,
13,"(166,1031)","(124,999)","(1163,799)","(349,666)","(1367,477)","(121,73)","(1300,70)","(726,50)","(870,49)",,,
14,"(165,1031)","(123,999)","(1162,799)","(349,666)","(1367,477)","(121,73)","(1300,71)","(726,50)","(870,49)",,,
15,"(161,1030)","(124,1000)","(1159,804)","(348,667)","(1367,476)","(119,74)","(1297,75)","(726,51)","(870,51)",,,
16,"(161,1030)","(123,1000)","(1158,805)","(348,667)","(1367,476)","(120,73)","(1297,74)","(726,50)","(870,50)",,,
17,"(159,1029)","(123,999)","(1157,804)","(348,666)","(1367,477)","(118,73)","(1299,70)","(725,50)","(869,49)",,,
18,"(159,1029)","(123,999)","(1157,805)","(348,666)","(1367,476)","(120,73)","(1296,74)","(725,50)","(869,49)",,,
19,"(158,1030)","(122,999)","(1157,805)","(348,666)","(1367,476)","(117,72)","(1299,71)","(725,51)","(868,50)",,,
20,"(163,1031)","(122,999)","(1159,802)","(347,666)","(1367,476)","(118,73)","(1296,74)","(724,50)","(871,49)",,,
21,"(156,1029)","(122,999)","(1159,801)","(348,666)","(1367,476)","(116,71)","(1298,70)","(724,50)","(868,49)",,,
22,"(156,1029)","(122,999)","(1156,805)","(348,666)","(1367,476)","(116,71)","(1295,73)","(724,49)","(869,49)",,,
23,"(155,1029)","(122,999)","(1158,802)","(347,666)","(1367,476)","(117,71)","(1298,70)","(724,50)","(869,49)",,,
24,"(154,1029)","(122,999)","(1157,803)","(347,666)","(1367,476)","(117,70)","(1296,73)","(724,49)","(869,49)",,,
25,"(154,1029)","(123,998)","(1156,806)","(348,665)","(1367,476)","(117,70)","(1296,73)","(724,49)","(870,49)",,,
26,"(154,1029)","(122,998)","(1155,807)","(348,665)","(1367,476)","(117,71)","(1298,70)","(724,49)","(871,49)",,,
27,"(154,1028)","(122,998)","(1155,807)","(348,666)","(1367,476)","(117,71)","(1298,70)","(725,49)","(869,49)",,,
28,"(153,1028)","(122,998)","(1154,807)","(348,666)","(1367,476)","(118,71)","(1297,73)","(725,49)","(869,49)",,,
29,"(153,1029)","(123,998)","(1154,808)","(348,666)","(1367,476)","(118,71)","(1297,73)","(725,49)","(869,49)",,,
30,"(153,1030)","(123,999)","(1154,808)","(348,666)","(1367,476)","(118,72)","(1299,70)","(725,49)","(869,49)",,,
31,"(153,1029)","(123,999)","(1153,810)","(349,666)","(1367,476)","(118,73)","(1297,74)","(726,50)","(870,50)",,,
32,"(152,1029)","(123,999)","(1153,810)","(348,666)","(1367,476)","(118,71)","(1297,74)","(725,50)","(870,49)",,,
33,"(152,1029)","(123,999)","(1152,810)","(349,666)","(1367,476)","(118,72)","(1299,71)","(726,50)","(870,49)",,,
34,"(152,1030)","(123,999)","(1151,810)","(348,666)","(1367,476)","(118,71)","(1299,71)","(726,50)","(870,49)",,,
35,"(152,1030)","(123,999)","(1151,810)","(348,666)","(1367,476)","(118,72)","(1297,75)","(726,50)","(870,50)",,,
36,"(151,1030)","(123,999)","(1151,810)","(348,666)","(1367,476)","(118,73)","(1297,74)","(725,50)","(870,50)",,,
37,"(151,1029)","(123,999)","(1150,810)","(348,666)","(1367,476)","(118,73)","(1297,74)","(725,50)","(872,49)",,,
38,"(151,1029)","(123,999)","(1149,810)","(348,666)","(1367,477)","(120,73)","(1296,74)","(725,50)","(869,49)",,,
39,"(150,1030)","(122,999)","(1149,810)","(348,666)","(1367,476)","(117,72)","(1296,74)","(725,51)","(869,49)",,,
40,"(150,1029)","(123,999)","(1151,806)","(348,666)","(1367,476)","(118,71)","(1297,74)","(725,50)","(870,49)",,,
41,"(150,1028)","(123,999)","(1150,806)","(348,666)","(1367,476)","(117,70)","(1298,70)","(725,50)","(869,49)",,,
42,"(150,1028)","(123,998)","(1145,807)","(348,665)","(1367,476)","(118,72)","(1296,74)","(725,49)","(869,49)",,,
43,"(149,1028)","(123,998)","(1146,809)","(348,666)","(1367,476)","(117,72)","(1296,74)","(725,50)","(871,49)",,,
44,"(149,1028)","(122,999)","(1146,806)","(348,666)","(1367,476)","(118,71)","(1297,74)","(725,49)","(869,49)",,,
45,"(150,1028)","(123,998)","(1146,805)","(348,665)","(1367,476)","(117,71)","(1297,73)","(725,49)","(870,49)",,,
46,"(150,1028)","(124,999)","(1147,809)","(348,666)","(1367,476)","(118,71)","(1297,73)","(725,49)","(870,49)",,,
47,"(150,1028)","(123,999)","(1146,809)","(348,666)","(1367,475)","(117,71)","(1297,74)","(725,50)","(872,50)",,,
48,"(149,1028)","(123,999)","(1146,809)","(348,666)","(1367,476)","(118,71)","(1297,74)","(725,50)","(870,49)",,,
49,"(150,1028)","(123,999)","(1146,809)","(348,666)","(1367,474)","(118,72)","(1299,71)","(725,50)","(871,50)",,,
50,"(151,1029)","(124,1000)","(1149,806)","(348,666)","(1367,476)","(121,73)","(1297,74)","(725,50)","(872,49)",,,
51,"(149,1029)","(123,999)","(1149,806)","(348,666)","(1367,476)","(120,73)","(1297,74)","(725,50)","(872,49)",,,
52,"(149,1029)","(123,999)","(1149,806)","(348,666)","(1367,476)","(117,72)","(1299,71)","(725,50)","(870,50)",,,
53,"(148,1029)","(123,999)","(1146,809)","(348,666)","(1367,476)","(117,72)","(1299,71)","(725,50)","(872,49)",,,
54,"(148,1029)","(123,999)","(1149,806)","(348,666)","(1367,476)","(117,72)","(1297,74)","(725,50)","(871,50)",,,
55,"(148,1029)","(123,999)","(1148,806)","(348,666)","(1367,477)","(117,72)","(1299,71)","(724,50)","(872,49)",,,
56,"(148,1029)","(123,1000)","(1146,809)","(348,666)","(1367,476)","(117,71)","(1299,70)","(724,50)","(872,49)",,,
57,"(147,1029)","(123,999)","(1145,808)","(348,666)","(1367,477)","(117,71)","(1299,71)","(725,50)","(872,50)",,,
58,"(147,1029)","(123,999)","(1146,808)","(348,666)","(1367,476)","(117,71)","(1298,70)","(724,50)","(869,49)",,,
59,"(147,1028)","(123,999)","(1148,805)","(348,666)","(1367,476)","(117,71)","(1298,70)","(724,50)","(869,49)",,,
60,"(146,1028)","(123,998)","(1146,807)","(348,665)","(1367,476)","(117,71)","(1298,70)","(724,50)","(869,49)",,,
61,"(146,1027)","(123,998)","(1148,804)","(347,665)","(1367,475)","(117,70)","(1298,70)","(724,49)","(869,49)",,,
62,"(146,1028)","(123,999)","(1146,808)","(348,665)","(1367,476)","(117,71)","(1298,70)","(724,49)","(871,49)",,,
63,"(145,1027)","(123,998)","(1146,807)","(347,665)","(1367,475)","(117,71)","(1298,70)","(724,49)","(871,49)",,,
64,"(146,1027)","(123,998)","(1146,807)","(348,665)","(1367,474)","(117,70)","(1297,73)","(724,49)","(871,49)",,,
65,"(145,1027)","(123,999)","(1146,808)","(348,666)","(1367,474)","(117,70)","(1298,69)","(723,49)","(871,49)",,,
66,"(145,1028)","(123,999)","(1149,805)","(348,666)","(1367,474)","(117,71)","(1297,74)","(724,49)","(870,49)",,,
67,"(145,1028)","(123,999)","(1146,808)","(348,666)","(1367,474)","(118,71)","(1299,71)","(724,50)","(872,49)",,,
68,"(145,1028)","(123,999)","(1146,809)","(348,666)","(1367,477)","(118,72)","(1299,71)","(725,50)","(872,49)",,,
69,"(144,1028)","(123,999)","(1146,809)","(348,666)","(1367,477)","(118,72)","(1297,74)","(725,50)","(872,49)",,,
70,"(144,1028)","(124,999)","(1147,809)","(349,666)","(1367,476)","(118,71)","(1299,71)","(725,50)","(871,50)",,,
71,"(144,1029)","(123,999)","(1149,806)","(349,666)","(1367,476)","(117,72)","(1299,71)","(725,50)","(872,50)",,,
