frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_11,ID_12,ID_13,ID_14
0,"(1325,1030)","(978,1013)","(639,1005)","(814,912)","(61,850)","(59,790)","(61,498)","(736,290)","(147,202)","(694,86)",,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,"(980,1014)","(639,1006)","(815,912)","(61,849)","(59,790)",,"(736,290)","(147,203)","(694,86)",,,,
5,"(1325,1031)","(980,1014)","(639,1005)","(815,911)","(61,850)","(59,789)","(62,499)","(735,287)","(150,205)","(694,86)",,,,
6,,"(982,1014)","(639,1006)","(816,912)","(61,850)","(60,790)","(62,499)","(734,288)","(148,202)","(694,86)",,,,
7,"(1326,1030)","(982,1014)","(639,1006)","(815,912)","(60,851)","(59,789)","(61,499)","(734,287)","(150,204)","(694,86)",,,,
8,,"(983,1014)","(639,1005)","(816,911)","(61,850)","(59,789)","(62,499)","(735,287)","(151,204)","(694,85)",,,,
9,,"(983,1014)","(639,1005)","(816,911)","(61,851)","(59,789)","(61,498)","(734,287)","(148,201)","(699,83)",,,,
10,,"(985,1014)","(639,1005)","(816,911)","(61,850)","(60,789)","(61,498)","(734,287)","(148,201)","(694,86)",,,,
11,,"(986,1015)","(639,1005)","(816,910)","(61,849)","(60,789)","(64,498)","(735,287)","(148,202)","(695,86)","(1206,1042)",,,
12,,"(990,1015)","(639,1005)","(816,910)","(61,850)","(59,789)","(61,498)","(735,287)","(148,201)","(695,86)",,,,
13,,"(991,1014)","(639,1005)","(816,910)","(61,850)","(59,789)","(63,498)","(734,287)","(151,204)","(694,86)","(1206,1042)",,,
14,,"(988,1015)","(639,1005)","(816,910)","(62,851)","(60,789)","(62,498)","(734,287)","(148,202)","(696,86)","(1206,1042)",,,
15,,"(993,1014)","(639,1005)","(816,910)","(62,850)","(60,789)","(62,498)","(734,287)","(148,201)","(696,85)","(1206,1042)","(69,1036)",,
16,,"(993,1014)","(639,1005)","(816,910)","(61,851)","(60,789)","(61,498)","(734,287)","(148,201)","(696,86)",,,,
17,,"(991,1014)","(639,1005)","(816,910)","(61,850)","(60,789)","(63,499)","(734,287)","(151,203)","(695,86)",,,,
18,,"(992,1014)","(639,1006)","(817,910)","(62,850)","(60,789)","(62,498)","(734,287)","(151,203)","(696,86)",,,,
19,,"(993,1015)","(639,1005)","(817,910)","(61,846)","(60,789)","(62,499)","(734,287)","(151,203)","(696,86)",,"(69,1036)",,
20,,"(993,1015)","(639,1006)","(817,910)","(61,850)","(60,789)","(61,499)","(734,287)","(149,201)","(696,86)",,,,
21,,"(994,1015)","(639,1006)","(817,910)","(61,851)","(60,790)","(62,499)","(734,287)","(149,201)","(694,86)",,,,
22,,"(995,1015)","(639,1006)","(817,909)","(61,851)","(60,789)","(61,499)","(735,287)","(149,201)","(696,87)",,,,
23,"(1325,1030)","(1001,1015)","(639,1006)","(817,909)","(61,851)","(60,789)","(63,499)","(735,287)","(149,201)","(698,81)",,,,
24,,"(998,1015)","(639,1006)","(818,909)","(62,851)","(60,789)","(62,498)","(735,288)","(149,201)","(697,81)",,,,
25,"(1326,1031)","(1000,1015)","(639,1006)","(818,909)","(61,851)","(60,790)","(63,499)","(735,288)","(152,202)","(698,81)",,"(69,1037)",,
26,,"(1000,1015)","(639,1005)","(817,909)","(61,850)","(60,789)","(62,498)","(735,288)","(149,200)","(698,81)",,"(69,1036)",,
27,"(1326,1030)","(1001,1016)","(639,1005)","(818,909)","(61,850)","(60,789)","(63,498)","(735,288)","(149,200)","(696,87)","(1207,1042)",,,
28,"(1325,1030)","(1001,1015)","(639,1005)","(817,909)","(60,847)","(60,789)","(62,499)","(734,287)","(151,202)","(696,86)",,,,
29,"(1325,1030)","(1002,1016)","(639,1005)","(817,909)","(60,851)","(60,789)","(61,499)","(735,287)","(151,202)","(696,87)","(1207,1042)",,,
30,"(1325,1030)","(1003,1016)","(639,1005)","(817,906)","(60,847)","(60,789)","(62,498)","(734,287)","(151,202)","(696,86)","(1207,1042)",,,
31,"(1325,1030)","(1003,1016)","(640,1005)","(817,908)","(60,846)","(60,789)","(62,499)","(734,287)","(148,200)","(697,81)",,,,
32,"(1325,1030)","(1003,1015)","(639,1005)","(817,908)","(60,850)","(60,789)","(63,498)","(734,287)","(149,199)","(698,80)","(1207,1041)",,,
33,"(1325,1030)","(1003,1016)","(639,1005)","(816,909)","(60,851)","(60,789)","(63,498)","(737,290)","(149,200)","(697,81)","(1208,1042)",,,
34,"(1324,1030)","(1003,1015)","(638,1005)","(816,908)","(60,850)","(59,789)","(62,498)","(734,287)","(148,199)","(698,81)","(1207,1042)",,,
35,,"(1004,1015)","(639,1005)","(816,909)","(61,851)","(60,790)","(62,498)","(734,287)","(148,199)","(694,86)","(1207,1042)",,,
36,,"(1004,1015)","(639,1005)","(816,908)","(61,851)","(59,789)","(62,498)","(734,287)","(148,199)","(695,86)","(1207,1042)",,,
37,,"(1005,1016)","(639,1006)","(816,909)","(61,851)","(60,790)","(62,499)","(734,288)","(149,200)","(694,87)","(1208,1042)",,,
