frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_17,ID_18,ID_19
0,"(897,512)","(1358,433)","(57,240)","(409,156)","(1021,91)","(669,97)","(631,72)","(563,52)",,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,"(897,511)","(1359,430)","(57,239)","(409,156)","(1021,91)","(672,94)","(631,72)","(563,52)",,,,,,,,,,
5,"(897,512)","(1359,431)","(57,240)","(409,156)","(1022,91)","(669,97)","(632,74)",,,,,,,,,,,
6,"(897,512)","(1359,431)","(57,240)","(409,156)","(1022,91)","(669,97)","(632,73)",,,,,,,,,,,
7,"(897,512)","(1359,431)","(57,240)","(409,156)","(1021,91)","(669,97)","(632,74)","(564,52)",,,,,,,,,,
8,"(897,512)","(1359,431)","(57,240)","(409,156)","(1021,91)","(669,97)","(632,74)","(563,52)",,"(647,50)",,,,,,,,
9,"(898,512)","(1359,431)","(57,240)","(409,156)","(1021,91)","(672,94)","(632,74)",,,,,,,,,,,
10,"(898,512)",,"(57,240)","(410,157)","(1021,91)","(669,97)","(632,74)","(564,52)",,"(647,50)",,,,,,,,
11,"(897,512)","(1359,430)","(57,240)","(410,156)","(1021,91)","(669,97)","(632,74)",,"(301,1042)","(647,50)",,,,,,,,
12,"(898,512)","(1359,426)","(57,240)","(410,157)","(1021,91)","(669,97)","(632,74)",,,"(641,53)",,,,,,,,
13,"(898,512)","(1359,427)","(57,240)","(410,156)","(1021,91)","(673,94)","(632,74)","(576,52)","(300,1042)",,,,,,,,,
14,"(898,512)","(1359,428)","(57,241)","(410,157)","(1021,92)","(670,97)","(632,75)",,"(300,1042)","(641,53)",,,,,,,,
15,"(897,512)","(1359,427)","(57,241)","(410,157)","(1021,91)","(672,94)","(632,75)",,"(301,1042)",,,,,,,,,
16,"(897,512)","(1359,426)","(57,240)","(409,157)","(1021,91)","(669,97)","(632,75)","(563,52)","(300,1042)","(641,53)",,,,,,,,
17,"(897,512)","(1359,426)","(57,240)","(410,157)","(1021,91)","(672,94)","(632,75)",,,"(641,53)",,,,,,,,
18,"(897,512)","(1359,425)","(57,240)","(410,156)","(1021,91)","(669,97)","(632,75)",,,,,,,,,,,
19,"(898,512)","(1359,424)","(57,239)","(410,156)","(1021,91)","(669,97)","(632,74)",,"(300,1042)","(641,52)",,,,,,,,
20,"(897,512)","(1358,423)","(56,239)","(409,156)","(1021,91)","(669,96)","(632,74)",,"(300,1042)","(640,52)",,,,,,,,
21,"(897,512)","(1358,423)","(56,239)","(409,156)","(1020,91)","(669,96)","(632,74)",,,"(643,50)",,,,,,,,
22,"(897,512)","(1358,423)","(56,240)","(409,156)","(1021,91)","(669,97)","(631,74)",,,"(643,50)",,,,,,,,
23,"(897,512)","(1358,422)","(56,240)","(409,156)","(1020,91)","(672,93)","(631,74)","(564,52)","(300,1042)","(641,52)",,,,,,,,
24,"(897,512)","(1357,421)","(57,239)","(409,156)","(1021,91)","(669,96)","(631,74)","(564,52)",,"(641,52)",,,,,,,,
25,"(897,512)","(1358,421)","(57,239)","(409,156)","(1021,91)","(669,97)","(632,74)",,,"(643,50)",,,,,,,,
26,"(897,512)","(1357,419)","(56,239)","(409,157)","(1020,91)","(668,97)","(631,74)",,,"(643,50)",,,,,,,,
27,"(897,512)","(1358,420)","(57,239)","(410,157)","(1021,91)","(672,94)","(632,74)",,,,,,,,,,,
28,"(897,512)","(1357,420)","(56,239)","(409,156)","(1020,91)","(672,94)","(631,74)",,,"(640,53)",,,,,,,,
29,"(897,512)","(1357,420)","(57,239)","(409,157)","(1021,91)","(672,94)","(632,74)",,"(300,1042)","(641,53)","(1369,709)",,,,,,,
30,"(898,512)","(1358,420)","(57,240)","(410,156)","(1021,91)","(672,94)","(632,74)",,"(300,1042)","(641,53)",,,,,,,,
31,"(898,512)","(1358,419)","(57,240)","(410,157)","(1021,91)","(673,94)","(632,74)",,,"(641,53)",,,,,,,,
32,"(898,512)","(1358,418)","(57,239)","(410,157)","(1021,91)","(673,94)","(632,74)",,,"(641,53)",,,,,,,,
33,"(898,513)","(1358,419)","(57,239)","(410,158)","(1021,91)","(673,94)","(632,74)",,"(301,1042)","(641,53)",,,,,,,,
34,"(898,512)","(1358,418)","(57,239)","(409,157)","(1021,91)","(673,94)","(632,74)",,"(300,1042)",,,,,,,,,
35,"(898,513)","(1358,419)","(57,240)","(410,158)","(1021,92)","(673,94)","(633,75)","(576,52)","(300,1042)","(642,53)",,,,,,,,
36,"(898,512)","(1358,418)","(57,239)","(410,157)","(1021,91)","(672,94)","(632,74)",,,,,,,,,,,
37,"(897,512)","(1358,417)","(57,239)","(410,157)","(1021,91)","(672,94)","(632,74)",,"(299,1042)",,,,,,,,,
38,"(897,512)","(1358,417)","(57,240)","(410,157)","(1021,91)","(669,97)","(632,74)",,"(300,1042)","(643,50)",,,,,,,,
39,"(897,512)","(1358,418)","(57,240)","(409,157)","(1021,91)","(672,94)","(632,74)",,"(299,1042)","(641,53)",,,,,,,,
40,"(898,512)",,"(57,240)","(410,157)","(1021,91)","(672,93)","(632,74)",,"(300,1042)","(641,53)",,,,,,,,
41,"(897,512)","(1358,417)","(57,240)","(410,157)","(1021,91)","(669,97)","(632,75)",,"(299,1042)",,,,,,,,,
42,"(897,512)","(1358,418)","(56,240)","(409,157)","(1021,91)","(672,94)","(632,74)",,"(299,1042)",,,,,,,,,
43,"(897,512)","(1358,417)","(56,239)","(409,157)","(1020,91)","(672,94)","(632,74)",,,,,,,,,,,
44,"(897,512)","(1358,416)","(57,240)","(411,155)","(1021,91)","(672,93)","(632,74)",,,"(640,53)",,,,,,,,
45,"(897,512)","(1358,417)","(57,240)","(409,157)","(1021,91)","(669,97)","(636,75)",,,"(641,53)",,,,,,,,
46,"(898,512)","(1358,417)","(57,240)","(410,157)","(1021,91)","(669,96)","(632,74)",,"(300,1042)","(640,53)",,,,,,,,
47,"(898,512)","(1359,417)","(57,240)","(410,157)","(1021,91)","(669,96)","(632,74)",,"(300,1042)","(641,53)",,,,,,,,
48,"(897,512)","(1358,417)","(57,240)","(410,157)","(1021,91)","(672,94)","(632,74)",,,,,,,,,,,
49,"(898,513)","(1359,417)","(57,240)","(409,157)","(1021,92)","(669,96)","(632,74)",,"(300,1042)","(641,53)",,,,,,,,
50,"(898,512)","(1359,416)","(57,240)","(409,157)","(1021,91)","(672,94)","(632,74)",,,"(641,53)","(1371,699)",,,,,,,
51,"(897,512)","(1359,417)","(57,240)","(409,157)","(1021,91)","(672,95)","(632,74)",,,,,,,,,,,
52,"(898,512)","(1359,417)","(57,239)","(410,157)","(1020,91)","(669,95)","(632,74)",,"(300,1042)","(641,52)",,,,,,,,
53,"(898,512)","(1359,417)","(57,240)","(411,155)","(1021,91)","(673,94)","(636,75)","(576,52)","(300,1042)","(641,53)",,,,,,,,
54,"(898,512)","(1359,417)","(57,239)","(411,155)","(1020,91)","(672,94)","(632,74)",,,"(641,53)",,,,,,,,
55,"(897,512)","(1359,417)","(57,239)","(410,157)","(1020,92)","(672,94)","(632,75)",,,"(641,53)",,,,,,,,
56,"(897,512)",,"(57,239)","(409,156)","(1020,91)","(672,93)","(632,74)",,"(300,1041)","(640,52)",,,,,,,,
