frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13
0,"(142,1017)","(1362,983)","(65,953)","(1363,904)","(1363,875)","(71,772)","(1014,744)","(985,336)","(188,51)",,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,"(138,1019)",,"(65,953)",,,"(71,772)","(1013,743)","(985,336)","(187,52)",,,,,
5,"(138,1020)",,"(65,953)",,,"(71,773)","(1013,743)","(985,337)","(187,52)",,,,,
6,"(138,1019)",,"(65,952)",,,"(71,772)","(1014,743)","(981,336)","(187,52)",,,,,
7,"(138,1019)",,"(65,952)",,,"(71,772)","(1013,742)","(981,336)","(186,52)",,,,,
8,"(138,1019)",,"(65,953)",,"(1363,889)","(71,772)","(1013,743)","(985,336)","(185,53)",,,,,
9,"(138,1018)",,"(65,952)",,"(1363,886)","(71,771)","(1014,742)","(981,335)","(186,53)",,,,,
10,"(138,1018)",,"(65,952)",,,"(71,771)","(1014,741)","(981,335)","(186,53)",,,,,
11,"(138,1017)",,"(65,952)",,"(1363,886)","(71,772)","(1014,741)","(981,335)","(187,53)",,,,,
12,"(138,1018)",,"(65,951)",,"(1363,888)","(72,772)","(1014,742)","(981,335)","(186,53)",,,,,
13,"(138,1018)",,"(65,952)",,"(1363,886)","(72,772)","(1014,742)","(981,335)","(186,54)",,,,,
14,"(139,1017)",,"(66,951)",,"(1361,874)","(72,771)","(1014,741)","(981,335)","(186,54)",,,,,
15,"(138,1018)",,"(66,951)",,,"(72,771)","(1014,742)","(981,336)","(185,54)",,,,,
16,"(143,1016)","(1362,981)","(66,951)",,,"(71,772)","(1014,742)","(981,336)","(185,55)",,,,,
17,"(138,1018)",,"(65,952)",,,"(72,772)","(1014,742)","(981,336)","(185,55)",,,,,
18,"(139,1019)",,"(66,952)","(1363,887)",,"(72,773)","(1014,743)","(981,336)","(185,55)",,,,,
19,"(138,1019)",,"(65,952)",,,"(72,773)","(1014,743)","(981,336)","(185,56)",,,,,
20,"(138,1019)","(1362,983)","(65,953)","(1362,889)",,"(71,773)","(1014,744)","(980,337)","(185,56)",,,,,
21,"(138,1019)",,"(65,952)","(1363,887)",,"(71,773)","(1013,743)","(980,337)","(185,56)",,,,,
22,"(143,1018)",,"(65,953)","(1362,887)",,"(71,774)","(1014,744)","(984,336)","(186,56)",,,,,
23,"(138,1019)","(1362,982)","(65,952)","(1363,887)",,"(71,774)","(1014,743)","(984,335)","(186,57)",,,,,
24,"(142,1017)","(1362,983)","(65,953)","(1363,890)",,"(71,774)","(1014,744)","(984,335)","(186,57)",,,,,
25,"(142,1016)","(1362,982)","(65,952)","(1363,886)",,"(71,772)","(1013,742)","(979,334)","(184,57)",,,,,
26,"(143,1016)","(1362,982)","(65,952)","(1362,889)",,"(73,777)","(1014,742)","(979,335)","(185,57)",,,,,
27,"(143,1016)",,"(65,952)","(1363,886)",,"(73,776)","(1014,741)","(979,334)","(185,57)",,,,,
28,"(143,1016)","(1364,982)","(66,952)","(1363,889)",,"(72,772)","(1014,742)","(979,335)","(185,58)",,,,,
29,"(142,1016)",,"(65,951)","(1363,885)",,"(72,771)","(1014,741)","(977,334)","(186,58)",,,,,
30,"(138,1017)","(1362,981)","(66,952)","(1363,888)",,"(71,771)","(1014,741)","(978,334)","(186,58)",,,,,
31,"(142,1015)",,"(66,951)","(1363,886)",,"(71,771)","(1014,741)","(982,334)","(186,59)",,,,,
