frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_11,ID_12,ID_13,ID_16,ID_17
0,"(1331,930)","(505,709)","(1358,547)","(897,386)","(975,203)","(1129,110)","(448,109)","(723,84)","(692,54)","(979,52)",,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,"(1330,931)","(504,708)",,"(897,384)","(975,201)","(1131,105)","(453,103)","(717,85)",,"(980,50)",,,,,
5,"(1330,931)","(505,708)","(1359,546)","(897,384)","(976,201)","(1133,105)","(457,101)","(717,85)","(703,50)","(980,50)",,,,,
6,"(1330,932)","(505,708)","(1359,547)","(898,385)","(976,201)","(1133,104)","(460,100)","(717,85)","(704,50)","(980,50)",,,,,
7,"(1330,932)","(505,707)","(1359,547)","(898,385)","(976,201)","(1134,104)","(460,100)","(718,85)","(704,49)","(980,50)",,,,,
8,"(1329,933)","(505,707)","(1358,546)","(898,384)","(976,201)","(1135,104)","(461,100)","(722,83)","(705,49)","(980,50)",,,,,
9,"(1329,934)","(506,708)","(1359,547)","(898,385)","(976,202)","(1135,104)","(464,102)","(722,84)","(706,49)","(980,50)",,,,,
10,"(1330,934)","(506,708)","(1359,547)","(898,385)","(976,202)","(1136,104)","(466,100)","(717,86)","(708,50)","(980,51)",,,,,
11,"(1330,935)","(508,713)","(1359,548)","(898,385)","(976,202)","(1137,103)","(467,100)","(722,84)","(709,51)","(975,51)",,,,,
12,"(1328,935)","(505,708)","(1359,547)","(898,385)","(976,202)","(1138,103)","(469,101)","(717,86)","(709,50)","(981,51)",,,,,
13,"(1329,937)","(506,709)","(1358,549)","(898,386)","(976,203)","(1138,103)","(474,100)","(717,87)","(710,52)","(981,52)",,,,,
14,"(1329,938)","(506,709)","(1359,548)","(898,386)","(976,203)","(1139,102)","(473,102)","(718,87)","(708,51)","(980,52)",,,,,
15,"(1328,938)","(506,709)","(1359,548)","(898,386)","(977,203)","(1140,101)","(476,101)","(717,87)","(710,50)","(980,52)",,,,,
16,"(1329,938)","(506,710)","(1359,548)","(898,386)","(977,204)","(1140,101)","(477,101)","(716,87)","(709,50)","(980,52)",,,,,
17,"(1328,939)","(506,710)","(1358,549)","(898,387)","(978,206)","(1141,102)","(478,101)","(722,86)","(710,50)","(980,52)",,,,,
18,"(1329,940)","(505,709)","(1358,548)","(897,386)","(978,207)","(1141,101)","(479,100)","(716,87)","(710,50)","(980,52)",,,,,
19,"(1330,938)","(505,709)","(1358,547)","(897,386)","(979,207)","(1142,100)","(482,101)","(716,87)","(710,50)","(980,52)",,,,,
20,"(1328,939)","(507,713)","(1358,547)","(898,385)","(978,207)","(1142,99)","(483,99)","(716,87)","(710,49)","(980,51)",,,,,
21,"(1327,939)","(507,713)","(1358,547)","(897,386)","(978,207)","(1144,99)","(486,99)","(721,85)","(711,49)","(980,52)",,,,,
22,"(1327,939)","(508,713)","(1358,547)","(897,385)","(978,207)","(1144,98)","(489,99)","(721,85)","(711,49)","(980,51)",,,,,
23,"(1325,940)","(507,713)","(1358,547)","(898,384)","(976,206)","(1145,98)","(490,99)","(721,84)","(712,49)","(980,51)",,,,,
24,"(1325,941)","(505,707)","(1358,546)","(898,385)","(976,207)","(1145,97)","(491,98)","(717,86)","(719,52)","(980,51)",,,,,
25,"(1324,944)","(506,708)","(1358,547)","(898,385)","(977,207)","(1146,97)","(493,98)","(717,86)","(720,51)","(980,51)",,,,,
26,"(1323,944)","(505,708)","(1358,547)","(898,385)","(978,207)","(1147,97)","(495,100)","(717,86)",,"(980,51)",,,,,
27,"(1323,944)","(505,708)","(1358,547)","(898,385)","(978,207)","(1147,96)","(495,101)","(717,86)",,"(980,51)",,,,,
28,"(1324,946)","(505,708)","(1358,547)","(897,385)","(978,208)","(1148,96)","(499,100)","(721,84)","(724,52)","(980,51)",,,,,
29,"(1324,946)","(505,708)","(1359,548)","(898,385)","(978,209)","(1149,96)","(501,99)","(721,85)",,"(975,51)",,,,,
30,"(1323,946)","(505,708)","(1358,547)","(898,385)","(978,209)","(1149,95)","(500,98)","(721,85)",,"(980,51)",,,,,
31,"(1323,947)","(505,709)","(1358,548)","(898,386)","(979,209)","(1149,95)","(501,97)","(721,85)",,"(974,52)",,,,,
32,"(1322,949)","(505,710)","(1358,549)","(898,386)","(980,210)","(1151,96)","(506,99)","(721,86)",,"(980,52)",,,,,
33,"(1322,949)","(505,709)","(1359,548)","(898,386)","(981,210)","(1151,94)","(506,98)","(721,86)",,"(980,52)",,,,,
34,"(1321,950)","(505,710)","(1356,549)","(898,386)","(980,209)","(1152,95)","(506,98)","(721,86)",,"(980,52)",,,,,
35,"(1320,950)","(505,709)","(1357,549)","(898,386)","(982,211)","(1152,94)","(509,98)","(717,87)",,"(980,52)",,,,,
36,"(1318,950)","(505,709)","(1356,548)","(897,386)","(983,211)","(1152,94)","(508,99)","(716,87)","(729,54)","(980,52)",,,,,
37,"(1317,950)","(505,709)","(1357,548)","(897,386)","(984,211)","(1152,93)","(510,99)","(716,87)","(730,53)","(980,52)",,,,,
38,"(1318,948)",,"(1356,547)","(897,385)","(984,211)","(1152,92)","(516,94)","(721,85)","(731,53)","(980,52)",,,,,
39,"(1317,949)","(504,707)","(1356,547)","(897,385)","(986,211)","(1153,91)","(512,99)","(716,86)","(732,53)","(974,52)",,,,,
40,"(1317,949)","(504,707)","(1357,547)","(898,385)","(986,211)","(1153,91)","(514,99)","(721,85)","(733,52)","(980,51)",,,,,
41,"(1316,949)","(505,706)","(1357,547)","(897,385)","(987,211)","(1155,91)","(514,99)","(716,86)","(734,52)","(980,51)",,,,,
42,"(1316,949)","(506,707)","(1357,547)","(898,384)","(987,210)","(1154,87)","(518,98)","(716,86)","(735,51)","(980,50)",,,,,
43,"(1316,948)","(504,706)","(1357,546)",,"(987,210)","(1156,88)","(525,94)","(716,86)","(736,51)","(974,50)",,,,,
44,"(1313,950)","(506,706)","(1356,547)","(898,384)","(989,211)","(1156,87)","(526,94)","(721,85)","(737,51)","(974,50)",,,,,
45,"(1315,950)","(507,710)","(1356,547)","(897,384)","(988,212)","(1157,87)","(525,98)","(716,86)","(737,50)","(980,51)",,,,,
46,"(1312,950)","(506,706)","(1356,547)","(897,384)","(989,213)","(1158,87)","(523,99)","(716,86)","(739,49)","(980,50)",,,,,
47,"(1314,950)","(507,710)","(1356,548)","(898,385)","(990,214)","(1158,87)","(526,100)","(716,87)","(740,50)","(974,51)",,,,,
48,"(1313,951)","(508,710)","(1356,548)","(898,386)","(990,214)","(1159,87)","(528,96)","(716,87)","(742,50)","(980,52)",,,,,
49,"(1313,951)","(507,710)","(1356,548)","(898,386)","(990,215)","(1159,87)","(530,95)","(716,87)","(742,50)","(974,52)",,,,,
50,"(1312,953)","(507,710)","(1356,548)","(898,386)","(992,216)","(1159,88)","(533,102)","(716,87)","(743,50)","(980,52)",,,,,
51,"(1309,955)","(507,710)","(1356,548)","(898,386)","(989,217)","(1160,88)","(534,102)","(717,88)","(744,52)","(980,52)",,,,,
52,"(1310,955)","(508,711)","(1356,549)","(898,386)","(991,220)","(1161,88)","(536,97)","(716,88)","(743,51)","(979,52)",,,,,
53,"(1310,954)","(508,710)","(1357,548)","(898,386)","(991,220)","(1156,91)","(536,97)","(716,87)","(744,50)","(980,52)",,,,,
54,"(1309,954)","(508,710)","(1356,548)","(898,386)","(991,219)","(1161,88)","(538,104)","(716,87)","(750,52)","(980,52)",,,,,
55,"(1309,954)","(506,706)","(1356,548)","(898,385)","(991,218)","(1161,88)","(539,104)","(716,87)","(748,54)","(980,52)",,,,,
56,"(1309,954)","(507,710)","(1356,548)","(898,385)","(996,218)","(1162,87)","(540,104)","(716,87)","(752,53)","(980,52)",,,,,
57,"(1308,954)",,"(1356,547)","(897,385)","(993,218)","(1163,85)","(543,103)","(716,86)","(753,52)","(974,51)",,,,,
58,"(1307,953)",,"(1356,547)","(897,385)","(997,221)","(1163,85)","(544,105)","(716,86)","(749,52)","(980,51)",,,,,
59,"(1307,953)","(508,709)","(1356,547)","(897,385)","(997,220)","(1163,84)","(545,103)","(716,86)","(751,52)","(980,51)",,,,,
60,"(1307,953)","(508,709)","(1356,547)","(898,385)","(998,222)","(1163,84)","(546,103)","(721,85)","(754,51)","(980,51)",,,,,
