frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_17,ID_18,ID_19
0,"(1283,1007)","(242,1003)","(1259,990)","(1109,984)","(1223,908)","(295,189)","(439,89)","(311,70)",,,,,,,,,
1,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
4,"(1271,998)","(240,1002)",,"(1119,984)","(1222,908)","(295,188)",,,,,,,,,,,
5,"(1271,998)","(240,1002)",,"(1115,984)","(1222,909)","(295,189)",,"(303,66)",,,,,,,,,
6,,"(238,1001)",,"(1120,984)","(1225,908)","(295,189)",,"(302,66)",,,,,,,,,
7,,"(237,1001)",,"(1120,983)","(1224,909)","(295,189)",,"(301,66)",,,,,,,,,
8,"(1269,999)","(237,1002)",,"(1116,983)","(1220,910)","(294,189)",,,,,,,,,,,
9,"(1269,999)","(236,1002)",,"(1117,983)","(1220,910)","(295,189)","(439,89)",,,,,,,,,,
10,"(1269,1000)","(241,999)","(1182,1023)","(1123,983)","(1220,910)","(300,187)","(439,89)","(297,66)",,,,,,,,,
11,"(1268,1000)","(235,1001)",,"(1124,983)","(1220,911)","(295,190)","(439,90)","(296,66)",,,,,,,,,
12,"(1269,1001)","(240,998)",,"(1126,983)","(1220,912)","(295,190)","(438,90)","(294,66)",,,,,,,,,
13,"(1268,1001)","(235,998)",,"(1122,983)","(1220,912)","(295,190)","(439,90)","(291,65)",,,,,,,,,
14,"(1269,1002)","(233,998)",,"(1128,983)","(1219,913)","(296,190)","(438,90)","(289,65)",,,,,,,,,
15,"(1269,1001)","(233,998)",,"(1125,983)","(1219,913)","(296,189)","(439,89)","(288,64)",,,,,,,,,
16,"(1269,1001)","(233,997)",,"(1131,982)","(1219,912)","(296,190)","(438,90)","(287,63)",,,,,,,,,
17,"(1269,1001)","(233,997)",,"(1132,983)","(1219,912)","(295,189)",,"(286,63)",,,,,,,,,
18,,"(232,996)",,"(1133,983)","(1219,911)","(296,189)",,"(285,62)",,,,,,,,,
19,,"(231,995)",,"(1134,983)","(1217,909)","(295,189)",,"(288,63)",,,,,,,,,
20,"(1267,999)","(229,993)",,"(1134,982)","(1220,908)","(295,189)","(438,89)","(283,61)",,,,,,,,,
21,"(1265,989)","(233,993)","(1272,1008)","(1135,982)","(1215,908)","(295,189)","(438,88)","(281,61)",,,,,,,,,
22,"(1264,989)","(227,991)","(1270,1008)","(1137,982)","(1219,908)","(296,189)","(439,88)","(281,61)",,,,,,,,,
23,"(1265,989)","(226,990)","(1265,1005)","(1139,981)","(1219,908)","(295,188)",,"(276,60)",,,,,,,,,
24,"(1266,988)","(226,989)","(1264,1005)","(1140,981)","(1219,908)","(295,189)",,"(280,61)",,,,,,,,,
25,"(1266,989)","(230,991)","(1263,1006)","(1140,982)","(1218,908)","(295,189)","(436,89)","(280,61)",,,,,,,,,
26,"(1267,988)","(229,991)","(1263,1006)","(1141,982)","(1214,909)","(295,189)",,,,,,,,,,,
27,"(1268,989)","(224,988)","(1262,1006)","(1143,982)","(1214,909)","(295,190)",,,,,,,,,,,
28,"(1268,990)","(223,988)","(1262,1007)","(1144,982)","(1214,910)","(300,187)","(438,90)","(276,64)",,,,,,,,,
