frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_13,ID_14
0,"(1220,1011)","(1303,998)","(1163,973)","(1338,646)","(1264,634)","(456,480)","(61,467)","(754,384)","(1127,362)",,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,"(1215,1011)","(1302,999)","(1159,974)","(1337,647)","(1264,634)","(456,482)","(60,470)","(753,386)","(1128,363)",,,,,
5,"(1214,1011)","(1302,999)","(1163,973)","(1337,644)","(1264,634)","(456,482)","(60,470)","(752,386)","(1127,363)",,,,,
6,"(1219,1011)","(1303,999)","(1163,973)","(1337,637)","(1264,634)","(456,481)","(60,470)","(755,386)","(1128,363)","(232,126)",,,,
7,"(1213,1011)","(1303,999)","(1163,974)","(1337,635)","(1265,634)","(456,481)","(60,470)","(753,386)","(1128,363)","(232,126)",,,,
8,"(1213,1011)","(1302,1000)","(1159,974)","(1337,638)","(1264,634)","(456,482)","(60,470)","(753,386)","(1128,363)","(232,126)",,,,
9,"(1212,1011)","(1303,1001)","(1159,974)","(1336,635)","(1264,634)","(456,481)","(60,471)","(755,386)","(1127,363)","(232,126)",,,,
10,"(1216,1010)","(1302,1001)","(1163,973)","(1336,628)","(1264,633)","(456,480)","(61,471)","(758,383)","(1127,362)","(232,125)",,,,
11,"(1215,1010)","(1302,1001)","(1163,973)","(1336,633)","(1264,633)","(456,481)","(58,471)","(753,386)","(1127,363)",,,,,
12,"(1215,1010)","(1303,1002)","(1163,973)","(1336,629)","(1264,633)","(456,480)","(60,473)","(758,383)","(1127,362)","(232,125)",,,,
13,"(1210,1010)","(1303,1002)","(1159,973)","(1336,623)","(1264,633)","(456,481)",,"(755,386)","(1128,362)","(232,125)",,,,
14,"(1214,1010)","(1303,1003)","(1163,973)","(1336,621)","(1264,633)","(456,480)",,"(755,386)","(1127,362)","(232,125)",,,,
15,"(1210,1010)","(1302,1003)","(1163,973)","(1335,618)","(1264,633)","(456,480)",,"(755,386)","(1127,362)","(232,125)",,,,
16,"(1213,1010)","(1302,1003)","(1163,973)","(1335,617)","(1264,633)","(455,480)",,"(755,386)","(1127,361)","(232,125)",,,,
17,"(1209,1010)","(1303,1005)","(1163,973)","(1335,621)","(1264,634)","(456,481)","(61,476)","(753,387)","(1127,362)",,,,,
18,"(1213,1010)","(1303,1004)","(1163,973)","(1335,613)","(1264,633)","(455,480)","(60,476)","(753,387)","(1127,361)",,,,,
19,"(1212,1011)",,"(1163,974)","(1335,612)","(1264,633)","(456,481)","(62,477)","(758,384)","(1127,361)",,,,,
20,"(1207,1011)",,"(1163,973)","(1335,615)","(1264,634)","(456,481)","(62,478)","(758,384)","(1127,361)",,,,,
21,"(1208,1011)",,"(1159,972)","(1335,608)","(1264,634)","(456,481)","(62,479)","(758,384)","(1127,362)","(232,125)",,,,
22,"(1207,1011)",,"(1163,974)","(1335,607)","(1264,634)","(456,481)","(63,480)","(756,387)","(1128,362)",,,,,
