frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_12,ID_15,ID_16
0,"(784,1017)","(555,925)","(138,898)","(1311,829)","(381,762)","(809,722)","(380,650)","(1056,623)","(1018,215)",,,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,"(789,1018)","(554,926)","(138,899)","(1314,826)","(381,763)","(808,722)","(383,648)","(1061,622)","(1021,216)",,,,
5,"(788,1017)","(553,928)","(138,899)","(1313,824)","(380,762)","(808,722)","(380,650)","(1062,621)","(1022,216)",,,,
6,"(784,1017)","(554,928)","(138,899)","(1314,824)","(381,763)","(808,721)","(384,648)","(1064,621)","(1023,216)",,,,
7,"(783,1017)","(554,926)","(138,899)","(1314,822)","(381,763)","(808,720)","(382,649)","(1065,621)","(1025,217)",,,,
8,"(783,1017)","(555,926)","(138,899)","(1315,821)","(381,762)","(807,720)","(382,650)","(1066,619)","(1027,217)",,,,
9,"(788,1017)","(554,928)","(138,899)","(1315,820)","(381,762)","(807,720)","(382,649)","(1066,618)","(1027,217)",,,,
10,"(788,1017)","(555,928)","(139,898)","(1317,819)","(381,762)","(810,719)","(383,648)","(1065,621)","(1029,217)",,,,
11,"(787,1017)","(554,926)","(139,899)","(1317,818)","(381,763)","(808,719)","(383,649)","(1070,618)","(1029,217)",,,,
12,"(788,1017)","(555,928)","(139,899)","(1317,817)","(381,762)","(808,718)","(384,648)","(1071,618)","(1030,216)",,,,
13,"(788,1017)","(555,928)","(139,898)","(1318,817)","(381,762)","(809,717)","(383,648)","(1072,616)","(1032,217)",,,,
14,"(788,1015)","(555,928)","(139,898)","(1316,819)","(381,762)","(809,717)","(383,646)","(1073,616)","(1033,216)",,,,
15,"(787,1017)","(555,928)","(139,898)","(1318,815)","(381,762)","(809,718)","(384,647)","(1073,616)","(1034,217)",,,,
16,"(787,1016)","(554,928)","(138,898)","(1319,814)","(381,762)","(807,717)","(386,645)","(1074,616)","(1035,217)",,,,
17,"(788,1017)","(555,928)","(138,899)","(1320,814)","(381,763)","(808,717)","(387,645)","(1076,616)","(1035,218)",,,,
18,"(782,1017)","(555,928)","(138,899)","(1321,813)","(380,763)","(807,717)","(385,648)","(1078,615)","(1035,218)",,,,
19,"(782,1017)","(554,928)","(138,899)","(1321,813)","(380,763)","(807,717)","(384,647)","(1079,615)","(1035,218)",,,,
20,"(782,1017)","(554,928)","(138,899)","(1321,813)","(380,763)","(806,716)","(384,647)","(1080,614)","(1035,219)",,,,
21,"(786,1017)","(554,928)","(138,899)","(1322,813)","(380,763)","(806,715)","(388,644)","(1082,613)","(1036,218)",,,,
22,"(786,1017)","(554,928)","(138,899)","(1322,811)","(380,762)","(805,714)","(388,644)","(1083,612)","(1036,218)",,,,
23,"(787,1017)","(554,929)","(138,899)","(1323,812)","(380,763)","(804,714)","(384,646)","(1084,612)","(1037,218)",,,,
24,"(787,1017)","(555,928)","(138,899)","(1323,811)","(380,763)","(805,714)","(385,646)","(1085,610)","(1037,219)",,,,
25,"(786,1016)","(554,926)","(138,899)","(1324,810)","(380,762)","(804,713)","(385,646)","(1087,609)","(1039,219)",,,,
26,"(781,1017)","(555,928)","(138,899)","(1324,811)","(380,762)","(804,712)","(388,643)","(1088,608)","(1039,219)",,,,
27,"(786,1017)","(555,926)","(138,899)","(1324,811)","(380,762)","(804,712)","(388,643)","(1089,607)","(1039,219)",,,,
28,"(786,1016)","(554,928)","(138,899)","(1325,811)","(380,762)","(804,712)","(388,643)","(1087,608)","(1040,219)",,,,
29,"(781,1016)","(556,929)","(138,899)","(1325,811)","(381,762)","(804,711)","(388,642)","(1088,608)","(1041,219)",,,,
30,"(786,1015)","(555,927)","(138,898)","(1325,810)","(380,762)","(803,710)","(389,642)","(1090,606)","(1041,219)",,,,
31,"(786,1016)","(554,926)","(138,899)","(1326,811)","(381,762)","(803,710)","(388,642)","(1095,604)","(1042,218)",,,,
32,"(786,1016)","(556,926)","(138,898)","(1326,810)","(380,762)","(803,710)","(389,642)","(1097,603)","(1040,217)",,,,
33,"(786,1016)","(555,926)","(138,898)","(1326,810)","(381,762)","(803,710)","(389,641)","(1098,602)","(1043,217)",,,,
34,"(786,1016)","(556,926)","(138,899)","(1327,812)","(381,763)","(804,710)","(390,640)","(1100,602)","(1043,218)",,,,
35,"(786,1016)","(555,926)","(138,899)","(1327,813)","(380,763)","(802,709)","(389,639)","(1101,601)","(1043,218)",,,,
36,"(786,1016)","(555,926)","(138,899)","(1328,813)","(380,763)","(802,709)","(389,639)","(1101,600)","(1040,218)",,,,
37,"(786,1016)","(555,926)","(138,899)","(1329,813)","(380,763)","(801,709)","(390,638)","(1102,600)","(1042,218)",,,,
38,"(786,1016)","(554,927)","(138,899)","(1329,813)","(380,763)","(800,709)","(390,637)","(1104,599)","(1039,218)",,,,
39,"(781,1016)","(554,927)","(138,899)","(1334,810)","(380,763)",,"(381,647)","(1105,598)",,,,,
40,"(781,1017)","(555,927)",,"(1333,813)","(381,763)","(801,708)","(381,647)",,"(1042,220)",,,,
41,"(781,1016)","(555,926)","(138,899)","(1334,812)","(380,763)","(800,707)","(382,645)","(1109,596)","(1041,220)",,,,
42,"(786,1016)","(554,926)","(138,898)","(1329,814)","(380,763)","(800,707)","(389,637)","(1108,597)","(1041,220)",,,,
43,"(786,1016)","(554,926)","(138,898)","(1335,811)",,"(799,707)","(393,634)","(1111,596)","(1041,220)",,,,
44,"(786,1016)","(555,928)",,"(1337,811)","(381,763)","(799,707)","(393,633)","(1114,595)","(1041,220)",,,,
45,"(786,1015)","(555,926)",,"(1337,813)","(380,762)","(799,706)","(394,633)",,,,,,
46,"(786,1016)","(555,926)","(139,899)","(1338,812)",,"(798,705)","(395,633)","(1118,595)","(1040,220)",,,,
47,"(786,1015)","(555,928)","(139,899)","(1340,811)","(380,762)",,"(395,632)","(1119,592)",,,,,
48,"(786,1015)","(555,926)","(139,899)","(1340,810)",,"(798,703)",,"(1121,592)",,,,,
49,"(786,1015)","(555,926)","(139,899)","(1340,809)",,"(798,702)","(393,634)","(1117,595)","(1036,219)",,,,
50,"(786,1016)","(555,926)","(139,899)","(1341,809)","(381,762)","(797,701)","(396,632)","(1123,591)","(1038,221)",,,,
51,"(786,1015)","(555,926)","(139,899)","(1341,809)","(381,762)",,"(397,632)","(1120,593)","(1039,222)",,,,
52,"(786,1015)","(554,926)","(139,899)","(1341,808)",,"(796,701)","(397,632)","(1122,593)","(1038,222)",,,,
53,"(786,1015)","(554,926)","(138,899)","(1341,808)","(381,762)",,"(397,633)","(1122,593)","(1038,221)",,,,
54,"(786,1015)","(554,926)","(139,899)","(1342,809)",,,"(398,633)","(1124,593)","(1038,223)",,,,
55,"(786,1015)","(554,926)","(139,899)","(1342,809)","(381,763)",,"(398,633)","(1125,593)","(1038,224)",,"(1336,1022)",,
56,"(786,1015)","(554,927)","(139,896)","(1341,810)",,"(792,701)","(397,633)","(1127,593)","(1038,223)",,"(1335,1023)",,
57,"(786,1015)","(554,927)","(139,896)","(1341,810)",,"(793,701)","(397,633)","(1128,591)","(1039,223)",,"(1335,1022)",,
58,"(786,1016)","(554,928)","(138,897)","(1337,814)","(381,763)","(793,701)","(397,633)","(1128,593)","(1039,226)",,"(1335,1022)",,
59,"(786,1015)","(554,929)","(138,897)","(1338,814)",,"(792,701)","(397,633)","(1128,593)","(1038,227)",,"(1335,1022)",,
60,"(781,1016)","(554,926)","(138,900)","(1338,814)","(381,763)",,"(395,635)","(1132,592)","(1038,227)",,"(1335,1022)",,
61,"(785,1015)","(554,925)","(138,899)","(1339,813)","(381,762)","(790,699)","(397,637)","(1131,593)","(1038,227)",,"(1335,1021)",,
62,"(786,1015)","(555,928)","(138,899)","(1339,813)","(381,763)","(790,699)","(399,634)","(1131,592)","(1038,227)",,"(1334,1021)",,
63,"(786,1015)","(554,928)","(138,897)","(1340,812)","(381,762)","(790,699)","(400,634)","(1130,593)","(1035,225)",,"(1327,1020)",,
64,"(786,1015)","(554,927)","(138,896)","(1341,812)","(381,763)","(791,699)","(400,634)","(1134,596)","(1038,227)",,"(1334,1020)",,
65,"(786,1015)","(555,927)","(138,896)","(1340,811)","(381,762)","(790,698)","(400,634)","(1134,594)","(1035,225)",,"(1334,1019)",,
66,"(786,1015)","(555,928)","(139,896)","(1340,812)","(381,762)","(790,698)","(401,633)","(1134,598)","(1038,227)",,"(1333,1020)",,
67,"(785,1015)","(554,928)","(138,896)","(1340,812)","(381,762)","(789,697)","(398,637)","(1133,597)","(1038,227)",,"(1325,1019)",,
68,"(786,1015)","(554,927)","(138,899)","(1341,812)","(381,762)","(789,697)","(401,633)","(1134,598)","(1038,227)",,"(1332,1019)",,
69,"(786,1015)","(554,927)","(138,896)","(1344,811)","(381,762)","(788,696)","(398,635)","(1131,598)","(1038,227)",,"(1333,1018)",,
70,"(786,1015)","(554,927)","(138,899)","(1342,816)","(381,762)","(788,696)","(398,635)","(1133,599)","(1038,228)",,"(1326,1019)",,
71,"(786,1015)","(555,928)","(138,899)","(1345,816)","(381,763)","(788,696)","(401,633)","(1139,603)","(1038,228)",,"(1326,1020)",,
72,"(785,1015)","(554,927)","(138,899)","(1344,816)","(381,763)","(787,695)","(401,633)","(1136,601)","(1034,227)",,"(1326,1018)",,
73,"(786,1015)","(554,927)","(139,897)","(1344,816)","(381,763)","(786,695)","(402,632)","(1137,602)","(1038,229)",,"(1327,1018)",,
74,"(785,1015)","(554,929)","(138,899)","(1344,816)","(381,763)","(785,695)","(403,629)","(1138,602)","(1038,230)",,"(1327,1018)",,
75,"(786,1015)","(555,927)","(138,896)","(1347,813)","(381,763)","(785,695)","(403,629)","(1140,604)","(1038,231)",,"(1326,1018)",,
76,"(786,1015)","(554,927)","(138,899)","(1347,813)","(381,763)","(784,694)","(401,631)","(1142,604)","(1038,231)",,"(1327,1018)",,
77,"(786,1015)","(554,928)","(141,897)",,"(381,763)","(784,694)","(405,628)","(1143,605)","(1038,231)",,"(1326,1018)",,
78,"(786,1015)","(554,926)","(138,899)",,"(381,763)","(783,694)","(406,627)","(1145,607)","(1038,230)",,"(1334,1017)",,
79,"(785,1015)","(554,926)","(138,899)",,"(381,763)","(782,693)","(407,626)","(1145,607)","(1038,230)",,"(1334,1016)",,
80,"(782,1015)","(554,927)","(138,899)",,"(381,762)","(782,692)","(409,624)","(1145,608)","(1035,231)",,"(1332,1016)",,
81,"(786,1015)","(555,927)","(141,897)",,"(380,763)","(782,692)","(409,625)","(1148,609)","(1039,231)",,"(1326,1017)",,
82,"(786,1015)","(554,927)","(140,896)",,"(381,762)","(781,691)","(409,624)","(1148,611)","(1039,231)",,"(1326,1017)",,
83,"(786,1015)","(554,927)","(139,897)",,"(381,763)","(777,694)","(410,624)","(1149,612)",,,"(1326,1017)",,
84,"(786,1015)","(554,926)","(141,896)",,"(381,763)","(777,691)","(410,624)","(1151,612)","(1039,231)",,"(1333,1016)",,
85,"(786,1015)","(555,927)","(138,897)",,"(381,762)","(778,691)","(408,625)","(1150,613)","(1040,232)",,"(1335,1015)",,
86,"(785,1015)","(554,927)","(138,897)",,"(381,762)","(777,690)","(408,624)","(1153,613)","(1037,230)",,"(1327,1016)",,
87,"(786,1015)","(555,926)","(140,896)",,"(381,762)","(776,694)","(412,623)","(1155,615)","(1041,233)",,"(1335,1015)",,
88,"(786,1015)","(554,926)","(141,895)",,"(381,762)","(774,691)","(412,622)","(1156,616)","(1041,233)",,"(1327,1016)",,
89,"(786,1015)","(554,927)","(140,896)","(1349,809)","(381,763)","(774,693)","(413,622)","(1157,617)","(1041,234)",,"(1327,1016)",,
