frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_19,ID_20
0,"(558,520)","(262,508)","(316,399)","(1146,263)","(101,142)","(1062,136)","(721,92)",,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,"(553,527)","(258,514)","(314,400)","(1139,266)","(103,131)","(1062,139)","(725,91)",,,,,,,,,,,,,
5,"(553,527)","(258,514)","(315,401)","(1139,265)","(103,127)","(1063,138)","(728,90)",,,,,,,,,,,,,
6,"(552,529)","(258,515)","(318,404)","(1133,266)","(104,126)","(1063,139)","(730,91)",,"(64,237)","(335,1029)",,,,,,,,,,
7,"(551,531)","(257,515)","(315,402)","(1135,266)","(103,123)","(1063,139)","(732,90)",,"(64,236)",,,,,,,,,,,
8,"(550,531)","(256,515)","(321,405)","(1130,265)","(104,120)","(1063,138)","(734,90)",,,,,,,,,,,,,
9,"(548,531)","(254,514)","(322,404)","(1127,264)","(103,118)","(1063,138)","(735,90)",,"(63,234)","(334,1028)",,,,,,,,,,
10,"(547,531)","(253,514)","(324,404)","(1126,263)","(103,118)","(1063,138)","(737,88)",,"(64,234)","(336,1027)",,,,,,,,,,
11,"(546,531)","(252,514)","(324,403)","(1125,263)","(103,114)","(1063,137)","(738,88)",,"(64,233)","(336,1027)",,,,,,,,,,
12,"(544,532)","(251,514)","(324,403)","(1125,263)","(102,113)","(1064,138)","(740,89)",,"(65,233)","(335,1027)",,,,,,,,,,
13,"(542,532)","(254,513)","(323,403)","(1124,264)","(102,111)","(1064,137)","(741,87)",,"(64,234)","(336,1027)",,,,,,,,,,
14,"(542,532)","(250,515)","(319,401)","(1121,264)","(101,109)","(1063,137)","(743,86)",,"(63,232)","(334,1027)",,,,,,,,,,
15,"(540,533)","(249,515)","(324,403)","(1114,264)","(100,108)","(1063,137)","(744,86)",,"(63,233)","(335,1028)",,,,,,,,,,
16,"(538,533)","(248,515)","(324,403)","(1113,263)","(100,106)","(1062,139)","(745,84)",,"(64,232)","(334,1026)",,,,,,,,,,
17,"(537,533)","(247,516)","(325,403)","(1112,264)","(100,105)","(1061,139)","(746,84)",,"(64,232)","(334,1028)",,,,,,,,,,
18,"(536,535)","(245,517)","(322,402)","(1111,264)","(98,104)","(1060,139)","(748,83)",,"(64,231)",,,,,,,,,,,
19,"(535,536)","(245,517)","(322,403)","(1109,264)","(98,108)","(1060,139)","(750,82)",,"(64,229)",,,,,,,,,,,
20,"(534,537)","(245,518)","(326,405)","(1108,265)","(99,108)","(1061,138)","(753,82)",,"(65,229)",,,,,,,,,,,
21,"(535,537)","(244,518)","(327,405)","(1107,266)","(96,100)","(1061,139)","(756,81)",,"(66,225)",,,,,,,,,,,
22,"(534,537)","(247,517)","(327,406)","(1105,268)","(96,99)","(1061,140)","(759,80)",,"(65,227)",,,,,,,,,,,
