frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_13,ID_14,ID_15,ID_16,ID_17
0,"(148,1001)","(374,995)","(1351,824)","(1123,808)","(1012,633)","(46,372)","(1309,294)","(748,261)","(721,98)","(377,58)",,,,,,,
1,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
4,"(156,1002)","(374,996)",,"(1123,809)","(1013,633)",,"(1309,294)","(748,262)","(722,98)","(377,59)",,,,,,,
5,"(156,1000)","(373,995)",,"(1123,808)","(1013,633)",,"(1309,294)","(749,262)","(722,99)","(377,60)",,,,,,,
6,"(158,1000)","(374,995)",,"(1124,808)","(1013,633)",,"(1312,297)","(745,263)","(722,98)","(377,60)",,,,,,,
7,"(160,999)","(374,995)",,"(1123,808)","(1012,632)",,"(1311,297)","(748,261)","(721,98)","(377,60)",,,,,,,
8,"(161,1000)","(376,996)",,"(1124,808)","(1013,632)",,"(1310,294)","(748,261)","(721,98)","(377,60)",,,,,,,
9,"(162,999)","(374,995)",,"(1123,808)","(1013,632)",,"(1310,294)","(749,261)","(722,98)","(377,60)",,,,,,,
10,"(163,1000)","(374,995)",,"(1124,807)","(1013,632)",,"(1310,293)","(748,261)","(722,98)","(377,60)","(646,55)",,,,,,
11,"(165,998)","(373,994)",,"(1123,807)","(1013,632)",,"(1310,293)","(748,261)","(721,98)","(377,60)","(646,56)",,,,,,
12,"(168,997)","(374,995)",,"(1123,807)","(1012,632)",,"(1310,293)","(748,261)","(722,97)","(377,60)",,,,,,,
13,"(170,997)","(374,995)",,"(1123,807)","(1012,632)",,"(1310,293)","(748,260)","(724,96)","(378,60)",,,,,,,
14,"(172,997)","(374,995)",,"(1124,807)","(1013,632)",,"(1310,293)","(748,260)","(724,95)","(376,60)",,,,,,,
15,"(172,997)","(373,994)",,"(1124,807)","(1013,632)","(46,368)","(1310,293)","(748,261)","(724,96)","(377,61)","(647,53)",,,,,,
16,"(174,996)","(373,994)",,"(1123,807)","(1013,632)",,"(1310,293)","(748,261)","(721,97)","(378,61)",,,,,,,
17,"(176,996)","(373,994)",,"(1123,807)","(1012,631)",,"(1309,293)","(748,261)","(721,97)","(377,62)","(646,57)",,,,,,
18,"(177,997)","(373,995)",,"(1123,807)","(1012,632)",,"(1309,293)","(748,261)","(723,97)","(375,62)",,,,,,,
19,"(178,998)","(373,995)",,"(1123,808)","(1012,632)",,"(1311,295)","(748,261)","(721,97)","(375,62)","(646,57)",,,,,,
20,"(180,998)","(373,995)",,"(1123,808)","(1012,633)",,"(1309,294)","(749,261)","(721,98)","(375,63)",,,,,,,
21,"(182,999)","(373,996)",,"(1123,808)","(1012,633)",,"(1309,294)","(748,262)","(723,97)","(375,64)","(646,57)",,,,,,
22,"(183,999)","(373,996)",,"(1123,808)","(1012,633)",,"(1310,295)","(749,262)","(721,98)","(375,63)",,,,,,,
23,"(183,999)","(373,996)",,"(1123,808)","(1012,633)",,"(1310,294)","(749,262)","(721,99)","(375,64)","(646,57)",,,,,,
24,"(186,1000)","(373,996)",,"(1123,808)","(1012,633)",,"(1309,294)","(749,262)","(721,98)","(376,64)",,,,,,,
25,"(187,1000)","(373,995)",,"(1123,808)","(1012,633)",,"(1309,294)","(749,262)","(722,98)","(374,66)",,,,,,,
26,"(189,999)","(373,995)",,"(1123,808)","(1012,632)",,"(1309,294)","(749,261)","(722,98)","(374,67)","(646,56)",,,,,,
27,"(191,1000)","(373,995)",,"(1123,808)","(1012,632)",,"(1309,294)","(749,261)","(722,98)","(373,67)","(646,56)",,,,,,
28,"(192,999)","(373,994)",,"(1124,807)","(1013,632)",,"(1309,293)","(748,261)","(721,98)","(372,68)",,,,,,,
29,"(194,1000)","(373,995)",,"(1124,807)","(1013,632)",,"(1309,293)","(748,261)","(722,98)","(372,69)","(647,56)",,,,,,
30,"(195,998)","(373,994)",,"(1123,807)","(1013,631)",,"(1309,293)","(748,261)","(722,98)","(371,69)","(647,56)",,,,,,
31,"(196,998)","(373,994)",,"(1123,807)","(1013,631)",,"(1309,293)","(748,260)","(722,98)","(370,69)","(647,52)",,,,,,
32,"(198,998)","(373,993)",,"(1123,807)","(1012,631)",,"(1310,293)","(748,260)","(721,97)","(371,68)","(646,52)",,,,,,
33,"(199,999)","(373,994)",,"(1123,807)","(1012,632)",,"(1310,293)","(748,261)","(721,97)","(370,69)","(646,52)",,,,,,
34,"(200,998)","(373,994)",,"(1123,807)","(1012,631)",,"(1310,293)","(748,261)","(721,98)","(372,68)","(647,56)",,,,,,
35,"(202,999)","(373,995)",,"(1124,808)","(1012,632)",,"(1309,293)","(749,261)","(721,98)","(372,69)","(646,53)",,,,,,
36,"(204,1000)","(373,994)",,"(1123,807)","(1012,632)",,"(1310,293)","(748,261)","(721,98)","(370,70)","(646,55)",,,,,,
37,"(205,1000)","(373,994)",,"(1123,808)","(1012,632)",,"(1309,293)","(748,261)","(721,98)","(372,68)","(646,56)",,,,,,
38,"(207,1001)","(372,995)",,"(1123,808)","(1012,632)",,"(1308,293)","(748,261)","(721,98)","(372,69)",,,,,,,
39,"(212,1003)","(373,995)",,"(1123,808)","(1012,632)","(46,316)","(1308,293)","(748,261)","(721,98)","(372,71)","(646,53)",,,,,,
40,"(215,1003)","(373,995)",,"(1123,808)","(1012,632)",,"(1309,294)","(748,262)","(721,98)","(373,70)","(646,53)",,,,,,
41,"(216,1003)","(373,995)",,"(1123,808)","(1012,632)",,"(1309,294)","(749,262)","(721,98)","(373,69)",,,,,,,
42,"(212,1003)","(373,995)","(1349,797)","(1123,808)","(1012,632)",,"(1309,293)","(748,261)","(721,98)","(373,72)","(646,53)",,,,,,
43,"(213,1003)","(373,995)","(1350,796)","(1123,808)","(1012,632)",,"(1309,294)","(749,262)","(721,98)","(374,72)",,,,,,,
44,"(216,1006)","(373,995)","(1350,795)","(1123,808)","(1012,632)",,"(1309,293)","(749,261)","(721,98)","(374,72)",,,,,,,
45,"(217,1004)","(373,995)","(1350,794)","(1123,808)","(1012,632)",,"(1309,293)","(748,261)","(721,98)","(374,70)",,,,,,,
46,"(223,1006)","(373,995)",,"(1123,807)","(1012,632)",,"(1309,293)","(748,260)","(721,97)","(375,71)",,,,,,,
47,"(221,1003)","(373,995)","(1350,793)","(1123,807)","(1012,631)",,"(1309,293)","(748,261)","(721,98)","(375,72)",,,,,,,
48,"(227,1004)","(373,994)",,"(1123,806)","(1012,631)",,"(1309,293)","(749,260)","(722,97)","(376,69)",,,,,,,
49,"(228,1004)","(373,994)",,"(1123,806)","(1012,631)","(48,293)","(1309,292)","(749,260)","(724,97)","(376,69)",,,,,,,
