frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_12,ID_14,ID_15,ID_16,ID_17,ID_18,ID_21,ID_23,ID_24,ID_25,ID_27,ID_28,ID_30,ID_32,ID_33,ID_34,ID_36
0,"(959,1038)","(968,956)","(836,887)","(1327,850)","(905,599)","(1280,525)","(1095,489)","(570,132)",,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,"(970,953)","(829,887)","(1324,851)","(900,598)","(1280,530)","(1093,490)","(569,136)",,,,,,,,,,,,,,,,,,,,
5,,"(971,952)","(833,887)","(1325,855)","(902,600)","(1279,532)","(1092,490)","(569,134)",,,,,,,,,,,,,,,,,,,,
6,,"(971,952)","(827,887)","(1323,855)","(902,601)","(1278,533)","(1092,491)","(567,138)",,,,,,,,,,,,,,,,,,,,
7,,"(971,951)","(826,888)","(1322,852)","(901,601)","(1278,536)","(1091,492)","(567,138)",,,,,,,,,,,,,,,,,,,,
8,,"(974,951)","(825,888)","(1322,852)","(901,601)","(1278,537)","(1091,492)","(567,136)",,,,,,,,,,,,,,,,,,,,
9,,"(976,951)","(825,888)","(1322,853)","(901,602)","(1278,539)","(1090,493)","(568,135)",,,,,,,,,,,,,,,,,,,,
10,,"(977,951)","(824,888)","(1322,852)","(901,602)","(1278,540)","(1090,493)","(568,140)",,,,,,,,,,,,,,,,,,,,
11,,"(978,950)","(825,887)","(1322,851)","(900,601)","(1277,540)","(1090,492)","(569,139)",,,,,,,,,,,,,,,,,,,,
12,,"(981,948)","(824,886)","(1322,851)","(898,601)","(1278,541)","(1091,491)","(571,139)",,,,,,,,,,,,,,,,,,,,
13,,"(984,947)","(825,885)","(1323,850)","(899,598)","(1279,541)","(1093,490)","(573,137)",,,,,,,,,,,,,,,,,,,,
14,,"(987,946)","(826,885)","(1325,849)","(903,599)","(1280,542)","(1093,490)","(574,137)",,,,,,,,,,,,,,,,,,,,
15,"(942,1037)","(991,944)","(827,884)","(1326,848)","(904,597)","(1281,542)","(1094,488)","(575,136)",,,,,,,,,,,,,,,,,,,,
16,"(942,1036)","(994,941)","(828,882)","(1326,846)","(902,595)","(1283,542)","(1095,487)","(577,134)",,,,,,,,,,,,,,,,,,,,
17,"(942,1036)","(996,940)","(828,882)","(1327,845)","(904,595)","(1283,543)","(1096,486)","(578,134)",,,,,,,,,,,,,,,,,,,,
18,"(942,1036)","(1000,939)","(830,883)","(1329,845)","(905,595)","(1285,543)","(1097,486)","(580,130)",,,,,,,,,,,,,,,,,,,,
19,"(942,1036)","(1001,937)","(835,882)","(1329,844)","(906,594)","(1286,544)","(1094,484)","(581,130)",,,,,,,,,,,,,,,,,,,,
20,"(942,1035)","(1004,936)","(832,882)","(1329,843)","(906,594)","(1287,545)","(1094,482)","(582,133)",,,,,,,,,,,,,,,,,,,,
21,"(941,1036)","(1006,935)","(832,882)","(1329,844)","(907,594)","(1287,545)","(1094,482)","(583,133)",,,,,,,,,,,,,,,,,,,,
22,"(941,1036)","(1008,935)","(838,882)","(1330,844)","(910,595)","(1288,546)","(1093,481)","(584,133)","(1273,52)",,,,,,,,,,,,,,,,,,,
23,"(939,1036)","(1010,934)","(833,884)","(1330,844)","(907,595)","(1288,548)","(1089,480)","(584,134)",,,,,,,,,,,,,,,,,,,,
24,"(939,1037)","(1011,934)","(838,883)","(1331,844)","(910,596)","(1288,548)","(1088,479)","(584,133)",,,,,,,,,,,,,,,,,,,,
25,"(938,1037)","(1012,934)","(834,885)","(1330,845)","(911,596)","(1287,549)","(1086,479)","(584,134)",,,,,,,,,,,,,,,,,,,,
26,"(936,1037)","(1013,934)","(832,885)","(1330,846)","(907,597)","(1287,550)","(1082,478)","(583,131)",,,,,,,,,,,,,,,,,,,,
27,"(935,1037)","(1014,934)","(832,886)","(1329,846)","(909,598)","(1286,551)","(1079,477)","(583,135)",,"(1351,300)",,,,,,,,,,,,,,,,,,
28,"(932,1037)","(1014,934)","(831,885)","(1329,845)","(906,596)","(1286,551)","(1078,475)","(583,131)",,"(1350,301)",,,,,,,,,,,,,,,,,,
29,"(930,1036)","(1014,934)","(830,885)","(1328,845)","(905,596)","(1284,552)","(1074,475)","(583,133)",,"(1348,301)",,,,,,,,,,,,,,,,,,
30,"(929,1036)","(1016,933)","(830,885)","(1327,846)","(905,596)","(1283,553)","(1074,475)","(582,130)",,,,,,,,,,,,,,,,,,,,
31,"(928,1036)","(1017,932)","(829,885)","(1326,845)","(907,597)","(1282,552)","(1072,472)","(582,132)",,"(1346,297)",,,,,,,,,,,,,,,,,,
32,"(915,1036)","(1017,930)","(829,883)","(1326,844)","(907,596)","(1280,551)","(1071,472)","(582,131)",,,,,,,,,,,,,,,,,,,,
33,"(915,1036)","(1018,929)","(829,884)","(1326,843)","(906,595)","(1280,552)","(1067,471)","(582,128)",,,,,,,,,,,,,,,,,,,,
34,,"(1016,929)","(829,883)","(1326,842)","(905,594)",,"(1066,468)","(582,128)",,,,,,,,,,,,,,,,,,,,
35,"(912,1035)","(1019,927)","(828,883)","(1325,843)","(905,595)","(1276,551)","(1063,470)","(581,127)",,,,,,,,,,,,,,,,,,,,
36,"(910,1033)","(1016,926)","(828,882)","(1326,841)","(905,592)","(1276,549)","(1059,467)","(581,125)",,,,,,,,,,,,,,,,,,,,
37,"(911,1035)","(1018,927)","(829,883)","(1326,843)","(905,595)","(1276,552)","(1058,466)","(582,129)",,,,,,,,,,,,,,,,,,,,
38,"(909,1033)","(1019,925)","(828,883)","(1326,842)","(906,594)","(1274,553)","(1055,468)","(582,126)",,,,,,,,,,,,,,,,,,,,
39,"(911,1035)","(1021,922)","(828,882)","(1326,841)","(906,593)","(1273,551)","(1054,467)","(583,127)",,,,,,,,,,,,,,,,,,,,
40,"(910,1035)","(1023,925)","(828,884)","(1326,842)","(906,594)",,"(1051,467)","(583,125)",,,,,,,,,,,,,,,,,,,,
41,,"(1024,926)","(829,885)","(1326,842)","(906,595)","(1271,556)","(1049,468)","(585,125)",,,,,,,,,,,,,,,,,,,,
42,,"(1026,925)","(830,884)",,,"(1268,555)","(1046,468)","(585,127)",,,,,,,,,,,,,,,,,,,,
43,"(911,1035)","(1027,925)","(830,885)","(1326,842)","(908,595)","(1266,556)","(1042,469)","(588,126)",,,,,,,,,,,,,,,,,,,,
44,,"(1030,925)","(830,886)","(1327,843)","(904,596)","(1266,559)","(1042,469)","(588,127)",,,,,,,,,,,,,,,,,,,,
45,"(910,1036)","(1032,924)","(829,886)","(1328,843)","(904,594)","(1264,561)","(1039,472)","(588,127)",,"(1350,304)",,,,,,,,,,,,,,,,,,
46,"(910,1035)","(1033,920)","(834,882)","(1327,842)","(904,594)","(1261,560)","(1037,468)","(589,126)",,"(1350,303)",,,,,,,,,,,,,,,,,,
47,"(910,1035)","(1034,918)","(834,881)","(1327,841)","(905,593)","(1261,560)","(1035,469)","(589,126)",,,,,,,,,,,,,,,,,,,,
48,,"(1035,917)","(829,884)","(1327,841)","(907,594)","(1259,559)","(1033,468)","(590,124)","(1239,45)","(1348,298)",,,,,,,,,,,,,,,,,,
49,,"(1035,915)","(828,884)","(1327,839)","(906,593)","(1258,558)","(1030,467)","(590,124)",,"(1349,302)",,,,,,,,,,,,,,,,,,
50,,"(1036,915)","(829,882)","(1326,838)","(907,591)","(1257,557)","(1027,467)","(590,120)",,"(1349,299)",,,,,,,,,,,,,,,,,,
51,,"(1038,913)","(829,882)","(1327,837)","(908,591)","(1257,557)","(1025,466)","(592,122)",,"(1350,299)",,,,,,,,,,,,,,,,,,
52,"(908,1029)","(1040,911)","(828,880)",,"(907,589)","(1256,556)","(1021,467)","(592,121)","(1269,49)","(1350,300)",,,,,,,,,,,,,,,,,,
53,"(908,1028)","(1042,909)","(828,880)",,"(908,589)","(1255,556)","(1019,466)",,"(1270,48)",,,,,,,,,,,,,,,,,,,
54,"(907,1029)","(1043,908)","(827,879)",,"(903,585)","(1252,557)","(1016,466)","(593,118)",,,,,,,,,,,,,,,,,,,,
55,"(907,1028)","(1044,908)","(827,879)",,"(904,584)","(1250,558)","(1013,467)","(594,118)",,,,,,,,,,,,,,,,,,,,
56,"(906,1028)","(1046,907)","(827,879)",,"(903,585)","(1249,558)","(1010,466)",,"(1270,48)","(1352,303)",,,,,,,,,,,,,,,,,,
57,"(906,1028)","(1047,907)","(832,871)",,"(907,588)","(1247,559)","(1007,468)",,"(1269,47)","(1353,304)",,"(124,45)",,,,,,,,,,,,,,,,
58,"(907,1027)","(1049,909)","(827,881)","(1327,835)",,"(1246,561)","(1005,469)",,"(1270,48)","(1352,306)",,,"(948,49)",,,,,,,,,,,,,,,
59,"(905,1028)","(1050,907)","(826,882)",,,"(1245,562)","(1003,470)",,,"(1352,309)",,,,,,,,,,,,,,,,,,
60,,"(1052,910)","(826,882)",,"(907,590)","(1243,563)","(1003,472)",,"(1270,49)","(1352,311)",,,,,,,,,,,,,,,,,,
61,,"(1054,908)","(827,882)",,,"(1242,563)","(999,472)","(598,120)","(1278,47)",,,,,,,,,,,,,,,,,,,
62,,"(1056,907)","(827,882)",,,"(1241,565)","(996,473)","(598,121)",,,,,,,,,,,,,,,,,,,,
63,,"(1057,907)","(827,883)",,"(908,591)","(1240,565)","(994,475)","(599,122)",,"(1353,313)",,,,,,,,,,,,,,,,,,
