frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13
0,"(1220,1016)","(942,851)","(1347,648)","(1067,534)","(652,242)","(1373,194)","(1284,142)","(887,70)","(551,62)","(1006,46)",,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,"(1224,1016)","(942,852)","(1347,650)","(1067,535)","(654,242)","(1373,192)","(1284,141)","(887,70)",,,,,,
5,"(1225,1016)","(942,852)","(1347,650)","(1067,535)","(653,242)","(1373,192)","(1283,141)","(886,70)",,,,,,
6,"(1227,1017)","(943,853)","(1348,651)","(1068,536)","(656,246)","(1373,192)","(1284,142)","(887,70)",,,,,,
7,"(1227,1017)","(943,853)","(1347,651)","(1068,537)","(656,246)","(1373,191)","(1284,142)","(888,70)","(546,60)",,,,,
8,"(1229,1017)","(944,853)","(1348,651)","(1069,537)","(654,244)","(1374,191)","(1284,142)","(887,70)","(546,60)",,,,,
9,"(1229,1017)","(944,853)","(1348,651)","(1069,537)","(656,247)","(1374,190)","(1284,142)","(888,70)","(550,61)",,,,,
10,"(1231,1017)","(945,853)","(1348,651)","(1068,538)","(654,245)","(1374,191)","(1284,143)","(887,71)","(551,61)",,,,,
11,"(1232,1017)","(946,854)","(1348,651)","(1069,538)","(654,245)","(1374,184)","(1285,143)","(888,71)","(552,60)",,,,,
12,"(1233,1017)","(947,854)","(1348,652)","(1069,538)","(655,246)","(1374,190)","(1285,143)","(888,71)","(551,61)",,,,,
13,"(1233,1017)","(949,853)","(1348,651)","(1068,538)","(655,246)","(1374,189)","(1284,143)","(888,71)","(552,61)",,,,,
14,"(1234,1016)","(949,853)","(1349,651)","(1068,539)","(659,248)","(1374,189)","(1285,142)","(888,71)","(552,60)",,,,,
15,"(1234,1017)","(949,853)","(1348,651)","(1068,539)","(659,249)","(1374,188)","(1285,142)","(888,71)","(553,60)",,,,,
16,"(1234,1016)","(949,854)","(1348,651)","(1068,539)","(658,249)","(1374,187)","(1285,142)","(888,71)","(553,58)",,,,,
17,"(1235,1016)","(950,853)","(1348,651)","(1068,540)","(659,249)","(1374,186)","(1285,142)","(888,71)","(553,57)",,,,,
18,"(1236,1016)","(952,854)","(1348,651)","(1067,540)","(658,249)","(1373,184)","(1284,142)","(887,70)","(552,56)",,,,,
19,"(1236,1016)","(952,853)","(1348,651)","(1067,541)","(659,249)","(1373,184)","(1284,142)","(887,70)","(552,55)",,,,,
20,"(1237,1016)","(952,854)","(1347,652)","(1068,541)","(659,250)","(1373,184)","(1284,142)","(887,71)","(553,56)",,,,,
21,"(1237,1015)","(952,854)","(1347,651)","(1067,541)","(658,249)","(1372,183)","(1283,142)","(887,70)","(552,55)",,,,,
22,"(1237,1016)","(954,854)","(1347,651)","(1067,541)","(659,250)","(1372,183)","(1283,142)","(887,70)","(552,56)",,,,,
23,"(1238,1016)","(954,854)","(1347,651)","(1066,541)","(660,250)","(1372,182)","(1284,142)","(887,70)","(549,55)",,,,,
24,"(1238,1016)","(955,854)","(1347,651)","(1067,541)","(660,251)","(1372,182)","(1283,142)","(887,71)",,,"(73,71)",,,
25,"(1239,1016)","(956,853)","(1347,651)","(1067,541)","(660,251)","(1371,182)","(1283,142)","(887,70)",,,,,,
26,"(1239,1016)","(957,853)","(1348,651)","(1067,541)","(661,252)","(1372,182)","(1283,142)","(887,71)",,,,,,
27,"(1240,1017)","(958,853)","(1350,650)","(1067,541)","(661,252)","(1371,181)","(1283,142)","(887,71)",,,,,,
28,"(1239,1017)","(958,854)","(1348,651)","(1067,541)","(662,253)","(1372,181)","(1284,142)","(887,70)",,,,,,
29,"(1240,1017)","(960,854)","(1348,652)","(1067,541)","(662,255)","(1373,181)","(1284,143)","(887,70)",,,,,,
30,"(1240,1016)","(961,854)","(1347,652)","(1067,541)","(662,256)","(1373,181)","(1284,143)","(887,71)",,,"(74,71)",,,
31,"(1240,1016)","(961,854)","(1348,652)","(1066,542)","(663,254)","(1373,181)","(1284,143)","(887,71)",,,"(75,71)",,,
32,"(1240,1016)","(963,853)","(1348,652)","(1066,542)","(659,250)","(1373,179)","(1284,142)","(888,71)","(548,51)",,,,,
33,"(1240,1016)","(964,853)","(1348,652)","(1066,542)","(660,251)","(1373,179)","(1284,142)","(888,70)",,,,,,
34,"(1240,1017)","(965,853)","(1348,651)","(1066,542)","(662,251)","(1373,178)","(1284,142)","(888,70)",,,"(75,79)",,,
35,"(1240,1015)","(966,851)","(1351,650)","(1066,542)","(663,251)","(1373,177)","(1284,142)","(888,70)",,,"(75,78)",,,
36,"(1241,1015)","(966,851)","(1348,651)","(1066,542)","(663,258)","(1373,176)","(1284,142)","(887,70)","(546,50)",,,,,
37,"(1241,1015)","(967,850)","(1348,651)","(1066,543)","(664,258)","(1372,176)","(1284,141)","(887,70)",,,"(74,70)",,,
38,"(1241,1015)","(968,850)","(1348,651)","(1065,543)","(664,258)","(1373,175)","(1284,141)","(887,69)","(545,50)",,,,,
39,"(1241,1015)","(968,850)","(1351,650)","(1065,543)","(663,258)","(1373,176)","(1284,142)","(887,70)",,,,,,
40,"(1242,1016)","(970,851)","(1347,652)","(1065,544)","(665,258)","(1371,176)","(1284,142)","(888,70)",,,,,,
41,"(1241,1015)","(970,851)","(1347,652)","(1065,544)","(666,259)","(1371,176)","(1283,142)","(887,70)",,,,,,
42,"(1242,1015)","(971,851)","(1347,648)","(1065,544)","(666,259)","(1372,176)","(1284,142)","(888,70)","(543,51)",,,,,
43,"(1242,1015)","(973,851)","(1347,648)","(1065,544)","(667,260)","(1372,175)","(1284,142)","(888,70)","(544,50)","(1004,46)",,,,
44,"(1243,1016)","(979,850)","(1347,647)","(1065,544)","(667,261)","(1371,175)","(1283,142)","(887,70)",,,,,,
45,"(1243,1016)","(976,851)","(1350,647)","(1064,545)","(667,260)","(1371,175)","(1283,142)","(887,70)","(542,50)",,,,,
