frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17
0,"(213,1021)","(1197,970)","(64,651)","(148,588)","(1316,476)","(267,299)","(83,72)",,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,"(213,1023)","(1197,972)",,"(149,589)","(1318,477)","(265,301)","(84,73)",,,,,,,,,,,
5,"(214,1023)","(1198,971)",,"(152,593)","(1323,474)","(265,300)","(85,72)",,,,,,,,,,,
6,"(214,1023)","(1198,971)",,"(152,593)","(1320,476)","(265,300)","(84,73)",,,,,,,,,,,
7,"(214,1023)","(1197,966)",,"(151,593)","(1321,475)","(265,300)","(85,72)",,,,,,,,,,,
8,"(214,1023)","(1198,971)",,"(151,593)","(1321,474)","(265,300)","(85,72)",,,,,,,,,,,
9,"(214,1023)","(1198,970)",,"(152,593)","(1321,472)","(265,300)","(85,72)",,,,,,,,,,,
10,"(214,1023)","(1198,969)",,"(152,593)","(1321,472)","(266,300)","(85,72)",,,,,,,,,,,
11,"(214,1022)","(1198,970)",,"(152,592)","(1321,472)","(265,299)","(84,72)",,,,,,,,,,,
12,"(214,1022)","(1197,969)",,"(151,592)","(1321,472)","(264,299)","(84,72)",,,,,,,,,,,
13,"(213,1022)","(1197,969)",,"(151,592)","(1321,471)","(264,299)","(84,72)",,,,,,,,,,,
14,"(214,1022)","(1198,969)",,"(151,592)","(1321,470)","(263,299)","(84,71)","(1355,305)",,,,,,,,,,
15,"(214,1022)","(1198,969)",,"(152,592)","(1322,470)","(263,299)","(84,72)","(1355,306)",,,,,,,,,,
16,"(213,1022)","(1197,969)",,"(151,592)","(1322,470)","(263,299)","(84,71)","(1355,306)",,,,,,,,,,
17,"(213,1022)","(1197,969)",,"(152,592)","(1322,469)","(262,300)","(84,72)","(1355,306)",,,,,,,,,,
18,"(213,1023)","(1197,970)",,"(151,592)","(1322,469)","(261,300)","(84,71)","(1355,307)",,,,,,,,,,
19,"(214,1023)","(1197,970)",,"(151,592)","(1323,469)","(261,300)","(84,71)","(1354,306)",,,,,,,,,,
20,"(213,1024)","(1198,970)",,"(152,593)","(1324,469)","(261,300)","(84,72)","(1355,307)",,,,,,,,,,
21,"(212,1025)","(1198,970)",,"(151,593)","(1323,468)","(260,300)","(84,72)","(1354,303)",,,,,,,,,,
22,"(213,1025)","(1198,971)",,"(151,593)","(1323,469)","(260,301)","(84,73)","(1351,318)",,,,,,,,,,
23,"(212,1025)","(1198,970)",,"(152,593)","(1324,469)","(259,300)","(84,72)","(1355,307)",,"(49,387)",,,,,,,,
24,"(212,1025)","(1198,970)",,"(151,593)","(1324,468)","(259,301)","(84,72)","(1355,306)",,,,,,,,,,
25,"(213,1025)","(1198,970)",,"(152,593)","(1324,468)","(258,301)","(85,72)","(1355,303)",,,,,,,,,,
26,"(213,1025)","(1198,970)",,"(152,593)","(1325,468)","(258,302)","(84,72)",,,,,,,,,,,
27,"(213,1025)","(1198,969)",,"(152,592)","(1326,468)","(258,302)","(85,72)",,,,,,,,,,,
28,"(213,1025)","(1197,969)",,"(150,588)","(1327,468)","(258,302)","(85,72)",,,,,,,,,,,
29,"(213,1025)","(1197,967)",,"(152,592)","(1327,467)","(257,302)","(85,71)",,,,,,,,,,,
30,"(213,1025)","(1196,971)",,"(152,592)","(1327,467)","(257,302)","(85,71)",,,,,,,,,,,
31,"(213,1025)","(1194,969)",,"(150,588)","(1327,466)","(256,303)","(85,71)",,,,,,,,,,,
32,"(213,1025)","(1195,967)",,"(152,592)","(1328,466)","(256,303)","(85,71)",,,"(50,317)",,,,,,,,
33,"(213,1025)","(1195,968)",,"(150,588)","(1327,466)","(254,303)","(85,71)",,,,,,,,,,,
34,"(213,1026)","(1196,967)",,"(150,588)","(1328,465)","(254,303)","(85,71)",,,,,,,,,,,
35,"(214,1026)","(1198,967)",,"(152,592)","(1331,463)","(254,303)","(85,71)",,,,"(720,693)",,,,,,,
36,"(214,1027)","(1196,968)",,"(150,588)","(1331,462)","(254,303)","(84,71)",,,,,,,,,,,
37,"(215,1027)","(1192,967)",,"(149,588)","(1331,462)","(253,303)","(85,71)",,,,,,,,,,,
38,"(217,1028)","(1199,968)",,"(151,592)","(1331,461)","(252,303)","(84,72)",,,,,,,,,,,
39,"(217,1027)","(1182,966)",,"(149,588)","(1328,463)","(252,303)","(84,72)",,,,,,,,,,,
