frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_32
0,(1352!313),(754!495),(385!549),(599!560),(1416!668),(1333!779),(237!805),(1536!839),(1520!941),(1320!958),(1587!1060),(474!1103),(1331!1218),,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(1352!313),(754!490),(386!549),(599!560),(1416!668),(1333!779),(237!805),(1536!839),(1521!941),(1319!959),(1585!1061),(474!1103),(1332!1217),,,,,,,,,,,,,,,,,,,
6,(1352!313),(755!489),(386!549),(599!560),(1415!668),(1333!779),(237!805),(1535!839),(1520!941),(1320!959),(1586!1062),(475!1103),(1332!1217),,,,,,,,,,,,,,,,,,,
7,(1352!313),(756!488),(386!549),(600!560),(1415!668),(1333!779),(238!805),(1535!840),(1520!941),(1320!959),(1587!1062),(475!1103),(1332!1217),,,,,,,,,,,,,,,,,,,
8,(1352!313),,(386!549),(600!560),(1415!669),(1333!779),(238!805),(1536!840),(1520!941),(1320!959),(1590!1063),(475!1103),(1332!1218),,,,,,,,,,,,,,,,,,,
9,(1353!313),(759!484),(386!549),(599!560),(1415!669),(1333!780),(237!806),(1536!840),(1520!941),(1319!959),(1592!1065),(475!1103),(1331!1218),,,,,,,,,,,,,,,,,,,
10,(1352!313),(761!481),(386!549),(599!560),(1415!669),(1333!780),(237!805),(1536!840),(1520!941),(1319!959),(1593!1066),(476!1103),(1331!1218),,,,,,,,,,,,,,,,,,,
11,(1352!313),(760!477),(386!549),(599!560),(1415!668),(1333!779),(238!805),(1536!840),(1520!941),(1319!959),(1593!1066),(475!1103),(1331!1217),,,,,,,,,,,,,,,,,,,
12,(1352!313),,(386!549),(599!560),(1415!668),(1333!779),(238!805),(1536!840),(1520!941),(1319!960),(1592!1065),(475!1103),(1331!1217),,,,,,,,,,,,,,,,,,,
13,(1352!313),(755!472),(386!549),(599!560),(1415!668),(1333!779),(238!805),(1536!840),(1520!941),(1319!960),(1591!1064),(475!1103),(1331!1218),,,,,,,,,,,,,,,,,,,
14,(1352!313),(752!468),(386!548),(598!560),(1416!668),(1333!779),(237!805),(1536!840),(1520!941),(1319!960),(1592!1064),(474!1103),(1331!1218),,,,,,,,,,,,,,,,,,,
15,(1352!313),(752!467),(385!549),(598!560),(1416!668),(1333!779),(238!805),(1536!840),(1520!941),(1319!960),(1592!1064),(474!1103),(1331!1217),,,,,,,,,,,,,,,,,,,
16,(1352!313),(754!466),(386!549),(599!560),(1416!668),(1333!779),(239!805),(1536!840),(1520!941),(1319!959),(1591!1064),(474!1103),(1331!1217),,,,,,,,,,,,,,,,,,,
17,(1352!313),(752!465),(386!549),(600!560),(1416!669),(1333!780),(241!805),(1536!840),(1520!941),(1319!960),(1591!1064),(474!1103),(1331!1218),,,,,,,,,,,,,,,,,,,
18,(1353!313),(752!463),(386!549),(599!560),(1416!669),(1333!780),(238!805),(1536!840),(1520!941),(1320!959),(1591!1064),(473!1103),(1331!1218),,,,,,,,,,,,,,,,,,,
19,(1353!313),(753!463),(386!549),(600!560),(1416!669),(1333!780),(238!805),(1536!840),(1520!941),(1320!960),(1592!1065),(474!1103),(1331!1218),,,,,,,,,,,,,,,,,,,
20,(1352!313),,(386!549),(599!560),(1417!669),(1333!780),(239!805),(1536!840),(1520!941),(1319!960),(1591!1065),(475!1103),(1331!1217),,,,,,,,,,,,,,,,,,,
