frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_52,ID_53,ID_54,ID_57,ID_58,ID_59,ID_60,ID_61,ID_63,ID_65,ID_66,ID_67,ID_68,ID_69,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_78,ID_79,ID_80,ID_81,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_89,ID_90,ID_92,ID_93,ID_94,ID_95,ID_96,ID_97,ID_98,ID_100,ID_104,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111,ID_112,ID_113,ID_114,ID_115,ID_117,ID_121,ID_122,ID_123,ID_124,ID_125
0,(179!69),(725!81),(744!209),(1730!223),(1388!343),(1264!423),(1551!535),(1540!636),(1527!741),(584!761),(1189!914),(1491!964),(1346!973),(403!1128),(953!1195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(180!70),(725!80),(744!210),(1731!223),(1388!343),(1265!423),(1552!536),,(1520!749),(585!762),(1189!915),(1492!964),(1347!973),(404!1130),(954!1195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,(180!70),(725!82),(744!210),(1731!223),(1388!344),(1265!423),(1552!536),,,(585!763),(1188!915),(1492!965),(1347!974),(407!1130),(954!1195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,(180!70),(726!82),(744!210),(1730!223),(1388!344),(1264!423),(1552!537),,,(585!763),(1188!916),(1492!965),(1346!974),(404!1131),(954!1196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,(180!71),(725!83),(744!210),(1730!223),(1388!344),(1264!423),(1552!537),,,(585!763),(1189!915),(1492!965),(1347!974),(403!1131),(954!1196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,(180!71),(725!82),(745!210),(1731!223),(1388!344),(1265!422),(1552!537),,,(585!763),(1188!915),(1492!965),(1347!974),(407!1132),(954!1196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,(180!70),(725!82),(744!210),(1731!223),(1387!343),(1265!422),(1552!536),(1541!637),,(585!763),(1188!915),(1492!965),(1346!973),(407!1133),(954!1196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
