frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_15,ID_17,ID_18,ID_20,ID_21,ID_23,ID_24,ID_25,ID_26,ID_27,ID_30,ID_31,ID_32,ID_33,ID_34,ID_36,ID_38,ID_39,ID_40,ID_41,ID_43,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_59,ID_62,ID_63,ID_64,ID_65,ID_67,ID_68,ID_71,ID_72,ID_74,ID_75,ID_76
0,(113!111),(327!143),(646!176),(1333!461),(1685!765),(1560!774),(1454!1027),(1736!1208),(1190!1295),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(117!113),(331!143),(647!176),(1334!461),(1685!765),(1567!779),(1454!1028),(1737!1208),(1191!1301),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,(117!113),(331!143),(646!176),(1334!462),(1685!765),(1568!780),(1454!1028),(1737!1209),(1190!1295),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,(117!113),(332!143),(646!177),(1334!466),(1684!764),(1569!781),(1454!1027),(1737!1208),(1190!1295),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,(117!112),(332!143),(646!177),(1333!461),(1683!764),(1570!782),(1453!1027),(1737!1208),(1191!1300),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,(118!112),(333!142),(646!175),(1334!461),(1683!764),(1571!783),(1453!1027),(1737!1208),(1198!1294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,(118!111),(333!142),(646!175),(1334!460),(1682!763),(1571!784),(1454!1026),(1737!1208),(1197!1300),(251!1289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,(118!111),(333!142),(646!176),(1334!460),(1682!762),(1572!786),(1454!1026),(1737!1207),(1192!1300),(251!1289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,(118!111),(333!142),(645!175),(1333!460),(1681!762),(1572!787),(1453!1026),(1736!1207),(1197!1295),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,(119!111),(333!142),(645!176),(1333!460),(1680!762),(1571!791),(1453!1026),(1736!1207),(1197!1299),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,(118!111),(333!142),(645!176),(1333!461),(1680!762),(1573!792),(1453!1027),(1736!1208),(1191!1299),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,(119!111),(333!142),(645!176),(1334!461),(1680!762),(1573!794),(1454!1027),(1736!1208),(1191!1300),(251!1290),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,(118!111),(334!142),(645!176),(1334!461),(1680!762),(1574!796),(1455!1027),(1736!1208),(1192!1300),(251!1290),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,(121!111),(334!141),(645!176),(1334!462),(1680!762),(1575!798),(1455!1027),(1736!1208),(1191!1300),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,(118!111),(337!139),(645!176),(1334!462),(1680!762),(1575!799),(1454!1027),(1736!1208),(1191!1300),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,(118!111),(356!130),(645!178),(1334!461),(1680!762),(1576!800),(1454!1028),(1737!1208),(1192!1300),,,(1439!1225),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,(120!111),(384!126),(645!177),(1334!462),(1680!762),(1575!799),(1454!1028),(1737!1209),(1191!1300),,,(1438!1226),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,(120!111),(416!128),(645!177),(1334!462),(1680!762),(1575!799),(1455!1027),(1736!1207),(1191!1300),(251!1290),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,(120!111),(452!138),(645!176),(1334!461),(1680!762),(1576!799),(1455!1027),(1736!1208),(1195!1300),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,(120!111),(484!153),(644!176),(1334!461),(1680!761),(1574!800),(1454!1027),(1737!1208),(1191!1300),(251!1290),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,(120!111),(481!151),(645!175),(1334!461),(1679!761),(1573!800),(1454!1027),,(1192!1296),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,(120!110),(480!150),(644!176),(1334!460),(1679!761),(1573!799),(1454!1026),(1736!1207),(1190!1299),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,(120!110),(480!152),(645!175),(1334!461),(1679!761),(1573!800),(1454!1026),(1737!1208),(1190!1296),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,(120!110),(481!153),(645!175),(1334!461),(1680!761),(1573!800),(1454!1026),(1738!1208),(1193!1295),(250!1289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,(120!110),(479!153),(645!176),(1334!459),(1680!761),(1573!801),(1454!1027),(1737!1208),(1195!1299),(250!1289),,,(220!47),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,(120!111),(480!154),(645!177),(1334!462),(1680!761),(1572!803),(1454!1026),,(1195!1299),(250!1290),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,(122!111),(479!155),(645!176),(1334!459),(1680!761),(1572!804),(1454!1027),(1738!1208),(1195!1300),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,(120!111),(479!155),(645!176),(1334!462),(1680!761),(1572!805),(1454!1027),(1737!1208),(1193!1296),(250!1290),,,(219!47),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,(120!111),(479!155),(645!176),(1335!461),(1681!762),(1573!806),(1455!1028),(1737!1208),(1193!1300),(251!1291),,,(218!47),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,(119!111),(480!155),(645!176),(1335!462),(1681!762),(1572!806),(1455!1027),(1737!1208),(1191!1300),(251!1290),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,(121!111),(479!156),(645!175),(1334!461),(1681!761),(1571!808),(1455!1027),(1738!1208),(1194!1296),(251!1290),,,(220!46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,(120!111),(478!156),(645!175),(1334!460),(1680!762),(1571!810),(1456!1026),,(1191!1300),(251!1290),,,(218!46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
