frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_26,ID_27
0,(560!49),(448!62),(1266!166),(299!391),(1159!443),(1724!452),(593!515),(1558!542),(39!612),(100!665),(921!746),(518!768),(1727!1062),(1700!1109),(1580!1113),(95!1238),,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,(449!65),(1273!166),(313!402),(1156!442),(1726!450),(594!516),(1577!542),(40!612),(106!683),(924!752),(527!787),(1724!1062),(1701!1110),(1572!1120),(96!1239),,,,,,,,,,,
6,,(449!65),(1274!166),(317!405),(1156!442),(1728!480),(594!515),(1576!542),(40!612),(107!685),(926!754),(528!790),(1723!1063),(1700!1110),(1571!1121),(95!1238),,,,,,,,,,,
7,,(449!66),(1275!164),(320!407),(1156!441),(1731!453),(590!515),(1576!542),(40!612),(110!687),(926!757),(526!787),(1723!1063),(1701!1110),(1568!1123),(96!1239),,,,,,,,,,,
8,,(449!66),(1276!166),(324!410),(1155!444),(1726!453),(590!516),(1578!542),(40!611),(112!692),(927!759),(530!795),(1725!1061),(1701!1110),(1566!1124),(95!1238),(1725!520),,,,,,,,,,
9,,(450!67),(1276!162),(327!410),(1153!441),(1724!453),(593!515),(1578!541),(40!611),(114!696),(925!761),(529!792),(1725!1062),(1701!1109),(1563!1126),(95!1238),,,,,,,,,,,
10,,(450!67),(1276!165),(329!412),(1152!440),(1724!453),(588!513),(1578!541),(40!622),(116!698),(927!762),(530!793),(1723!1062),(1700!1109),(1561!1127),(95!1239),(1727!498),,,,,,,,,,
11,,(449!68),(1276!164),(331!416),(1151!440),(1717!449),(592!514),(1581!541),(39!617),(116!701),(925!764),(531!795),(1723!1062),(1700!1109),(1560!1128),(95!1239),(1726!519),,,,,,,,,,
