frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14
0,(859!851),(1354!850),(949!763),(103!466),(1323!183),(1267!138),(486!75),(435!68),,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,(947!764),,,,(1322!184),(1266!139),(484!75),,,,,,,,
6,(947!765),(1353!851),,,(1321!185),(1265!140),(484!77),,,,,,,,
7,(947!764),(1352!851),,(101!468),(1321!184),(1265!139),(484!77),(460!106),,,,,,,
8,(946!765),(1352!851),,(101!468),(1320!184),(1264!139),(484!77),,,,,,,,
9,(947!764),(1353!851),,(102!467),(1321!184),(1265!139),(484!75),,(1359!295),,,,,,
10,,,,(102!467),(1321!183),(1266!140),(485!74),,,,,,,,
11,,(1354!850),,,(1322!183),(1266!140),(485!75),,(1360!294),(858!852),,,,,
12,,(1354!850),,,(1322!182),(1266!140),(486!73),,,(948!763),,,,,
13,,(1355!849),,,(1322!181),(1267!139),(486!74),,(1362!293),(949!762),(436!67),,,,
14,,(1355!849),,,(1322!181),(1268!139),(487!74),,(1362!292),(950!762),(436!67),,,,
15,,(1355!849),,(104!465),(1322!181),(1267!140),(487!74),,(1362!292),(950!762),,,,,
16,,(1355!849),,(104!465),(1322!181),(1267!140),(487!74),,(1362!293),(950!762),,,,,
17,,(1355!849),,,(1322!182),(1267!140),(486!75),,(1362!293),(949!763),(462!104),(858!851),,,
18,,(1355!849),,,(1322!182),(1267!141),(487!75),,(1362!293),(950!763),(463!104),(857!852),,,
19,,(1355!850),,,(1322!183),(1267!141),(486!75),,(1362!293),(949!763),,,,,
20,,(1354!851),,,(1321!184),(1266!142),(486!76),,(1360!294),(949!764),(461!105),,,,
21,,(1354!851),,,(1320!184),(1266!143),(485!76),,,(948!764),(461!105),(857!856),,,
22,,(1353!851),,,(1319!184),(1264!144),,,,(948!764),,,,,
23,,,,,(1320!185),(1265!144),(485!78),,,(948!765),(461!106),,,,
24,,(1353!851),,(98!468),(1319!184),(1264!143),(433!70),,,,(461!106),,,,
25,,(1353!852),,,(1319!184),(1263!143),,,,,(460!106),(854!856),,,
26,,(1353!851),,(101!468),(1319!184),(1264!143),,,,,(460!106),(947!765),(484!76),,
27,,(1353!851),,(101!467),(1318!183),(1263!143),,,,,(460!105),(947!765),,,
28,,,,(101!467),(1318!183),(1264!143),,,,,(459!105),(947!764),(484!75),,
29,,(1353!850),,,(1318!183),(1263!142),,,(1358!293),,(460!104),,(484!73),,
30,,(1353!849),,(99!466),(1319!182),(1264!142),,,(1360!292),,(461!103),,(485!75),,
31,,(1354!850),,(100!466),(1319!182),(1264!142),,,(1360!292),,(461!103),,,,
32,,(1354!849),,(100!466),(1319!182),(1265!142),,,,,(461!103),,(486!72),,
33,,(1354!849),,(103!465),(1319!181),(1266!141),(435!66),,,,(462!102),,(486!71),,
34,,(1354!849),,(103!465),(1320!181),(1266!141),(436!66),,(1361!292),,(462!102),,(486!72),,
35,,(1354!849),,(104!466),(1321!182),(1267!141),(437!67),,(1362!293),,(463!103),,(487!72),,
36,,(1354!849),(858!854),(104!466),(1320!182),(1266!141),(436!67),,(1362!293),,(463!103),,(487!72),,
37,,(1354!850),(857!854),(103!467),(1321!184),(1265!143),(436!68),,,(948!764),(462!104),,(486!74),,
38,,(1354!850),,(103!466),(1320!184),(1265!144),(436!68),,,(948!763),(462!104),,(485!75),,
39,,(1353!851),(858!855),(103!467),(1320!185),(1264!146),(436!69),,(1361!295),(947!765),(462!105),,(486!76),,
40,,(1353!851),(857!856),,(1320!186),(1263!146),(435!70),,(1360!295),(947!765),(461!106),,(485!76),,
41,,(1353!852),(857!856),(102!468),(1320!186),,(435!70),,(1359!295),(946!765),(461!106),,(485!77),,
42,,(1353!852),(857!856),(102!469),(1319!187),(1261!148),,,(1359!296),(946!766),(461!106),,(484!77),,
43,,(1353!852),(856!855),(102!468),(1320!187),(1261!148),,,(1359!295),(946!765),(461!106),,(435!69),,
44,,(1352!851),(856!855),(101!467),(1319!187),(1260!148),(484!76),,(1359!295),(945!765),(460!106),,(434!69),,
45,,(1352!852),(856!855),(102!468),(1320!186),(1260!148),(484!76),,(1359!295),(946!765),(461!106),,(435!69),,
46,,(1353!851),(856!854),,(1320!186),(1259!147),(484!76),,(1358!294),(946!765),(461!105),,(434!68),,
47,,(1353!850),(856!854),(102!467),(1320!186),(1259!147),(484!75),,(1359!293),(946!764),(460!104),,,,
48,,(1353!850),(857!853),(102!466),(1320!186),(1260!148),(435!68),,(1359!293),(946!764),(461!103),,,,
49,,(1353!850),(857!853),(102!466),(1320!185),(1260!147),(435!67),,(1359!292),,(461!103),,(485!74),,
50,,(1353!849),(857!853),,(1321!185),(1260!147),(436!66),,,(947!763),(461!102),,(486!74),,
51,,(1353!849),(857!853),(103!466),(1321!185),(1260!148),(436!67),,,,(462!103),,(486!74),,
52,,(1353!849),(857!853),(103!466),(1322!186),(1260!148),(436!67),,,(947!763),(461!103),,(486!74),,
53,,(1353!850),,(103!466),(1322!187),(1260!148),,,(1361!293),(947!764),(462!103),,(486!74),,
54,,(1354!849),(857!854),(103!466),(1321!187),(1259!148),(436!67),,(1359!293),(947!763),(461!103),,(486!75),,
55,,(1354!850),(857!854),(100!466),(1322!187),(1259!148),(436!68),,(1361!294),(947!764),(462!104),,(486!75),,
56,,(1354!851),(857!855),(103!467),(1322!188),(1259!149),,,(1361!294),(947!765),(462!105),,(486!76),,
57,,(1353!851),(857!856),,(1318!191),(1259!150),(436!69),,(1360!295),,(461!105),,(486!76),,
58,,(1353!852),(952!766),(100!469),(1322!189),(1259!151),(436!70),,(1361!295),,(462!106),,,,
59,,(1353!852),(952!767),,(1319!190),(1258!151),(436!70),,,,(462!106),,,,
60,,(1353!852),,(102!468),(1320!193),(1258!151),(485!75),,,,(461!106),,,,
61,,(1353!852),,,(1319!192),(1257!151),(485!75),,(1359!299),(950!767),(461!106),,(435!70),,
62,,(1353!852),,(100!468),(1322!189),(1258!150),,,(1359!299),(946!768),(460!106),,(435!70),(856!857),
63,,(1352!852),,(99!468),(1322!189),(1257!150),,,(1360!299),(945!767),(460!105),,(484!76),(856!856),
64,,(1352!851),,(99!467),(1322!188),(1257!149),(434!68),,,,(461!104),,(485!75),(857!855),
65,,,,(99!467),(1321!187),(1256!147),,,(1358!298),,(460!104),,(484!73),,
