frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_12,ID_13,ID_14
0,(227!58),(293!190),(585!273),(374!754),(691!1018),(429!1028),(473!1028),(796!1050),,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,(226!58),(292!190),(596!278),(374!755),,(430!1029),(473!1028),,,,,,,
6,(226!58),(293!189),(598!280),(374!755),(692!1019),(430!1029),(473!1028),,,,,,,
7,(227!58),(292!189),(595!279),(374!755),(692!1019),(430!1029),(473!1028),,,,,,,
8,(227!58),(293!189),(599!280),(374!755),(692!1019),(431!1030),(473!1028),,,,,,,
9,(227!58),(293!189),(607!283),(375!754),(694!1018),(431!1029),(474!1028),,,,,,,
10,(227!58),(293!189),(609!284),(374!754),(695!1018),(431!1030),(473!1028),,,,,,,
11,(227!58),(293!189),(612!284),(374!754),(696!1018),(432!1032),(473!1028),,,,,,,
12,(227!57),(294!189),(614!284),(375!754),(697!1018),(432!1032),(473!1028),,,,,,,
13,(227!57),(294!189),(616!286),(376!755),(697!1018),(432!1030),(474!1028),,,,,,,
14,(227!57),(294!189),(620!287),(375!755),(698!1019),(432!1029),(474!1028),,,,,,,
15,(227!57),(293!189),(622!288),(375!755),(698!1018),(432!1030),(473!1028),,,,,,,
16,(227!57),(293!189),(625!288),(375!755),(698!1018),(432!1030),(473!1028),,,,,,,
17,(227!57),(294!188),(627!288),(375!754),(698!1018),(432!1028),(473!1028),,(65!961),,,,,
18,(227!57),(293!189),(629!289),(374!755),(699!1018),(432!1028),(473!1028),,,,,,,
19,(227!58),(293!189),(632!289),(374!754),(698!1018),(433!1027),,,(65!961),,,,,
20,(227!56),(293!189),(634!291),(374!754),(699!1018),(433!1027),,,(64!962),,,,,
21,(226!56),(293!189),(638!291),(374!755),(699!1018),(434!1027),,,(63!961),,,,,
22,(227!56),(293!189),(640!292),(374!755),(699!1018),(433!1027),,,,,,,,
23,(226!57),(293!189),(643!292),(374!756),(700!1018),(435!1027),(471!1028),,(63!961),,,,,
24,(226!56),(293!189),(644!294),(374!756),(700!1017),(435!1027),(472!1028),,,,(24!11),,,
25,(226!55),(293!189),(647!294),(374!756),(700!1018),(434!1027),(473!1028),,(64!961),,,,,
26,(227!57),(293!189),(651!295),(374!755),(701!1018),(435!1027),(473!1028),,(62!961),,,,,
27,(227!57),(293!189),(654!295),(375!756),(701!1018),(435!1027),(473!1029),,(63!961),,,,,
28,(24!11),(294!189),(658!295),(375!756),(702!1018),(436!1028),(473!1028),,(63!962),,,,,
29,(227!57),(293!189),(660!295),(375!756),(703!1018),(438!1028),(473!1028),,,,,,,
30,(227!57),(293!189),(663!296),(375!756),(703!1018),,,,(66!962),,(21!10),,,
31,(227!57),(293!189),(666!296),(375!756),(704!1018),,,,(65!962),,(22!11),,,
32,(227!57),(293!189),(670!298),(375!756),(704!1018),,,,(64!961),,(22!10),,,
33,(227!57),(293!189),(672!298),(375!756),(704!1018),,,,(65!962),,,,,
34,(227!57),(293!189),(674!298),(375!755),(725!1047),,,,(65!961),,,,,
35,(227!56),(293!189),(677!299),(375!756),(712!1048),,,,(64!962),,,,,
36,(227!57),(293!189),(681!299),(375!755),,,,,,,,,,
37,(227!57),(293!189),(683!299),(375!756),(694!1016),,,,(63!962),,,,,
38,(227!57),(293!189),(685!300),(375!756),(694!1015),,,,(64!962),,(21!10),,,
39,(227!57),(293!189),(688!299),(374!756),(693!1015),,,,(62!962),,(21!11),,,
40,(226!57),(293!189),(690!298),(374!755),(693!1015),,,(717!1024),(62!962),,(18!11),,,
41,(227!57),(293!189),(694!298),(374!756),(694!1016),,,(719!1024),(62!962),,(20!11),,,
42,(226!57),(293!189),(696!299),(374!756),(693!1015),,,(719!1024),,,(20!10),,,
43,(226!57),(292!189),(699!299),(374!756),(694!1016),,,(720!1024),(62!962),,,,,
44,(227!57),(293!189),(702!300),(374!755),(693!1015),,,(720!1024),(62!962),,,,,
45,(227!57),(293!189),(704!300),(374!755),(694!1016),,,(722!1023),(63!962),,,,,
46,(227!56),(293!189),(707!300),(374!755),(693!1015),,,(722!1023),(62!962),,,,,
47,(227!57),(293!189),(711!300),(374!756),(694!1015),,,(723!1023),(62!962),,,(716!1047),,
48,(227!57),(293!189),(715!300),(374!756),(693!1015),,,(724!1023),(62!961),,,,,
49,(227!56),(293!189),(717!300),(374!756),(694!1015),,,(725!1023),(62!962),,,,,
50,(227!57),(293!189),(720!300),(374!756),(694!1015),,,(725!1023),(62!961),,(21!10),,,
51,(227!58),(293!189),(723!300),(374!756),(694!1015),(411!1045),,(726!1024),(62!961),,,(645!1047),,
52,(227!58),(293!189),(725!302),(374!756),(694!1015),,,(727!1024),(62!961),,,,,
53,(227!57),(292!189),(728!303),(374!756),(694!1015),,,(727!1024),,,,,,
54,(227!57),(293!189),(731!303),(374!755),(694!1015),,,(727!1024),,,,(558!1045),,
55,(227!58),(294!189),(734!304),(374!756),(694!1015),,,(728!1024),,,,(713!1047),,
56,(227!58),(293!189),(735!305),(374!756),(694!1015),,,(728!1024),,,,,,
57,(227!57),(293!189),(737!307),(374!757),(694!1015),,,(729!1023),,,,,,
58,(227!58),(293!189),(739!308),(374!756),(694!1015),,,(729!1023),,,,(711!1047),,
59,(227!58),(293!189),(741!309),(374!757),(693!1015),,,(730!1023),,,,(715!1048),,
60,(227!57),(292!189),(743!311),(374!756),(694!1015),,,(731!1023),,,,(670!1047),,
61,(227!57),(293!189),(745!312),(374!756),(694!1015),,,(732!1023),,,,(558!1045),,
62,(226!57),(292!189),(747!313),(374!756),(694!1015),,,(732!1023),(64!961),,,(409!1045),,
63,(227!57),(293!189),(751!314),(374!756),(694!1015),,,(733!1023),,,,(559!1045),,
64,(227!57),(293!189),(753!316),(374!756),(694!1015),,,(733!1024),,,,,,
65,(227!57),(293!188),(755!318),(374!756),(694!1015),,,(734!1024),,,,,,
66,(227!57),(292!189),(757!320),(374!756),(694!1015),,,(735!1024),,,,,,
67,(227!58),(293!189),(760!321),(379!756),(694!1015),,,(736!1024),,,,,,
68,(227!58),(293!189),(763!324),(374!756),(694!1015),,,(737!1023),(62!961),(649!1048),,,,
69,(227!58),(293!189),(762!324),(374!756),(694!1015),,,(738!1024),(63!961),,,,,
70,(227!58),(293!189),(764!325),(374!756),(694!1015),,,(739!1024),(64!961),,,,,
71,(227!58),(293!189),(766!327),(374!756),(694!1015),,,(740!1023),(64!961),,,,,
72,(227!58),(293!189),(768!328),(374!756),(694!1015),,,(741!1023),(64!961),,,,,
73,(227!58),(293!189),(774!332),(374!756),(694!1015),,,(741!1023),(64!961),,,,,
74,(227!58),(293!189),(777!333),(374!756),(693!1015),,,(741!1023),(63!961),,,,,
75,(227!58),(293!189),(774!333),(374!757),(694!1015),,,(743!1023),(64!961),,(22!10),,,
76,(227!58),(292!189),(781!337),(374!757),(694!1015),,,(743!1023),(64!961),,,,,
77,(227!54),(293!189),(783!338),(374!757),(694!1015),,,(743!1024),(63!961),,,,,
78,(227!57),(293!189),(784!339),(374!756),(693!1015),,,(744!1023),(63!961),,,,,
79,(227!56),(293!189),(787!340),(374!757),(693!1015),,,(744!1024),(62!960),,(20!9),,,
80,(227!57),(292!189),(789!341),(374!757),(693!1015),,,(745!1024),(62!960),,,,,
81,(227!57),(293!189),(791!342),(374!757),(693!1015),,,(746!1023),(63!961),,,,,
82,(227!58),(292!189),(793!343),(374!757),(693!1015),,(410!1045),(746!1023),(63!960),,,,,
83,(227!57),(292!189),(790!342),(374!757),(693!1015),,,(747!1023),(64!960),,,,,
84,(227!57),(292!189),(796!345),(373!756),(693!1014),,,(748!1023),,,,,,
85,(227!58),(293!189),(799!347),(373!757),(693!1015),,,(749!1023),(63!959),,,,,
86,(227!57),(293!189),(800!347),(374!757),(693!1015),,,(750!1023),(63!959),,,,,
87,(227!58),(293!189),(802!349),(374!757),(693!1014),,,(751!1023),(63!959),,,,,
88,(228!58),(293!189),(803!350),(374!757),(694!1014),,,(752!1023),(64!960),,,,,
89,(227!58),(293!189),(804!351),(374!757),(694!1015),,,(753!1023),(63!959),,,,,
90,(228!58),(293!189),(805!351),(374!757),(694!1014),,,(753!1023),(64!960),,,,,
91,(227!58),(293!189),(805!352),(374!756),(694!1014),,,(753!1023),(63!959),,,,,
92,(227!58),(293!189),(806!353),(374!757),(694!1014),,,(754!1023),(64!960),,,,,
93,(227!58),(293!189),(808!354),(374!757),(694!1015),,,(754!1024),(63!960),,,,,
94,(227!58),(293!189),(809!356),(374!757),(694!1015),,,(755!1024),(63!959),,,(1380!934),,
95,(227!58),(293!189),(811!357),(374!757),(694!1015),,,(755!1023),(64!959),,,,,
96,(227!58),(293!189),(812!358),(374!757),(693!1015),,,(756!1024),(64!960),,,,,
97,(227!58),(293!189),(812!359),(374!757),(693!1014),,,(757!1024),(63!959),,,,,
98,(227!58),(293!189),(814!360),(374!757),(694!1014),,,(758!1023),(64!959),,,,,
99,(227!58),(292!189),(815!361),(374!757),(693!1014),,,(758!1023),(64!960),,,,,
100,(227!58),(293!189),(817!362),(374!757),(693!1014),,,(759!1023),(63!959),,,,,
101,(227!57),(293!189),(818!362),(374!757),(693!1014),,,(759!1023),(65!961),,,,,
102,(227!57),(293!189),(819!364),(374!757),(693!1015),,,(759!1024),(64!960),,,,,
103,(227!58),(292!189),(820!365),(374!757),(693!1015),,,(759!1023),(65!961),,,,,
104,(227!57),(293!189),(821!366),(374!757),(693!1014),,,(760!1024),(64!960),,,,,
105,(227!58),(293!189),(821!366),(374!757),(694!1014),,,(761!1023),(63!959),,,,,
106,(227!58),(293!189),(821!367),(374!757),(694!1014),,,(762!1023),(63!959),,,,,
107,(227!57),(293!189),(822!368),(374!757),(694!1015),,,,(63!959),,,,,
108,(228!57),(293!189),(822!368),(374!757),(694!1015),,,(762!1026),(64!959),,,,,(700!1044)
109,(227!58),(293!189),(822!369),(374!757),(694!1015),,,(763!1023),(64!960),,,,,
110,(228!58),(293!189),(823!371),(375!757),(694!1015),,,(763!1023),(66!960),,,,,(566!1049)
111,(228!58),(292!189),(825!372),(379!757),(694!1015),,,(763!1024),(63!958),,,,,
