frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_12
0,(950!60),(678!107),(1363!122),(932!200),(1059!267),(1110!403),(422!458),(43!650),(531!807),(283!854),(750!855),
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,(946!61),(680!109),(1363!121),(933!202),(1060!268),(1112!403),(424!459),,(532!807),(284!854),(751!855),
6,(946!62),(680!110),(1363!120),(935!202),(1060!268),(1112!403),(425!459),,(532!808),(284!854),(751!856),
7,(945!62),(680!110),(1363!119),(935!202),(1060!268),(1112!403),(425!459),,(532!808),(284!854),(751!856),
8,(943!62),(680!111),(1363!119),(935!202),(1060!268),(1112!403),(425!460),,(533!808),(284!855),(751!856),
9,(942!62),(681!111),(1363!118),(936!202),(1061!268),(1112!403),(425!459),,(533!807),(284!854),(751!855),
10,(941!62),(682!112),(1362!118),(936!203),(1060!268),(1112!403),(425!460),,(533!808),(284!854),(751!856),
11,(939!62),(683!112),(1362!117),(935!203),(1059!268),(1111!402),(425!460),,(532!809),(284!855),(751!856),
12,(938!62),(683!112),(1362!117),(935!203),(1059!268),(1111!402),(425!460),,(532!809),(283!855),(750!857),
13,(937!62),(683!113),(1361!116),(934!204),(1059!268),(1111!402),(426!460),,(531!808),(283!855),(750!856),
14,(936!63),(684!113),(1361!115),(935!204),(1059!268),(1111!401),(425!460),,(531!808),(283!854),(750!856),
15,(934!62),(683!114),(1361!114),(935!204),(1059!268),(1111!401),(427!460),,(531!808),(283!854),(750!856),
16,(933!63),(684!114),(1361!114),(935!205),(1059!268),(1112!400),(427!461),,(530!808),(283!853),(750!856),
17,(931!62),(684!113),(1361!113),(934!204),(1058!268),(1111!397),(427!461),,(530!808),(283!854),(750!856),
18,(930!62),(685!113),(1362!112),(935!204),(1059!268),(1111!397),(427!461),,(530!808),(283!854),(750!856),
19,(929!62),(685!113),(1362!112),(935!205),(1059!268),(1111!397),(427!460),,(530!807),(283!854),(750!855),
20,(928!62),(685!114),(1362!111),(935!205),(1059!268),(1111!397),(428!460),,(530!808),(283!854),(750!856),
21,(927!62),(686!114),(1362!111),(935!204),(1059!268),(1110!397),(427!460),,(530!808),(283!854),(750!856),
22,(926!62),(686!115),,(935!206),(1059!268),(1111!397),(429!460),,(531!809),(284!854),(751!856),
23,(926!62),(688!115),(1364!111),(936!205),(1060!268),(1112!397),(430!460),,(531!809),(284!854),(751!856),
24,(924!62),(688!116),(1364!111),(936!206),(1060!268),(1111!397),(430!459),,(531!809),(284!855),(751!856),
25,(923!61),(689!115),(1364!111),(936!205),(1060!268),(1112!397),(430!460),,(530!809),(284!854),(750!856),
26,(921!62),(689!116),(1364!111),(936!205),(1060!268),(1112!397),(430!460),,(530!808),(284!854),(751!856),
27,(919!62),(689!116),(1364!111),(936!206),(1060!268),(1112!397),(431!460),,(530!809),(284!854),(751!856),
28,(918!62),(690!116),(1364!110),(936!206),(1060!268),(1112!397),(431!459),,(530!809),(284!854),(751!856),
29,(918!62),(689!116),(1364!109),(936!206),(1060!268),(1112!397),(431!458),,(530!810),(284!855),(751!856),
30,(917!62),(689!117),,(936!206),(1060!268),(1111!397),(430!459),,(529!810),(284!854),(750!856),
31,(915!62),(689!117),,(936!206),(1060!268),(1112!397),(431!459),,(529!809),(283!854),(750!855),
32,(912!62),(689!117),,(936!206),(1060!268),(1111!398),(430!460),,(529!810),(284!854),(751!856),
33,(911!62),(689!118),,(936!206),(1059!268),(1111!398),(430!459),,(528!810),(283!854),(750!856),
34,(910!61),(690!118),,(935!206),(1059!268),(1111!397),(430!458),,(528!810),(283!854),(750!856),
35,(907!61),(689!117),,(935!206),(1059!268),(1110!397),(429!458),,(528!811),(283!853),(750!856),
36,(906!61),(690!117),,(935!206),(1059!268),(1111!396),(429!458),,(527!811),(283!853),(750!856),
37,(905!61),(690!117),,(936!206),(1059!268),(1110!396),(430!458),,(527!811),(283!854),(750!856),
38,(904!60),(690!117),,(935!206),(1059!268),(1110!395),(430!458),,(527!810),(283!854),(750!856),
39,(903!59),(690!117),,(936!207),(1059!268),(1112!395),(430!458),,(527!810),(284!855),(750!856),
40,(903!60),(691!117),,(936!207),(1060!268),(1112!394),(430!458),,(527!811),(283!854),(750!856),
41,(901!59),(690!117),(1363!106),(936!207),(1060!268),(1112!394),(431!458),,(527!810),(284!854),(750!856),
42,(900!61),(690!117),(1362!104),(936!207),(1060!268),(1112!394),(431!458),,(527!810),(283!854),(750!856),
43,(899!62),(691!116),(1363!104),(937!208),(1060!268),(1113!393),(432!458),,(528!811),(284!854),(751!856),
44,(896!62),(691!116),,(937!208),(1060!268),(1113!393),(432!459),,(527!811),(284!855),(751!856),
45,(895!62),(691!116),(1363!101),(937!208),(1061!268),(1113!393),(432!459),,(527!812),(284!855),(751!856),
46,(895!59),(691!116),(1363!100),(937!208),(1061!268),(1113!392),(432!458),,(527!812),(284!854),(751!856),
47,(894!62),(690!116),(1363!99),(937!208),(1061!268),(1113!392),(432!459),,(527!813),(284!855),(751!857),
48,(892!62),(689!115),(1363!99),(937!208),(1060!268),(1113!392),(432!459),,(527!813),(284!855),(751!856),
49,(891!61),(689!115),(1362!99),(937!208),(1061!268),(1113!392),(432!459),,(527!812),(284!855),(751!856),
50,(890!62),(688!114),(1362!98),(937!207),(1060!268),(1112!391),(432!459),,(527!812),(284!855),(751!856),
51,(888!62),(688!114),(1363!98),(937!208),(1060!268),(1112!391),(431!459),,(526!812),(283!855),(750!856),
52,(886!62),(687!113),(1362!96),(937!208),(1059!268),(1112!390),(431!459),,(526!812),(283!855),(750!857),
53,(884!62),(687!113),(1362!95),(937!209),(1059!268),(1112!390),(431!459),,(526!812),(283!855),(750!857),
54,(883!61),(687!113),(1361!93),(936!208),(1058!268),(1111!389),(430!458),,(525!812),(282!854),(750!856),
55,(883!61),(687!113),(1362!92),(937!210),(1059!269),(1112!389),(431!459),,(525!813),(283!854),(750!857),
56,(881!60),(686!112),(1361!91),(936!209),(1059!268),(1112!389),(430!458),,(525!812),(283!854),(750!856),
57,(881!61),(686!112),(1361!90),(937!209),(1059!268),(1113!388),(431!458),,(525!813),(283!854),(750!856),
58,(879!61),(687!112),(1361!89),(937!209),(1059!268),(1113!388),(431!458),,(524!813),(283!854),(750!856),
59,(880!61),(687!113),(1361!88),(938!210),(1059!268),(1113!388),(432!459),,(525!813),(283!854),(750!857),
60,(879!61),(687!113),(1362!87),(938!210),(1060!268),(1115!388),(432!458),,(525!813),(284!854),(751!856),
61,(878!61),(687!113),(1363!87),(939!211),(1060!268),(1114!387),(431!458),,(525!812),(283!854),(750!856),
62,(876!59),(687!112),(1362!87),(939!211),(1060!268),(1114!387),(432!458),,(525!812),(284!854),(750!856),
63,(876!62),(688!112),(1363!86),(939!211),(1059!268),(1114!387),(432!458),,(525!812),(284!854),(750!856),
64,(875!62),(689!112),(1363!86),(940!212),(1060!268),(1115!387),(433!459),,(525!813),(284!855),(751!856),
65,(874!62),(688!111),(1363!85),(940!212),(1060!268),(1115!386),(433!459),,(526!812),(284!855),(751!856),
66,(874!62),(687!111),(1363!85),(940!212),(1060!268),(1115!386),(433!459),,(526!813),(284!855),(751!856),
67,,(688!111),(1362!85),(940!213),(1060!268),(1115!386),(432!459),,(526!812),(284!854),(750!856),
68,(872!62),(688!111),(1363!85),(941!214),(1060!268),(1115!385),(433!459),,(527!812),(285!855),(751!856),
69,(870!62),(687!111),(1362!85),(940!214),(1060!268),(1115!385),(432!459),,(526!812),(284!855),(750!857),
70,(869!61),(686!110),(1362!84),(940!214),(1059!268),(1115!384),(432!459),,(527!812),(284!855),(751!856),
71,(868!62),(687!110),(1361!84),(940!214),(1060!268),(1115!383),(432!458),,(527!812),(284!854),(750!856),
72,(868!62),(686!111),(1362!84),(940!214),(1059!268),(1115!384),(432!459),,(527!812),(284!854),(750!856),
73,(866!62),(686!110),(1361!83),(940!215),(1059!268),(1115!384),(431!459),,(527!812),(284!855),(750!857),
74,(865!61),(686!109),,(940!215),(1059!268),(1115!383),(432!458),,(527!811),(283!854),(750!856),
75,(865!62),(686!110),(1361!82),(940!216),(1059!268),(1114!382),(431!459),,(527!811),(283!853),(750!856),
76,(864!62),(686!109),,(940!216),(1059!268),(1114!382),(431!459),,(527!811),(284!854),(750!856),
77,(863!63),(687!108),,(941!216),(1059!268),(1114!382),(432!459),,(528!812),(284!854),(750!857),
78,(862!61),(687!108),,(941!216),(1059!268),(1114!381),(431!459),,(528!812),(283!854),(750!856),
79,(860!62),(689!108),,(941!216),(1060!268),(1114!380),(432!459),,(528!812),(284!854),(750!856),
80,(858!62),(689!107),,(941!216),(1059!268),(1114!380),(432!459),,(528!812),(284!854),(751!856),
81,(856!62),(690!105),,(941!216),(1060!268),(1114!379),(432!459),,(529!812),(284!854),(750!856),
82,(856!63),(690!105),,(942!216),(1060!268),(1114!379),(432!459),,(529!813),(284!854),(751!856),
83,,(690!105),,(941!217),(1060!268),(1114!379),(432!460),,(529!813),(284!854),(751!855),
84,,(690!105),,(942!217),(1060!268),(1115!378),(433!459),,(529!813),(284!854),(751!856),
85,(854!63),(691!104),,(942!218),(1060!268),(1115!378),(433!460),,(530!814),(284!855),(751!856),
86,,(691!104),,(942!217),(1060!268),(1116!377),(433!459),,(530!814),(284!854),(751!856),
87,(853!62),(690!103),(1360!80),(942!217),(1060!268),(1115!376),(433!459),,(529!813),(284!854),(751!856),
88,,(690!102),(1360!80),(942!217),(1060!268),(1115!376),(433!459),,(529!814),(284!855),(751!856),
89,(853!63),(690!102),(1360!81),(942!218),(1060!268),(1114!376),(433!459),,(529!814),(284!854),(751!856),
90,(852!63),(690!101),(1360!80),(942!218),(1059!268),(1114!375),(432!458),,(529!814),(284!854),(750!856),
91,(852!62),(690!101),(1359!80),(941!218),(1059!268),(1113!374),(431!458),,(528!814),(283!854),(750!856),
92,(852!63),(689!101),(1359!80),(941!218),(1059!268),(1113!374),(431!458),,(527!814),(283!854),(750!856),
93,(851!62),(689!101),(1358!80),(941!218),(1059!268),(1114!373),(431!458),,(527!814),(283!853),(750!856),
94,(852!62),(689!101),(1358!79),(941!219),(1059!268),(1115!373),(431!458),,(527!815),(283!853),(750!856),
95,(851!62),(689!101),(1358!80),(941!219),(1059!267),(1115!372),(431!458),,(526!815),(283!853),(749!856),
96,(851!62),(689!101),(1358!80),(940!219),(1059!268),(1116!371),(431!458),,(525!816),(283!853),(749!856),
97,(851!62),(688!101),(1358!80),(941!218),(1058!268),(1116!370),(431!458),,(525!816),(283!853),(750!856),
98,(852!62),(688!101),(1358!79),(941!218),(1059!268),(1117!370),(432!458),,(525!817),(283!854),(750!856),
99,(852!62),(688!101),,(941!218),(1059!268),(1117!370),(432!458),,(525!817),(283!854),(750!856),
100,(852!62),(688!100),(1359!80),(941!218),(1060!268),(1118!369),(432!459),,(525!818),(284!854),(750!856),
101,(852!62),(688!101),,(941!219),(1059!268),(1118!369),(432!458),,(524!817),(284!854),(750!855),
102,(853!62),(688!101),(1359!80),(941!219),(1060!268),(1118!369),(433!459),,(524!819),(284!854),(751!855),
103,,(688!101),,(941!218),(1060!268),(1118!368),(432!459),,(524!819),(284!854),(751!856),
104,,(688!101),,(943!219),(1060!268),(1118!368),(432!458),,(524!819),(284!854),(751!855),
105,(854!60),(687!101),(1359!80),(941!219),(1059!268),(1118!368),(432!458),,(524!818),(284!854),(750!855),
106,,(688!101),,(941!219),(1059!268),(1118!368),(432!458),,(523!818),(284!854),(750!855),
107,(851!62),(687!100),,(941!218),(1059!268),(1119!367),(432!458),,(523!818),(284!854),(750!856),
108,(851!62),(687!100),,(940!219),(1059!268),(1119!367),(432!458),,(523!818),(284!854),(750!856),
109,(853!59),(687!100),,(940!219),(1059!268),(1118!367),(432!458),,(523!819),(284!854),(750!855),
110,,(687!100),,(940!218),(1059!268),(1119!366),(433!457),,(523!818),(283!854),(750!855),
111,(850!61),(687!98),,(940!218),(1059!268),(1118!366),(432!457),,(523!819),(283!854),(749!855),
112,(850!62),(688!98),,(940!219),(1059!268),(1118!366),(432!458),,(523!819),(283!854),(749!855),
113,(849!61),(688!98),,(940!218),(1059!268),(1118!364),(432!457),(37!644),(522!819),(283!854),(749!855),
114,(849!61),(688!97),,(940!218),(1059!268),(1118!363),(432!457),,(522!819),(283!853),(749!855),
115,(848!60),(688!97),,(940!218),(1059!268),(1118!363),(433!457),,(523!819),(284!854),(750!855),
116,(848!60),(689!97),,(940!219),(1059!268),(1119!363),(433!457),,(523!819),(283!853),(750!855),
117,(847!60),(689!96),,(940!219),(1059!268),(1119!363),(434!458),,(523!819),(284!854),(750!855),
118,(847!59),(689!96),,(940!219),(1059!268),(1119!362),(434!458),,(523!820),(284!854),(750!856),
119,(846!61),(690!95),,(940!219),(1059!268),(1120!362),(435!459),,(523!820),(284!854),(750!855),
120,(845!61),(690!94),(1365!80),(941!219),(1060!268),(1120!360),(435!457),,(523!820),(285!854),(751!856),
121,(845!61),(690!94),(1365!80),(941!219),(1060!268),(1120!360),(435!458),,(523!821),(285!854),(751!856),
122,(844!61),(691!93),,(941!219),(1060!268),(1121!360),(435!457),,(523!821),(285!854),(751!856),
123,(843!61),(692!92),,(941!219),(1060!268),(1121!359),(435!457),,(521!822),(285!855),(751!856),
124,(842!61),(693!91),,(941!219),(1060!268),(1120!359),(435!457),,(522!822),(285!854),(751!856),
125,(842!61),(693!91),,(941!219),(1060!268),(1120!358),(435!457),,(522!822),(285!854),(751!856),
126,(841!61),(693!90),(1366!80),(941!219),(1060!268),(1120!358),(435!457),,(522!823),(285!854),(751!855),
