frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14
0,(1297!76),(120!73),(348!667),(1163!797),(123!996),(162!1027),,,,,,,,,
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
5,(1297!75),(120!73),(348!666),(1162!798),(124!996),(161!1027),,,,,,,,,
6,(1296!75),(120!71),(347!666),(1162!798),(123!996),(160!1026),,,,,,,,,
7,(1297!75),(120!71),(347!665),(1161!798),(124!996),(160!1026),,,,,,,,,
8,(1297!75),(120!73),(348!666),(1162!800),(123!997),(160!1027),,,,,,,,,
9,(1297!75),(120!72),(348!666),(1162!800),(124!997),(161!1027),,,,,,,,,
10,(1297!74),(121!71),(348!665),(1162!800),(124!996),(160!1026),,,,,,,,,
11,(1297!75),(121!72),(349!666),(1161!800),(124!996),(160!1027),,,,,,,,,
12,(1298!76),(121!73),(349!666),(1161!801),(125!997),(160!1027),(872!47),,,,,,,,
13,(1297!76),(121!73),(349!667),(1161!801),(125!997),,(872!50),,,,,,,,
14,(1298!75),(121!72),(349!666),(1161!801),(126!997),(159!1027),(871!47),,,,,,,,
15,(1298!76),(122!73),(349!667),(1160!802),(124!997),,,,,,,,,,
16,(1298!76),(121!74),(349!667),(1159!803),(125!997),,(870!48),,,,,,,,
17,(1297!76),(121!73),(349!667),(1158!804),(125!997),,(722!48),,,,,,,,
18,(1297!76),(120!73),(348!666),(1158!804),(125!997),,(871!47),,,,,,,,
19,(1297!76),(120!73),(349!667),(1157!804),(124!997),(158!1027),(870!47),,,,,,,,
20,(1297!76),(120!73),(348!666),(1157!804),(124!997),(156!1027),,,,,,,,,
21,(1296!76),(120!73),(348!666),(1157!805),(124!997),(156!1027),(870!47),,,,,,,,
22,(1296!75),(120!72),(348!665),(1157!804),(124!996),(155!1027),(869!46),,,,,,,,
23,(1296!75),(120!72),(348!666),(1156!804),(124!996),(155!1027),,,,,,,,,
24,(1296!76),(120!73),(348!666),(1156!805),(124!996),(155!1027),(871!46),,,,,,,,
25,(1296!75),(120!72),(348!666),(1155!806),(124!996),(153!1027),,,,,,,,,
26,(1296!75),(121!72),(348!665),(1156!806),(124!996),(154!1027),(870!46),,,,,,,,
27,(1297!75),(120!72),(348!665),(1156!806),(124!996),(154!1027),,,,,,,,,
