frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13
0,(694!85),(150!205),(734!287),(42!618),(59!788),(59!847),(815!912),(640!998),,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,(695!86),(150!205),(734!288),,(59!788),(57!846),(815!912),,,,,,,
6,(694!86),(150!204),(735!288),,(59!788),(59!846),(815!912),(639!998),,,,,,
7,(694!86),(150!205),(734!288),,(57!788),(60!847),(816!912),(640!999),,,,,,
8,(694!86),(150!204),(734!287),,(59!788),(59!847),(815!912),(639!998),,,,,,
9,(695!85),(151!204),(734!288),,(59!788),(59!846),(815!912),(640!998),,,,,,
10,(695!85),(151!204),(734!288),,(59!788),(59!846),(815!911),(639!998),,,,,,
11,(694!85),(150!204),(734!288),,(59!788),(59!846),(816!911),(640!998),,,,,,
12,(695!85),(151!204),(734!288),,(59!788),(59!846),(816!910),(640!998),,,,,,
13,(695!85),(151!203),(734!288),,(59!788),(60!848),(816!910),,,,,,,
14,(695!85),(150!204),(734!288),,(59!788),(59!846),(816!910),(640!998),,,,,,
15,(696!85),(151!204),(734!288),,(59!788),(61!846),(816!910),(640!998),,,(61!498),,,
16,(695!85),(151!203),(734!287),,(60!788),(60!846),(816!910),(640!998),,,(61!497),,,
17,(695!85),(151!203),(734!287),,(59!788),(60!846),(816!910),(640!998),,,(61!497),,,
18,(696!85),(151!203),(734!288),,(60!788),(60!846),(816!910),(640!998),,,(61!498),,,
19,(695!86),(151!203),(734!288),,(59!788),(60!846),(817!910),(640!998),,,,,,
20,(696!86),(151!203),(734!288),,(59!789),(59!846),(817!910),(640!998),,,(61!498),,,
21,(695!86),(151!203),(734!288),,(57!788),(59!847),(816!910),,,,(61!498),,,
22,(696!86),(151!203),(734!288),,(59!788),(60!847),(817!910),(640!998),,,,,,
23,(695!86),(151!203),(735!288),,(59!789),(59!846),(817!910),(640!998),,,(61!498),,,
24,(696!86),(151!202),(735!288),,(59!788),(59!846),(817!910),(640!998),,,(61!498),,,
25,(695!86),(152!203),(735!288),,(59!788),(61!846),(817!910),(640!998),,,,,,
26,(696!86),(152!202),(735!288),,(59!789),(60!846),(817!910),(640!998),,,(61!498),,,
27,(696!86),(152!202),(735!288),,(59!788),(60!846),(817!909),(640!998),,,(61!497),,,
28,(696!86),(152!201),(735!288),,(59!788),(60!846),(817!909),(640!998),,,,,,
