frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36
0,(413!428),(904!467),(73!680),(517!782),(904!929),(537!973),(302!1023),(460!1135),(1302!1214),(592!1692),(936!1700),(1266!1824),(565!1908),,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(413!428),(906!468),,(516!783),,(534!974),(303!1024),(454!1134),(1307!1207),(592!1691),(936!1700),(1266!1823),,,,,,,,,,,,,,,,,,,,,,,,
6,(414!428),(905!468),,(516!783),,(533!975),(303!1024),(452!1133),(1308!1206),(592!1691),(935!1698),(1266!1824),(565!1909),,,,,,,,,,,,,,,,,,,,,,,
7,(413!428),(907!468),,(516!783),,(531!975),(303!1023),(451!1133),(1308!1205),(592!1691),(935!1699),(1266!1824),(564!1908),(217!1784),,,,,,,,,,,,,,,,,,,,,,
8,(413!428),(906!468),,(516!782),,(531!975),(302!1024),(449!1133),(1308!1205),(592!1691),(935!1699),(1267!1824),(564!1908),(214!1784),,,,,,,,,,,,,,,,,,,,,,
9,(413!428),(907!468),,(516!782),,(529!975),(302!1024),(448!1131),(1310!1204),(592!1692),(937!1699),(1266!1823),(564!1909),(218!1784),,,,,,,,,,,,,,,,,,,,,,
10,(414!429),(907!469),,(516!783),,(529!976),(302!1024),(446!1131),(1310!1203),(592!1691),(936!1699),(1266!1823),(565!1909),,(558!383),,,,,,,,,,,,,,,,,,,,,
11,(415!428),(904!468),,(516!783),,(528!977),(302!1024),(445!1131),(1311!1202),(592!1691),(935!1699),(1266!1823),(565!1908),(218!1784),,,,,,,,,,,,,,,,,,,,,,
12,(414!428),(905!468),,(516!783),,(528!977),(303!1024),(444!1131),(1311!1201),(593!1691),(935!1699),(1267!1823),(566!1909),(218!1784),,,,,,,,,,,,,,,,,,,,,,
13,(414!429),(903!468),(73!678),(516!783),,(528!977),(303!1024),(442!1131),(1312!1200),(593!1691),(937!1698),(1267!1823),(566!1909),(219!1784),,,,,,,,,,,,,,,,,,,,,,
14,(415!428),(903!468),(73!681),(516!782),,(528!977),(303!1024),(440!1131),(1313!1199),(592!1691),(936!1699),(1266!1822),(566!1909),(218!1783),(554!378),,,,,,,,,,,,,,,,,,,,,
15,(415!427),(903!468),(73!680),(516!782),,(527!979),(303!1023),(439!1131),(1313!1197),(593!1691),(932!1699),(1267!1822),(566!1910),(218!1783),,,,,,,,,,,,,,,,,,,,,,
16,(414!427),(904!468),(73!681),(516!782),,(527!977),(303!1023),(438!1131),(1314!1197),(593!1691),(935!1699),(1266!1823),(566!1910),,,,,,,,,,,,,,,,,,,,,,,
17,(415!427),(903!468),(74!682),(516!782),,(527!979),(303!1023),(436!1131),(1314!1196),(592!1691),(936!1699),(1267!1822),(566!1910),(215!1783),,,,,,,,,,,,,,,,,,,,,,
18,(415!428),(904!468),(73!681),(516!782),,(527!979),(303!1022),(434!1130),(1315!1194),(591!1691),(935!1699),(1267!1822),(565!1910),(215!1784),,,,,,,,,,,,,,,,,,,,,,
19,(414!428),(905!468),,(516!782),,(527!979),(303!1023),(431!1131),(1315!1194),(591!1692),(936!1699),(1268!1822),(565!1910),(214!1784),(541!378),(159!1055),,,,,,,,,,,,,,,,,,,,
20,(415!428),(906!468),,(515!782),,(527!979),(302!1023),(430!1130),(1316!1193),(591!1692),(935!1700),(1268!1823),(565!1910),(214!1784),(539!379),,,,,,,,,,,,,,,,,,,,,
21,(414!428),(905!468),,(516!782),,(528!979),(302!1023),(428!1130),(1316!1192),(591!1692),(936!1699),(1266!1822),(565!1911),(214!1783),(536!379),,,,,,,,,,,,,,,,,,,,,
22,(413!428),(906!468),(72!675),(515!782),,(527!979),(302!1023),(426!1131),(1316!1192),(591!1691),(934!1699),(1266!1822),(565!1911),(214!1784),,,,,,,,,,,,,,,,,,,,,,
23,(414!428),(905!469),(72!678),(515!782),,(528!979),(302!1023),(425!1131),(1318!1192),(591!1692),(935!1699),(1267!1823),(564!1911),(214!1784),(532!379),(160!1053),,,,,,,,,,,,,,,,,,,,
