frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_35,ID_36,ID_37,ID_38,ID_39
0,(1365!435),(324!506),(700!562),(264!581),(1321!577),(1151!581),(382!775),(1013!1117),(266!1144),(1354!1513),(293!1542),(1021!1644),(913!1854),(991!1889),(1239!1895),(601!1970),,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,(1366!435),(325!507),(701!565),(273!591),(1323!575),(1158!586),(382!776),(1020!1114),(262!1153),(1344!1523),(293!1543),(1022!1644),(900!1848),(979!1881),(1239!1894),(602!1971),,,,,,,,,,,,,,,,,,,,,,,
6,(1366!435),(325!506),(701!563),(275!593),(1323!576),(1160!587),(382!777),(1025!1111),(261!1154),(1341!1526),(293!1543),(1022!1644),(899!1847),(979!1882),(1239!1895),(602!1971),,,,,,,,,,,,,,,,,,,,,,,
7,(1366!435),(325!507),(701!563),(277!596),(1324!575),(1163!587),(383!777),(1028!1107),(260!1156),(1339!1529),(294!1543),(1022!1642),(897!1846),(979!1880),(1239!1895),(602!1972),,,,,,,,,,,,,,,,,,,,,,,
8,(1367!436),(324!506),(702!566),(277!598),(1324!576),(1164!588),(383!777),(1028!1105),(258!1158),(1336!1532),(295!1543),(1022!1645),(895!1845),(976!1878),(1239!1895),(603!1972),,,,,,,,,,,,,,,,,,,,,,,
9,(1366!436),(326!507),(702!566),(281!601),(1324!576),(1166!589),(383!776),(1032!1101),(257!1161),(1332!1535),(294!1544),(1022!1644),(892!1844),(971!1877),(1239!1896),(603!1972),,,,(221!2062),,,,,,,,,,,,,,,,,,,
10,(1367!435),(326!507),(702!566),(284!603),(1324!576),(1167!589),(383!776),(1035!1099),(255!1165),(1328!1537),(295!1543),(1022!1645),(889!1844),(969!1876),(1239!1895),(603!1971),(106!724),,,(222!2062),,,,,,,,,,,,,,,,,,,
11,(1366!436),(325!507),(702!566),(285!605),(1323!576),(1168!589),(383!775),(1038!1096),(254!1169),(1325!1539),(294!1543),(1022!1644),(885!1845),(966!1875),(1238!1895),(602!1971),(104!904),,,,,,,,,,,,,,,,,,,,,,
12,(1366!435),(327!506),(701!562),(287!606),(1323!576),(1169!589),(382!776),(1040!1094),(253!1171),(1322!1541),(294!1543),(1021!1644),(882!1845),(964!1874),(1238!1895),(602!1971),,,,(222!2062),,,,,,,,,,,,,,,,,,,
13,(1365!435),(329!506),(701!564),(288!607),(1322!575),(1170!588),(382!776),(1044!1091),(253!1174),(1318!1543),(294!1542),(1021!1643),(878!1844),(958!1871),(1238!1895),(603!1970),,,,(214!2056),,,,,,,,,,,,,,,,,,,
14,(1365!435),(328!506),(701!565),(291!610),(1320!573),(1170!588),(382!776),(1044!1090),(253!1178),(1315!1544),(293!1543),(1021!1644),(875!1844),(957!1871),(1237!1894),(603!1971),,,,(223!2061),,,,,,,,,,,,,,,,,,,
15,(1365!434),(330!506),(701!564),(295!613),(1319!574),(1171!587),(381!774),(1047!1088),(253!1182),(1312!1547),(293!1543),(1021!1644),(869!1844),(953!1869),(1237!1894),(602!1971),,,,(224!2061),,,,,,,,,,,,,,,,,,,
16,(1365!435),(331!505),(700!562),(298!614),(1318!573),(1172!587),(382!775),(1050!1086),(254!1185),(1308!1550),(293!1543),(1021!1643),(866!1843),(951!1867),(1237!1894),(603!1971),(103!900),,,(223!2060),,,,,,,,,,,,,,,,,,,
17,(1365!437),(334!505),(701!562),(300!617),(1316!572),(1174!587),(382!774),(1055!1083),(252!1187),(1303!1553),(293!1542),(1021!1643),(865!1842),(949!1865),(1237!1894),(603!1970),,,,(226!2060),,,,,,,,,,,,,,,,,,,
18,(1365!434),(335!504),(702!563),(302!621),(1316!570),(1174!587),(382!774),(1056!1083),(253!1190),(1300!1555),(294!1542),(1021!1643),(862!1841),(947!1864),(1238!1894),(604!1971),,,,(234!2063),,,,,,,,,,,,,,,,,,,
19,(1365!435),(337!503),(701!563),(304!623),(1317!568),(1175!587),(382!775),(1058!1082),(252!1193),(1296!1557),(294!1542),(1022!1643),(859!1842),(946!1865),(1238!1894),(604!1971),(103!867),,,,,,,,,,,,,,,,,,,,,,
20,(1366!435),(339!502),(701!564),(307!626),(1317!566),(1175!588),(383!776),(1057!1079),(252!1197),(1292!1560),(294!1543),(1022!1642),(856!1842),(941!1863),(1239!1894),(604!1971),,,,,,,,,,,,,,,,,,,,,,,
21,(1366!435),(340!501),(703!564),(308!630),(1315!564),(1176!588),(383!776),(1059!1078),(252!1200),(1288!1560),(294!1543),(1022!1643),(853!1841),(941!1865),(1239!1894),(604!1972),,,,,,,,,,,,,,,,,,,,,,,
22,(1366!435),(341!501),(703!566),(309!633),(1313!561),(1176!587),(383!776),(1064!1074),(253!1203),(1285!1562),(294!1543),(1021!1644),(850!1844),(935!1862),(1238!1895),(604!1972),,,,(234!2060),,,,,,,,,,,,,,,,,,,
23,(1366!435),(344!501),(702!565),(310!635),(1312!559),(1177!588),(383!775),(1069!1075),(252!1205),(1280!1563),(294!1543),(1021!1644),(848!1843),(931!1862),(1239!1895),(604!1972),,,,,,,,,,,,,,,,,,,,,,,
24,(1366!435),(345!500),(701!563),(312!638),(1310!556),(1177!589),(382!775),(1071!1074),(251!1209),(1275!1564),(294!1544),(1021!1644),(844!1843),(927!1860),(1239!1895),(604!1972),,,,(236!2059),,,,,,,,,,,,,,,,,,,
25,(1368!440),(345!499),(702!564),(316!641),(1308!555),(1177!589),(383!776),(1074!1073),(251!1212),(1271!1565),(294!1544),(1020!1644),(841!1842),(925!1860),(1238!1895),(604!1971),,,,,,,,,,,,,,,,,,,,,,,
26,(1365!435),(347!499),(701!563),(316!645),(1306!553),(1177!589),(383!776),(1077!1072),(249!1215),(1267!1566),(293!1544),(1020!1644),(837!1841),(923!1859),(1238!1895),(603!1971),,,,(236!2058),,,,,,,,,,,,,,,,,,,
27,(1365!435),(347!498),(700!564),(317!647),(1305!550),(1177!589),(382!776),(1081!1070),(249!1218),(1263!1566),(293!1543),(1019!1643),(833!1839),(919!1857),(1237!1895),(602!1971),,,,,,,,,,,,,,,,,,,,,,,
28,(1365!435),(349!497),(701!565),(317!649),(1303!547),(1177!588),(382!775),(1082!1069),(249!1220),(1258!1567),(293!1543),(1019!1643),(830!1838),(918!1856),(1237!1894),(603!1971),(103!851),,,,(96!1723),,,,,,,,,,,,,,,,,,
29,(1365!435),(350!498),(700!562),(318!652),(1301!544),(1177!588),(383!774),(1084!1068),(249!1223),(1253!1569),(293!1542),(1019!1643),(827!1837),(912!1855),(1237!1894),(603!1971),(105!676),,,,(97!1716),,,,,,,,,,,,,,,,,,
