frame,ID_0,ID_1,ID_2,ID_5,ID_6,ID_8,ID_10,ID_11,ID_12,ID_13,ID_16,ID_18,ID_20,ID_21,ID_25,ID_27,ID_28,ID_31,ID_32,ID_34,ID_35,ID_36,ID_41,ID_42,ID_43,ID_46,ID_48,ID_49,ID_50,ID_53,ID_58,ID_59,ID_60,ID_62,ID_63,ID_64,ID_65,ID_66,ID_69,ID_70,ID_72,ID_75,ID_78,ID_79,ID_81,ID_82,ID_83,ID_85,ID_87,ID_88,ID_89,ID_91,ID_93,ID_95,ID_96,ID_97,ID_101,ID_102,ID_103,ID_104,ID_105,ID_108,ID_111,ID_112,ID_114,ID_116,ID_117,ID_119,ID_120,ID_121,ID_123,ID_126,ID_127,ID_128,ID_131,ID_138,ID_139,ID_140,ID_143,ID_144,ID_145,ID_147,ID_149,ID_152,ID_158,ID_165,ID_166,ID_167,ID_171,ID_172,ID_174,ID_175,ID_177,ID_180,ID_182,ID_183,ID_186,ID_191,ID_192,ID_194,ID_197,ID_198,ID_199,ID_202,ID_203,ID_206,ID_208,ID_209,ID_215,ID_216,ID_219,ID_221,ID_222,ID_223,ID_226,ID_229,ID_231,ID_234,ID_237,ID_239,ID_240,ID_243,ID_245,ID_246,ID_249,ID_250,ID_251,ID_252,ID_255,ID_256,ID_257,ID_261,ID_262,ID_265,ID_266,ID_275,ID_278,ID_279,ID_280,ID_281,ID_282,ID_283,ID_284,ID_285,ID_290,ID_291,ID_292,ID_294,ID_299,ID_303,ID_306,ID_308,ID_309,ID_312,ID_313,ID_314,ID_319,ID_321,ID_322,ID_325,ID_328,ID_330,ID_333,ID_335,ID_336,ID_339,ID_341
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"(909,143)","(907,476)","(1308,526)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(908,143)","(909,475)","(1308,526)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"(906,144)","(908,475)","(1308,526)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"(901,146)","(908,476)","(1307,526)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"(900,146)","(906,478)","(1308,526)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
